Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-157.00,-55.00,20.23,0.00,0.00,-45.00
00:15 - 00:30,-137.00,-73.00,20.23,0.00,0.00,-50.00
00:30 - 00:45,-128.00,-99.00,20.23,0.00,0.00,-45.00
00:45 - 01:00,-145.00,-100.00,20.23,0.00,0.00,-45.00
01:00 - 01:15,-178.00,-55.00,20.23,0.00,0.00,-70.00
01:15 - 01:30,-206.00,-90.00,19.27,0.00,0.00,-70.00
01:30 - 01:45,-247.00,-116.00,19.27,-65.00,0.00,-82.00
01:45 - 02:00,-239.00,-102.00,19.27,-64.00,0.00,-99.00
02:00 - 02:15,-99.00,-124.00,19.27,-31.00,0.00,-74.00
02:15 - 02:30,-277.00,-127.00,18.30,-31.00,0.00,-85.00
02:30 - 02:45,-280.00,-120.00,18.30,-28.00,0.00,-116.00
02:45 - 03:00,-280.00,-146.00,18.30,-26.00,0.00,-128.00
03:00 - 03:15,-284.00,-104.00,18.30,-23.00,0.00,-95.00
03:15 - 03:30,-295.00,-93.00,18.30,-22.00,0.00,-112.00
03:30 - 03:45,-291.00,-97.00,18.30,-21.00,0.00,-123.00
03:45 - 04:00,-289.00,-96.00,18.30,-20.00,0.00,-136.00
04:00 - 04:15,-258.00,-86.00,18.30,-20.00,0.00,-150.00
04:15 - 04:30,-248.00,-67.00,18.30,-21.00,0.00,-160.00
04:30 - 04:45,-216.00,-65.00,18.30,-20.00,0.00,-103.00
04:45 - 05:00,-201.00,-62.00,18.30,-19.00,0.00,-90.00
05:00 - 05:15,-140.00,-138.00,18.30,-19.00,0.00,-100.00
05:15 - 05:30,-124.00,-66.00,18.30,-16.00,0.00,-43.00
05:30 - 05:45,-85.00,-30.00,18.30,-16.00,0.00,-18.00
05:45 - 06:00,-80.00,-53.00,19.27,-17.00,0.00,-5.00
06:00 - 06:15,10.60,-18.00,19.27,-17.00,0.00,26.00
06:15 - 06:30,22.16,-34.00,19.27,-12.00,0.00,44.30
06:30 - 06:45,79.96,-39.00,20.23,-10.00,0.00,15.41
06:45 - 07:00,85.73,-74.00,20.23,-10.00,0.00,67.43
07:00 - 07:15,62.61,19.27,21.19,-17.00,0.00,-50.00
07:15 - 07:30,75.14,14.45,21.19,-16.00,0.00,-39.00
07:30 - 07:45,-26.00,33.71,21.19,-9.00,0.00,1.93
07:45 - 08:00,0.00,38.53,22.16,-13.00,0.00,3.85
08:00 - 08:15,29.86,67.43,14.45,-15.00,0.00,30.83
08:15 - 08:30,51.05,19.27,14.45,-9.00,0.29,27.94
08:30 - 08:45,38.53,38.53,14.45,-9.00,0.29,24.08
08:45 - 09:00,29.86,33.72,14.45,-17.00,0.00,18.30
09:00 - 09:15,38.53,-10.00,12.52,-77.00,0.00,-3.00
09:15 - 09:30,55.87,-11.00,12.52,-88.00,0.00,-26.00
09:30 - 09:45,131.01,-30.00,13.00,-89.00,0.00,-6.00
09:45 - 10:00,128.12,-28.00,13.00,-80.00,0.00,34.68
10:00 - 10:15,82.84,0.00,11.08,-70.00,0.00,85.74
10:15 - 10:30,72.25,0.00,11.08,-60.00,0.00,91.51
10:30 - 10:45,0.96,0.00,11.56,-54.00,0.00,81.88
10:45 - 11:00,-23.00,0.00,11.56,-52.00,0.00,72.25
11:00 - 11:15,51.05,-35.00,10.60,-56.00,0.00,38.53
11:15 - 11:30,52.97,-28.00,10.60,-54.00,0.00,48.17
11:30 - 11:45,72.24,-13.00,8.67,-51.00,0.00,33.72
11:45 - 12:00,81.88,-8.00,8.67,-50.00,0.00,38.53
12:00 - 12:15,36.61,0.00,7.71,-43.00,0.00,43.34
12:15 - 12:30,26.97,0.00,7.71,-42.00,0.00,52.98
12:30 - 12:45,40.46,-28.00,7.71,-43.00,0.00,52.98
12:45 - 13:00,25.05,-27.00,7.71,-43.00,0.00,38.52
13:00 - 13:15,-28.00,-24.00,8.19,-43.00,0.00,-30.00
13:15 - 13:30,-39.00,-24.00,8.19,-44.00,0.00,-20.00
13:30 - 13:45,-52.00,0.00,8.19,-46.00,0.00,14.45
13:45 - 14:00,-73.00,0.00,7.71,-48.00,0.00,43.34
14:00 - 14:15,-69.00,0.00,8.67,-57.00,0.00,-45.00
14:15 - 14:30,-76.00,0.00,9.63,-57.00,0.00,-15.00
14:30 - 14:45,-68.00,0.00,12.52,-56.00,0.00,48.17
14:45 - 15:00,-59.00,0.00,12.52,-53.00,0.00,62.62
15:00 - 15:15,-42.00,0.00,15.41,-52.00,0.00,57.80
15:15 - 15:30,-54.00,0.00,17.34,-53.00,0.00,52.98
15:30 - 15:45,-77.00,0.00,18.30,-52.00,0.00,14.45
15:45 - 16:00,-59.00,0.00,18.30,-55.00,0.00,-15.00
16:00 - 16:15,-60.00,0.00,18.30,-53.00,0.00,-10.00
16:15 - 16:30,-63.00,0.00,18.30,-60.00,0.00,-20.00
16:30 - 16:45,-109.00,16.38,17.34,-64.00,0.00,-46.00
16:45 - 17:00,-81.00,8.67,17.34,-69.00,0.00,-49.00
17:00 - 17:15,-103.00,5.78,18.30,-23.00,0.00,-61.00
17:15 - 17:30,-88.00,10.60,18.30,-29.00,0.00,-56.00
17:30 - 17:45,-101.00,6.74,18.31,-33.00,0.00,-96.00
17:45 - 18:00,-100.00,11.56,18.30,-38.00,0.00,-82.00
18:00 - 18:15,-115.00,36.61,18.30,-44.00,0.00,-45.00
18:15 - 18:30,-104.00,45.28,18.30,-47.00,0.00,-49.00
18:30 - 18:45,-125.00,65.51,18.30,-53.00,0.00,-10.00
18:45 - 19:00,-123.00,79.95,19.27,-46.00,0.00,-11.00
19:00 - 19:15,25.05,83.81,19.27,-45.00,0.00,183.98
19:15 - 19:30,39.50,27.94,19.27,-41.00,0.00,78.01
19:30 - 19:45,119.45,-17.00,20.71,-41.00,0.00,79.95
19:45 - 20:00,126.19,-20.00,20.71,-39.00,0.00,63.58
20:00 - 20:15,136.79,-23.00,22.16,-42.00,0.00,59.72
20:15 - 20:30,143.53,-32.00,22.16,-37.00,0.00,46.24
20:30 - 20:45,204.22,-40.00,21.67,-29.00,0.00,60.69
20:45 - 21:00,179.18,-50.00,21.67,-30.00,0.00,51.05
21:00 - 21:15,92.48,-35.00,22.64,-30.00,0.00,24.08
21:15 - 21:30,97.29,-36.00,22.16,-37.00,0.00,24.08
21:30 - 21:45,12.52,-68.00,21.67,-38.00,0.00,23.13
21:45 - 22:00,-29.00,-78.00,21.19,-37.00,0.00,14.45
22:00 - 22:15,-52.00,-91.00,20.71,-34.00,0.00,0.00
22:15 - 22:30,-39.00,-101.00,20.23,-37.00,0.00,0.00
22:30 - 22:45,-80.00,-106.00,19.75,-32.00,0.00,-27.00
22:45 - 23:00,-78.00,-95.00,19.27,-30.00,0.00,-31.00
23:00 - 23:15,0.00,-85.00,18.78,-31.00,0.00,-66.00
23:15 - 23:30,-35.00,-75.00,18.30,-30.00,0.00,-77.00
23:30 - 23:45,0.00,-80.00,17.82,-34.00,0.00,-101.00
23:45 - 24:00,0.00,-84.00,17.34,-33.00,0.00,-105.00
