Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,24.02,0.00,-1.30,6.72,28.82
00:15 - 00:30,57.64,0.00,-1.30,6.63,19.21
00:30 - 00:45,28.82,0.00,-1.30,6.53,28.82
00:45 - 01:00,10.57,0.00,-1.30,6.44,4.80
01:00 - 01:15,43.24,-25.00,-1.30,6.34,4.80
01:15 - 01:30,33.63,-25.00,-1.30,6.34,4.80
01:30 - 01:45,18.25,-23.00,-1.30,5.00,-5.00
01:45 - 02:00,10.56,-21.00,-1.30,5.00,-5.00
02:00 - 02:15,-47.00,-26.00,-1.30,5.00,-15.00
02:15 - 02:30,0.00,-16.00,-1.30,4.80,-20.00
02:30 - 02:45,20.18,-10.00,-1.30,4.80,-25.00
02:45 - 03:00,15.37,-10.00,-1.30,4.90,-25.00
03:00 - 03:15,62.44,-5.00,-1.30,5.00,-30.00
03:15 - 03:30,20.17,-23.00,-1.30,5.00,-30.00
03:30 - 03:45,46.11,-25.00,-1.30,5.00,-20.00
03:45 - 04:00,51.88,-20.00,-1.30,5.09,-20.00
04:00 - 04:15,41.31,-18.00,-1.30,5.76,-20.00
04:15 - 04:30,53.80,-9.00,-1.30,6.53,-20.00
04:30 - 04:45,51.88,-20.00,-1.30,6.72,-15.00
04:45 - 05:00,62.44,-16.00,-1.30,7.69,-15.00
05:00 - 05:15,18.25,-60.00,-1.30,9.03,-20.00
05:15 - 05:30,-10.00,-61.00,-1.30,11.53,-20.00
05:30 - 05:45,0.00,-57.00,-1.30,13.55,4.80
05:45 - 06:00,63.40,-71.00,-1.30,14.03,-20.00
06:00 - 06:15,-52.00,-70.00,-1.30,15.66,-40.00
06:15 - 06:30,-19.00,-66.00,-1.30,17.10,-35.00
06:30 - 06:45,-38.00,-57.00,-1.30,17.29,-30.00
06:45 - 07:00,0.00,-59.00,-1.30,17.77,-70.00
07:00 - 07:15,-14.00,-101.00,-1.30,18.16,-85.00
07:15 - 07:30,-30.00,-115.00,-1.30,18.54,-55.00
07:30 - 07:45,40.35,-120.00,-1.30,19.21,-7.00
07:45 - 08:00,40.36,-121.00,-1.30,19.21,33.62
08:00 - 08:15,54.76,-75.00,-1.30,18.64,19.21
08:15 - 08:30,51.88,-85.00,-1.30,17.58,38.43
08:30 - 08:45,97.03,-21.00,-1.30,17.68,72.05
08:45 - 09:00,73.01,-10.00,-1.30,17.68,62.45
09:00 - 09:15,106.64,6.72,-0.30,13.93,76.86
09:15 - 09:30,92.23,9.61,-0.30,13.74,110.47
09:30 - 09:45,124.88,25.94,-0.30,13.55,76.86
09:45 - 10:00,103.75,17.29,-0.30,13.55,62.45
10:00 - 10:15,89.35,0.00,-0.30,12.49,19.21
10:15 - 10:30,106.64,0.00,-0.30,12.39,14.41
10:30 - 10:45,91.26,-10.00,-0.30,12.30,28.82
10:45 - 11:00,73.97,-14.00,-0.30,11.72,24.02
11:00 - 11:15,39.39,-22.00,-0.30,9.32,76.85
