Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-169.00,-56.00,11.54,-34.00,0.00,-5.00
00:15 - 00:30,-164.00,-32.00,11.54,-34.00,0.00,-5.00
00:30 - 00:45,-151.00,-45.00,11.06,-34.00,0.00,-40.00
00:45 - 01:00,-142.00,-33.00,10.58,-34.00,0.00,-35.00
01:00 - 01:15,-146.00,-22.00,10.29,-34.00,0.00,-95.00
01:15 - 01:30,-160.00,-25.00,9.90,-35.00,0.00,-95.00
01:30 - 01:45,-223.00,-18.00,9.61,-34.00,0.00,-50.00
01:45 - 02:00,-223.00,-20.00,9.33,-34.00,0.00,-35.00
02:00 - 02:15,-64.00,-25.00,8.94,-35.00,0.00,-20.00
02:15 - 02:30,-69.00,-30.00,8.65,-35.00,0.00,-15.00
02:30 - 02:45,-53.00,-45.00,8.65,-34.00,0.00,-30.00
02:45 - 03:00,-45.00,-45.00,8.65,-35.00,0.00,-40.00
03:00 - 03:15,2.88,0.00,8.66,-36.00,0.00,-105.00
03:15 - 03:30,30.77,0.00,8.65,-36.00,0.00,-150.00
03:30 - 03:45,60.57,24.04,8.65,-36.00,0.00,-155.00
03:45 - 04:00,71.14,24.04,8.65,-35.00,0.00,-160.00
04:00 - 04:15,57.68,25.96,8.17,-35.00,0.00,-30.00
04:15 - 04:30,65.38,28.84,7.69,-35.00,0.00,-30.00
04:30 - 04:45,132.68,26.92,7.40,-25.00,0.00,-20.00
04:45 - 05:00,87.48,27.88,7.02,-20.00,0.00,-20.00
05:00 - 05:15,105.75,-4.00,6.73,-25.00,0.00,-15.00
05:15 - 05:30,12.49,0.00,6.35,-25.00,0.00,-35.00
05:30 - 05:45,-44.00,26.91,6.35,-25.00,0.00,-13.00
05:45 - 06:00,-37.00,15.38,6.35,-25.00,0.00,-65.00
06:00 - 06:15,-14.00,10.58,7.69,-25.00,0.00,-60.00
06:15 - 06:30,-40.00,24.04,8.17,-25.00,0.00,-40.00
06:30 - 06:45,-34.00,0.00,8.65,-25.00,0.00,-45.00
06:45 - 07:00,-44.00,0.00,9.13,-25.00,0.00,-35.00
07:00 - 07:15,-51.00,0.00,9.61,-25.00,0.00,4.81
07:15 - 07:30,-37.00,0.00,10.09,-25.00,0.00,12.50
07:30 - 07:45,0.00,6.73,10.58,-25.00,0.00,-70.00
07:45 - 08:00,0.00,9.61,10.58,-25.00,0.00,-65.00
