Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL
62,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,237.8400,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,458.8900,0.0000,0.0000,269.9999,0.0000,0.0000,99.0000,101.2600,271.9100,31.1400,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,20.0400,88.9500,88.9700,119.5600,404.8700,85.5600,6.7000,32.4600,21.5600,43.7200,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,15.0400,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,13.6600,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,12.9200,6.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.2500,7.4100,0.0000,68.7900,2.7500,2.2300,0.0000,0.0000,0.0000,15.0000,5.0000,5.0000,154.8500,30.9700,55.6600,27.5000,135.3500,5.0000,8.3300,8.3300,0.0000,0.0000,0.0000,0.0000,11.2000,29.0000,52.5000,122.5000,27.5000,44.0000
61,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,237.8400,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,429.8800,0.0000,0.0000,269.9999,0.0000,0.0000,99.0000,101.2600,271.9100,33.0300,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,20.0400,88.9500,88.9700,119.5600,404.8700,85.5600,6.7000,32.4600,21.5600,43.7200,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,15.0400,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,13.6600,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,23.5900,6.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.2500,7.6600,0.0000,78.5500,2.7500,2.2300,0.0000,0.0000,0.0000,15.0000,5.0000,5.0000,166.7700,33.3500,61.0100,28.5000,135.3500,5.0000,8.3300,8.3300,0.0000,0.0000,0.0000,0.0000,11.2000,28.0400,56.4000,131.6000,28.5000,50.0000
60,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,237.8400,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,429.8800,0.0000,0.0000,269.9999,0.0000,0.0000,99.0000,101.2600,271.9100,34.8000,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,20.0400,88.9500,88.9700,119.5600,404.8700,85.5600,6.7000,32.4600,17.5600,43.7200,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,15.0400,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,13.6600,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,68.5300,6.1900,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.2500,8.6800,0.0000,86.1100,2.7000,2.2300,0.0000,0.0000,0.0000,15.0000,5.0000,5.0000,178.3200,35.6600,66.0100,31.5000,135.3500,5.0000,8.3300,8.3300,0.0000,0.0000,0.0000,0.0000,11.2000,28.0400,62.1000,144.9000,31.5000,57.0000
59,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,237.8400,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,410.5500,0.0000,0.0000,269.9999,0.0000,0.0000,99.0000,101.2600,271.9100,36.2700,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,20.0400,88.9500,88.9700,119.5600,404.8700,85.5600,6.3200,32.4600,15.1700,43.7200,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,13.6600,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,23.5900,6.1900,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.2500,9.1400,0.0000,94.5700,2.7000,2.2300,0.0000,0.0000,0.0000,15.0000,5.0000,5.0000,191.9700,38.3900,69.7800,35.5000,135.3500,5.0000,8.3300,8.3300,0.0000,0.0000,0.0000,0.0000,11.2000,28.0400,66.6000,155.4000,35.5000,59.0000
58,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,237.8400,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,374.3700,0.0000,0.0000,269.9999,0.0000,0.0000,99.0000,101.2600,271.9100,37.4400,0.0000,0.0000,0.0000,0.0000,0.0000,330.2100,0.0000,0.0000,20.0400,88.9500,88.9700,119.5600,404.8700,85.5600,4.3900,32.3900,15.1800,43.7200,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,10.4000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,12.9200,6.1900,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,9.5400,0.0000,102.4300,2.7000,2.2300,0.0000,0.0000,0.0000,15.0000,5.0000,5.0000,195.5300,39.1100,73.3300,36.5000,135.3500,5.0000,8.3300,8.3300,0.0000,0.0000,0.0000,0.0000,11.2000,28.0400,70.5000,164.5000,36.5000,63.0000
57,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,237.8400,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,374.3700,0.0000,0.0000,269.9999,0.0000,0.0000,77.3400,101.2600,271.9100,38.3100,0.0000,0.0000,0.0000,0.0000,0.0000,325.7000,0.0000,0.0000,20.0400,88.9500,88.9700,119.5600,404.8700,85.5600,4.3900,26.3700,15.1800,43.7200,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,10.4000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,12.9200,11.5300,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,9.7400,0.0000,109.3900,2.7000,2.2300,0.0000,0.0000,0.0000,15.0000,5.0000,5.0000,206.6800,41.3300,76.1800,38.5000,135.3500,5.0000,8.3300,8.3300,0.0000,0.0000,0.0000,0.0000,11.2000,28.0400,75.0000,175.0000,38.5000,67.0000
56,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,237.8400,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,374.3700,0.0000,0.0000,269.9999,0.0000,0.0000,67.6800,101.2600,271.9100,39.6600,0.0000,0.0000,0.0000,0.0000,0.0000,325.7000,0.0000,0.0000,13.8900,88.9500,88.9700,119.5600,404.8700,85.5600,4.3900,26.3700,15.1800,43.7200,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,10.4000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,12.9200,11.5300,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,10.1400,0.0000,115.5900,2.7000,2.0800,0.0000,0.0000,0.0000,15.0000,5.0000,5.0000,216.9700,43.3900,78.3000,40.0000,135.3500,5.0000,8.3300,8.3300,0.0000,0.0000,0.0000,0.0000,11.2000,28.0400,78.9000,184.1000,40.0000,73.0000
55,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,237.8400,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,374.3700,0.0000,0.0000,269.9999,0.0000,0.0000,67.6800,101.2600,271.9100,39.6600,0.0000,0.0000,0.0000,0.0000,0.0000,325.7000,0.0000,0.0000,13.8900,88.9500,88.9700,119.5600,404.8700,85.5600,4.3900,26.3700,15.1800,39.2500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,10.4000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,12.9200,11.5300,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,10.1100,0.0000,121.3500,2.7000,2.0800,0.0000,0.0000,0.0000,15.0000,5.0000,5.0000,220.8300,44.1700,79.6400,41.0000,135.3500,5.0000,8.3300,8.3300,0.0000,0.0000,0.0000,0.0000,11.2000,28.0400,81.0000,189.0000,41.0000,80.0000
54,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,198.5600,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,374.3700,0.0000,0.0000,270.0001,0.0000,0.0000,67.6800,101.2600,271.9100,39.6600,0.0000,0.0000,0.0000,0.0000,0.0000,325.7000,0.0000,0.0000,13.8900,88.9500,88.9700,119.5600,404.8700,85.5600,4.3900,26.3700,15.1800,34.1800,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,10.4000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,12.9200,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,10.1400,0.0000,126.1100,2.7000,2.0800,0.0000,0.0000,0.0000,15.0000,5.0000,5.0000,220.8300,44.1700,81.6700,43.0000,135.3500,5.0000,8.3300,8.3300,0.0000,0.0000,0.0000,0.0000,11.2000,28.0400,81.0000,189.0000,43.0000,90.0000
53,62IS2023/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,198.5600,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1400,374.3700,0.0000,0.0000,270.0001,0.0000,0.0000,67.6800,101.2600,271.9100,39.6600,0.0000,0.0000,0.0000,0.0000,0.0000,325.7000,0.0000,0.0000,13.8900,88.9500,88.9700,119.5600,404.8700,85.5600,4.3900,26.3700,15.9800,35.5500,95.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5800,0.0000,0.0000,19.3100,0.0000,0.0000,0.0000,25.5200,1.1400,0.0000,0.0000,0.0000,6.4000,10.4000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,12.9200,4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,2.1800,10.1400,0.0000,130.5300,2.7000,2.0800,0.0000,0.0000,0.0000,15.0000,5.0000,5.0000,220.8300,44.1700,83.2000,43.5000,135.3500,5.0000,8.3300,8.3300,0.0000,0.0000,0.0000,0.0000,11.2000,28.0400,81.0000,189.0000,43.5000,83.0000
