Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-73.00,14.42,8.17,-50.00,15.39
00:15 - 00:30,-111.00,14.42,8.17,-49.00,20.19
00:30 - 00:45,-122.00,24.04,8.17,-50.00,-20.00
00:45 - 01:00,-159.00,29.81,7.88,-50.00,-5.00
01:00 - 01:15,-190.00,38.46,7.69,-50.00,-7.00
01:15 - 01:30,-226.00,33.65,7.40,-50.00,-85.00
01:30 - 01:45,-222.00,33.65,7.21,-49.00,-90.00
01:45 - 02:00,-222.00,33.65,7.02,-50.00,-90.00
02:00 - 02:15,-17.00,9.61,6.73,-51.00,-125.00
02:15 - 02:30,-13.00,4.81,6.73,-51.00,-132.00
02:30 - 02:45,6.73,-10.00,6.73,-52.00,-22.00
02:45 - 03:00,23.07,-8.00,6.73,-52.00,-21.00
03:00 - 03:15,67.29,24.04,6.73,-53.00,-39.00
03:15 - 03:30,92.29,33.65,6.73,-53.00,-48.00
03:30 - 03:45,68.26,19.23,6.73,-53.00,-11.00
03:45 - 04:00,32.68,18.27,6.73,-53.00,-17.00
04:00 - 04:15,24.03,4.81,6.73,-53.00,-39.00
04:15 - 04:30,23.07,4.81,6.25,-53.00,-54.00
04:30 - 04:45,45.18,11.54,5.96,-53.00,-50.00
04:45 - 05:00,0.00,43.26,5.77,-53.00,-11.00
05:00 - 05:15,-18.00,0.00,5.29,-51.00,-11.00
05:15 - 05:30,50.95,4.81,4.81,-52.00,-11.00
05:30 - 05:45,16.34,0.00,5.29,-51.00,4.81
05:45 - 06:00,1.92,0.00,5.29,-52.00,5.77
06:00 - 06:15,-11.00,0.00,5.77,-54.00,6.73
06:15 - 06:30,-16.00,0.00,6.35,-52.00,-1.00
06:30 - 06:45,2.88,0.00,6.73,-53.00,24.04
06:45 - 07:00,-25.00,0.00,7.02,-52.00,28.84
07:00 - 07:15,-70.00,0.00,7.69,-52.00,-15.00
07:15 - 07:30,-103.00,41.34,8.17,-52.00,-15.00
07:30 - 07:45,-92.00,6.73,7.69,-52.00,38.46
07:45 - 08:00,-63.00,25.00,7.69,-51.00,38.45
08:00 - 08:15,-40.00,43.26,4.81,-48.00,-93.00
08:15 - 08:30,-30.00,42.31,2.88,-42.00,-66.00
08:30 - 08:45,-7.00,23.07,5.77,-22.00,-56.00
08:45 - 09:00,-11.00,29.80,5.77,-2.00,-48.00
09:00 - 09:15,-69.00,9.61,6.25,-30.00,-55.00
09:15 - 09:30,-55.00,24.03,5.77,-15.00,-35.00
09:30 - 09:45,11.54,25.95,6.73,0.00,12.50
09:45 - 10:00,29.80,29.80,5.48,0.00,53.85
10:00 - 10:15,47.11,0.00,5.10,0.00,57.68
10:15 - 10:30,55.76,2.88,5.10,0.00,52.88
10:30 - 10:45,43.26,28.84,2.60,0.00,52.88
10:45 - 11:00,19.23,30.76,1.63,0.00,52.88
11:00 - 11:15,109.59,46.15,0.48,0.00,38.46
11:15 - 11:30,103.83,49.99,0.00,0.00,24.04
11:30 - 11:45,121.14,91.33,0.00,0.00,57.68
11:45 - 12:00,121.14,101.91,-1.00,0.00,57.68
12:00 - 12:15,191.31,127.87,-1.50,0.00,100.95
12:15 - 12:30,197.09,137.48,-1.70,0.00,124.98
12:30 - 12:45,66.34,104.79,-3.00,0.00,110.56
12:45 - 13:00,58.65,104.79,-3.30,0.00,91.33
13:00 - 13:15,-29.00,62.49,7.79,0.00,0.00
13:15 - 13:30,-37.00,59.60,7.79,0.00,33.65
13:30 - 13:45,-9.00,83.64,7.88,0.00,38.46
13:45 - 14:00,21.15,92.29,7.98,-11.00,48.07
14:00 - 14:15,105.75,128.83,8.08,-12.00,-120.00
14:15 - 14:30,153.83,145.17,8.17,-11.00,-70.00
14:30 - 14:45,186.52,186.51,8.17,-10.00,-20.00
14:45 - 15:00,230.73,197.09,8.17,-7.00,0.00
15:00 - 15:15,187.48,179.78,5.77,-9.00,28.84
15:15 - 15:30,154.79,159.59,6.73,-9.00,33.65
15:30 - 15:45,79.80,172.08,6.73,-14.00,52.88
15:45 - 16:00,80.76,175.93,7.02,-18.00,52.88
16:00 - 16:15,32.69,188.43,6.54,-25.00,76.91
16:15 - 16:30,43.26,149.98,6.25,-29.00,57.68
16:30 - 16:45,87.49,105.76,9.90,-32.00,76.91
16:45 - 17:00,101.91,115.37,10.67,-37.00,76.91
17:00 - 17:15,112.49,105.75,12.50,-40.00,48.07
17:15 - 17:30,130.74,115.37,11.54,-46.00,52.88
17:30 - 17:45,144.21,125.94,10.58,-53.00,48.07
17:45 - 18:00,157.68,123.06,9.61,-54.00,57.68
18:00 - 18:15,198.05,135.56,8.46,-55.00,48.07
18:15 - 18:30,202.86,131.71,9.81,-54.00,57.68
18:30 - 18:45,193.24,91.33,11.06,-52.00,124.98
18:45 - 19:00,195.16,54.80,11.54,-55.00,96.14
19:00 - 19:15,35.57,-18.00,12.79,-58.00,52.88
19:15 - 19:30,-5.00,-16.00,12.21,-61.00,19.23
19:30 - 19:45,-64.00,-35.00,12.50,-61.00,-35.00
19:45 - 20:00,-24.00,-35.00,12.98,-62.00,-30.00
20:00 - 20:15,-107.00,-10.00,13.46,-62.00,-100.00
20:15 - 20:30,-85.00,-10.00,13.84,-63.00,-110.00
20:30 - 20:45,-62.00,0.00,13.46,-63.00,-104.00
20:45 - 21:00,-38.00,0.00,14.42,-63.00,-128.00
21:00 - 21:15,-33.00,0.00,14.42,-64.00,-123.00
21:15 - 21:30,17.31,0.00,14.42,-60.00,-118.00
21:30 - 21:45,55.76,0.00,14.42,-59.00,-133.00
21:45 - 22:00,77.87,0.00,13.46,-64.00,-99.00
22:00 - 22:15,69.22,-10.00,12.50,-63.00,-120.00
22:15 - 22:30,96.14,-8.00,12.50,-64.00,-134.00
22:30 - 22:45,111.52,0.00,12.50,-64.00,-186.00
22:45 - 23:00,149.98,0.00,11.54,-60.00,-186.00
23:00 - 23:15,193.24,0.00,11.54,-60.00,-206.00
23:15 - 23:30,184.58,0.00,10.58,-60.00,-205.00
23:30 - 23:45,141.32,0.00,11.54,-60.00,-225.00
23:45 - 24:00,113.44,0.00,11.54,-61.00,-225.00
