Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,159.39,28.98,-0.50,19.32,-44.00,19.32
00:15 - 00:30,159.39,19.32,-0.50,19.32,-49.00,14.49
00:30 - 00:45,123.65,43.47,-0.50,19.32,-21.00,2.90
00:45 - 01:00,83.08,38.64,-0.50,19.32,-21.00,-5.00
01:00 - 01:15,88.88,19.32,-0.38,19.32,-21.00,42.50
01:15 - 01:30,49.27,28.98,-0.47,18.35,-21.00,91.77
01:30 - 01:45,41.54,89.84,0.00,18.35,-22.00,120.75
01:45 - 02:00,0.00,88.87,0.00,18.35,-21.00,125.59
02:00 - 02:15,-81.00,126.55,-0.50,18.35,-30.00,-16.00
02:15 - 02:30,-118.00,170.02,-0.50,18.35,-31.00,-14.00
02:30 - 02:45,-237.00,117.85,-0.50,14.49,-30.00,-184.00
02:45 - 03:00,-275.00,113.99,-0.50,14.49,-30.00,-184.00
03:00 - 03:15,-728.00,28.98,-0.50,12.56,-33.00,-400.00
03:15 - 03:30,-702.00,49.26,-0.50,12.56,-33.00,-420.00
03:30 - 03:45,-850.00,-138.00,-0.50,8.69,-64.00,-429.00
03:45 - 04:00,-632.00,-147.00,-0.50,8.69,-66.00,-441.00
04:00 - 04:15,-479.00,0.00,-0.50,7.73,-65.00,-346.00
04:15 - 04:30,-473.00,0.00,-0.50,7.73,-65.00,-302.00
04:30 - 04:45,-493.00,69.55,-0.44,7.73,-65.00,-70.00
04:45 - 05:00,-494.00,69.55,-0.27,7.73,-65.00,-70.00
05:00 - 05:15,-363.00,8.69,0.00,8.70,-65.00,-5.00
05:15 - 05:30,-303.00,22.22,0.00,8.69,-65.00,-5.00
05:30 - 05:45,-201.00,115.92,0.00,8.69,-65.00,96.60
05:45 - 06:00,-191.00,145.87,0.00,8.69,-65.00,96.60
06:00 - 06:15,-137.00,255.99,0.00,9.66,-65.00,72.45
06:15 - 06:30,-109.00,222.18,0.00,9.66,-65.00,72.45
06:30 - 06:45,-36.00,173.88,0.00,9.66,-65.00,92.74
06:45 - 07:00,-22.00,91.77,0.00,9.66,-66.00,-120.00
07:00 - 07:15,-72.00,70.51,0.00,10.63,-66.00,-118.00
07:15 - 07:30,-68.95,75.34,0.00,10.63,0.00,-122.00
07:30 - 07:45,-10.11,133.31,0.00,11.59,0.00,-79.99
07:45 - 08:00,-0.79,125.58,0.00,11.59,0.00,-80.00
08:00 - 08:15,-6.35,24.15,0.00,3.86,0.00,-80.00
08:15 - 08:30,-9.19,-20.00,0.00,3.86,0.00,-80.00
08:30 - 08:45,-204.00,-65.00,0.00,4.83,0.00,-117.00
08:45 - 09:00,-244.00,-85.00,0.00,4.83,0.00,-126.00
09:00 - 09:15,-462.00,-105.00,0.00,2.90,0.00,-370.00
09:15 - 09:30,-477.00,-95.00,0.00,2.90,0.00,-390.00
09:30 - 09:45,-495.00,-154.00,0.00,2.90,0.00,-342.00
09:45 - 10:00,-568.00,-124.00,0.00,2.90,0.00,-265.00
10:00 - 10:15,-672.00,-98.00,0.00,0.97,0.00,-300.00
10:15 - 10:30,-684.00,-100.00,0.00,0.97,0.00,-270.00
10:30 - 10:45,-706.00,-78.00,0.00,0.97,0.00,-265.00
10:45 - 11:00,-708.00,-76.00,0.00,0.97,0.00,-255.00
11:00 - 11:15,-684.00,-79.00,0.00,0.00,0.00,-220.00
11:15 - 11:30,-665.00,-59.00,0.00,0.00,0.00,-210.00
11:30 - 11:45,-586.00,-80.00,0.00,0.00,0.00,-198.00
11:45 - 12:00,-510.00,-67.00,0.00,0.00,0.00,-189.00
12:00 - 12:15,-617.00,-110.00,0.00,0.00,0.00,-162.00
12:15 - 12:30,-508.00,-93.00,0.00,0.00,0.00,-175.00
12:30 - 12:45,-512.00,-96.00,0.00,0.00,0.00,-165.00
12:45 - 13:00,-528.00,-97.00,0.00,0.00,0.00,-174.00
13:00 - 13:15,-597.00,-65.00,0.00,0.97,-129.00,-184.00
13:15 - 13:30,-591.00,-55.00,0.00,0.97,-128.00,-210.00
13:30 - 13:45,-449.00,-67.00,0.00,1.93,-127.00,-254.00
