Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,104.56,7.67,-2.20,7.39,0.00
00:15 - 00:30,83.47,23.98,-2.20,7.19,-10.00
00:30 - 00:45,69.08,9.59,-2.20,7.00,0.00
00:45 - 01:00,69.07,9.59,-2.20,6.81,0.00
01:00 - 01:15,39.33,0.00,-2.20,6.62,-20.00
01:15 - 01:30,45.09,0.00,-2.20,6.52,-20.00
01:30 - 01:45,26.86,0.00,-2.20,6.43,-25.00
01:45 - 02:00,28.78,0.00,-2.20,6.33,-25.00
02:00 - 02:15,38.37,0.00,-2.20,6.24,-25.00
02:15 - 02:30,35.49,0.00,-2.20,6.14,-25.00
02:30 - 02:45,32.62,0.00,-2.20,6.04,-25.00
02:45 - 03:00,50.84,17.27,-2.20,5.95,-25.00
03:00 - 03:15,42.21,0.00,-2.20,5.85,-30.00
03:15 - 03:30,9.59,0.00,-2.20,5.76,-30.00
03:30 - 03:45,21.10,0.00,-2.20,5.76,-30.00
03:45 - 04:00,0.00,-8.00,-2.20,5.76,-30.00
04:00 - 04:15,-6.00,-8.00,-2.20,5.95,-25.00
04:15 - 04:30,21.10,0.00,-2.20,6.14,-25.00
04:30 - 04:45,35.49,0.00,-2.20,6.24,-25.00
04:45 - 05:00,30.70,0.00,-2.20,6.52,-25.00
05:00 - 05:15,23.98,0.00,-2.20,3.65,-25.00
05:15 - 05:30,24.95,0.00,-2.20,4.60,-35.00
05:30 - 05:45,23.02,-28.00,-2.20,-3.80,-55.00
05:45 - 06:00,9.59,-33.00,-2.20,-2.70,-80.00
06:00 - 06:15,0.00,0.00,-2.20,-2.00,-120.00
06:15 - 06:30,0.00,0.00,-2.20,-1.50,-125.00
06:30 - 06:45,0.00,0.00,-2.20,-1.00,-210.00
06:45 - 07:00,0.00,0.00,-2.20,-0.50,-180.00
07:00 - 07:15,-11.00,-12.00,-2.20,0.00,-155.00
07:15 - 07:30,-21.00,-15.00,-2.20,0.96,-110.00
07:30 - 07:45,0.00,0.00,-2.20,1.15,-25.00
07:45 - 08:00,0.00,0.00,-2.20,1.25,0.00
08:00 - 08:15,0.00,0.00,-2.20,1.63,-15.00
08:15 - 08:30,0.00,0.00,-2.20,1.92,-10.00
