genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
29,0,0,0,6.101337,0,0,0,9.6004183,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,160.83490005,2.2080443,,,24.3275373,,3.162808,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
30,0,0,0,6.101337,0,0,0,9.6004183,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.0251264,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,160.83490005,2.2080443,,,24.3275373,,3.166999,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
31,0,0,0,6.101337,0,0,0,9.6004183,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,35.061092,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,160.83490005,2.2080443,,,24.3275373,,3.183763,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
32,0,0,0,6.101337,0,0,0,9.6004183,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.3199296,90.27906745,5.1049658,4.5882452,2.83591,34.967152,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,160.83490005,2.2080443,,,24.3275373,,3.203321,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
33,0,0,0,6.04217955,0,0,0,9.6004183,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.0910944,90.27906745,5.1049658,4.5882452,2.90576,34.967152,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,160.83490005,2.2080443,,,24.3275373,,3.222879,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
34,0,0,0,6.04217955,0,0,0,9.6004183,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.0910944,90.27906745,5.1049658,4.5882452,2.90576,34.8474456,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,160.83490005,2.2080443,,,24.3275373,,3.239643,,1.663827,0,,38.8067064,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
35,0,0,0,6.04217955,0,0,0,9.6004183,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.0910944,90.27906745,5.1049658,4.5882452,2.90576,34.8474456,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,160.83490005,2.2080443,,,24.3275373,,3.611245,,1.663827,0,,20.9540496,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
36,0,0,0,6.04217955,0,0,0,9.6004183,,2.732532,5.888355,5.520108,4.06126875,0,0,0,12.0910944,90.27906745,5.1049658,4.5882452,2.90576,34.7422328,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,160.83490005,2.2080443,,,24.3275373,,3.622421,,1.663827,0,,0,,2.91138375,5.8570512,3.6472898,0,6.324219,3.9471344,
37,0,0,0,5.98418205,0,0,0,9.6004183,,0,5.888355,5.520108,4.06126875,0,0,0,12.0910944,90.27906745,5.1049658,4.5882452,2.90576,34.6708384,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,160.83490005,2.2080443,,,24.3275373,,3.633597,,1.663827,0,,0,,2.91138375,5.8570512,3.6472898,0,6.508623,3.9471344,
38,0,0,0,5.98418205,0,0,0,9.6004183,,0,5.888355,5.520108,4.06126875,0,0,0,12.0910944,90.27906745,5.1049658,4.5882452,2.90576,34.6708384,,,6.360541,6.905371,,,,0,,0,,0,21.36849,,,,,,,3.4022219,4.0026525,0,0,7.17930675,3.8822861,0,16.5907588,27.8564902,,,11.444224,160.83490005,2.2080443,,,24.3275373,,3.650361,,1.663827,0,,0,,2.91138375,5.8570512,3.6472898,0,6.508623,3.9471344,
