Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,59.49,0.00,-1.50,1.92,0.00,6.72
00:15 - 00:30,56.62,0.00,-1.50,1.92,0.00,0.00
00:30 - 00:45,61.41,0.00,-1.50,1.92,0.00,-1.00
00:45 - 01:00,16.31,0.00,-1.50,1.92,0.00,-6.00
01:00 - 01:15,31.67,0.00,-1.50,1.92,-17.00,-32.00
01:15 - 01:30,71.97,0.00,-1.50,1.92,-17.00,-29.00
01:30 - 01:45,71.01,0.00,-1.50,1.92,-15.00,-20.00
01:45 - 02:00,117.07,0.00,-1.50,1.92,-16.00,-20.00
02:00 - 02:15,114.20,0.00,-1.50,1.92,-17.00,15.35
02:15 - 02:30,76.77,0.00,-1.50,1.92,-15.00,24.95
02:30 - 02:45,70.05,-7.00,-1.50,0.96,-14.00,14.39
02:45 - 03:00,69.09,-3.00,-1.50,0.96,-14.00,5.76
03:00 - 03:15,58.54,-14.00,-1.50,0.96,-13.00,-15.00
03:15 - 03:30,58.54,-15.00,-1.50,0.96,-12.00,-19.00
03:30 - 03:45,34.54,-27.00,-1.50,0.96,-11.00,10.56
03:45 - 04:00,33.58,-27.00,-1.50,0.96,-12.00,6.72
04:00 - 04:15,26.87,-21.00,-1.50,0.96,-12.00,17.27
04:15 - 04:30,25.91,-21.00,-1.50,0.96,-12.00,19.19
04:30 - 04:45,45.10,0.00,-1.50,1.92,-12.00,14.39
04:45 - 05:00,47.02,0.00,-1.50,1.92,-12.00,21.11
05:00 - 05:15,18.23,0.00,-1.50,3.84,-12.00,23.99
05:15 - 05:30,28.79,0.00,-1.50,4.80,-9.00,-8.00
05:30 - 05:45,29.75,0.00,-1.50,5.76,-11.00,47.98
05:45 - 06:00,22.07,0.00,-1.50,7.68,-10.00,-4.00
06:00 - 06:15,-19.00,0.00,-1.50,8.64,-10.00,-13.00
06:15 - 06:30,-48.00,0.00,-1.50,8.64,-10.00,-35.00
06:30 - 06:45,-132.00,0.00,-1.50,8.64,-10.00,-32.00
06:45 - 07:00,-104.00,0.00,-1.50,9.60,-10.00,-32.00
07:00 - 07:15,-82.00,0.00,-1.50,9.60,-10.00,-43.00
07:15 - 07:30,-91.00,0.00,-1.50,8.64,-10.00,-25.00
07:30 - 07:45,-33.00,-70.00,-1.50,8.64,-10.00,-5.00
07:45 - 08:00,2.88,-60.00,-1.50,7.68,-10.00,-5.00
08:00 - 08:15,-42.00,-60.00,-1.50,7.29,-10.00,0.00
08:15 - 08:30,0.00,-20.00,-1.50,6.72,-10.00,16.31
08:30 - 08:45,31.67,0.00,-1.50,5.76,-10.00,42.22
08:45 - 09:00,32.62,0.00,-1.50,5.57,-10.00,26.87
09:00 - 09:15,43.18,0.00,-0.50,4.80,-30.00,28.79
09:15 - 09:30,68.13,0.00,-0.50,3.84,-30.00,47.98
09:30 - 09:45,100.76,0.00,-0.50,3.36,-30.00,67.17
09:45 - 10:00,80.61,0.00,-0.50,2.88,-30.00,-15.00
10:00 - 10:15,59.49,0.00,-0.50,2.88,-20.00,11.52
10:15 - 10:30,62.37,0.00,-0.50,2.88,-20.00,33.59
10:30 - 10:45,61.41,38.38,-0.50,2.69,-15.00,81.57
10:45 - 11:00,64.29,30.71,-0.50,1.92,-15.00,62.37
11:00 - 11:15,71.01,11.52,-0.50,2.40,0.00,91.16
11:15 - 11:30,69.09,9.60,-0.50,3.36,0.00,81.56
11:30 - 11:45,70.05,19.19,-0.50,2.40,0.00,52.78
11:45 - 12:00,63.33,9.60,-0.50,1.92,0.00,62.37
12:00 - 12:15,75.81,22.07,-0.50,3.84,0.00,62.37
12:15 - 12:30,70.05,19.19,-0.50,3.36,0.00,43.18
12:30 - 12:45,74.85,19.19,-0.50,2.59,0.00,33.59
12:45 - 13:00,61.42,19.19,-0.50,2.78,0.00,28.79
13:00 - 13:15,0.00,0.00,-0.50,4.61,0.00,28.78
13:15 - 13:30,0.00,0.00,-0.50,2.40,0.00,47.98
13:30 - 13:45,-9.00,0.00,-0.50,0.96,0.00,47.98
13:45 - 14:00,10.56,0.00,-0.50,3.36,0.00,62.37
14:00 - 14:15,24.95,9.60,-0.50,0.96,0.00,95.96
14:15 - 14:30,41.26,4.80,-0.50,2.40,0.00,100.76
14:30 - 14:45,38.38,9.60,-0.50,3.36,0.00,95.96
14:45 - 15:00,63.33,9.60,-0.50,1.63,0.00,57.58
15:00 - 15:15,73.89,0.00,-0.50,1.92,0.00,95.96
15:15 - 15:30,88.28,0.00,-0.50,3.65,0.00,57.58
15:30 - 15:45,74.84,0.00,-0.50,3.65,0.00,57.58
