Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-10.00,0.00,13.26,0.00,-41.00
00:15 - 00:30,-50.00,0.00,12.49,0.00,-40.00
00:30 - 00:45,-86.00,0.00,12.01,2.98,-27.00
00:45 - 01:00,-38.00,0.00,11.53,1.73,-27.00
01:00 - 01:15,-42.00,6.73,10.56,0.00,-35.00
01:15 - 01:30,-34.00,7.69,10.57,0.00,-43.00
01:30 - 01:45,-61.00,13.45,10.57,0.00,-56.00
01:45 - 02:00,-51.00,12.49,10.57,0.00,-68.00
02:00 - 02:15,-62.00,0.00,10.57,0.00,-85.00
02:15 - 02:30,-57.00,0.00,10.57,0.00,-84.00
02:30 - 02:45,-47.00,0.00,9.90,0.00,-76.00
02:45 - 03:00,-41.00,0.00,9.80,0.00,-76.00
03:00 - 03:15,-32.00,0.00,9.80,0.19,-66.00
03:15 - 03:30,-56.00,0.00,9.80,0.00,-66.00
03:30 - 03:45,-67.00,0.00,10.18,0.00,-75.00
03:45 - 04:00,-68.00,0.00,10.57,2.02,-73.00
04:00 - 04:15,-67.00,9.61,10.56,2.50,-65.00
04:15 - 04:30,-72.00,33.62,10.57,2.79,-66.00
04:30 - 04:45,-62.00,43.24,11.53,4.80,-51.00
04:45 - 05:00,0.00,64.38,11.53,4.80,-47.00
05:00 - 05:15,0.00,49.00,6.73,4.80,-67.00
05:15 - 05:30,0.00,56.69,8.17,4.80,-69.00
05:30 - 05:45,20.18,57.65,9.13,4.80,-14.00
05:45 - 06:00,35.55,61.49,11.53,4.80,-16.00
06:00 - 06:15,42.28,124.90,13.45,4.80,-15.00
06:15 - 06:30,-95.00,133.56,16.33,4.80,-49.00
06:30 - 06:45,-102.00,170.06,18.26,4.80,-18.00
06:45 - 07:00,-142.00,164.30,20.18,4.80,-88.00
07:00 - 07:15,-119.00,94.16,20.18,4.80,56.69
07:15 - 07:30,-67.00,77.21,17.94,3.90,-69.00
07:30 - 07:45,20.85,115.65,12.41,2.48,-43.00
07:45 - 08:00,19.46,108.14,9.73,1.91,-42.00
08:00 - 08:15,4.15,146.38,11.19,2.08,-10.00
08:15 - 08:30,-13.00,161.82,11.84,2.19,-27.00
