Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,228.07,48.32,0.68,-1.50,9.37,0.00,5.41,0.29,25.13
00:15 - 00:30,236.77,53.15,0.68,-1.50,9.28,0.00,9.08,0.29,28.99
00:30 - 00:45,218.41,57.98,0.68,-1.50,9.08,0.00,0.00,0.00,48.32
00:45 - 01:00,215.51,57.98,0.68,-1.50,8.89,0.00,0.00,0.29,48.32
01:00 - 01:15,191.34,62.82,0.68,-1.50,8.70,0.00,0.00,0.29,43.49
01:15 - 01:30,181.68,62.82,0.68,-1.50,8.50,0.00,0.00,0.29,43.49
01:30 - 01:45,177.82,65.72,0.68,-1.50,8.50,0.00,0.00,0.29,50.25
01:45 - 02:00,170.09,63.78,0.68,-1.50,8.21,0.00,0.00,0.29,48.32
02:00 - 02:15,174.92,53.15,0.68,-1.50,8.02,0.00,0.00,0.29,94.71
02:15 - 02:30,138.19,45.42,0.68,-1.50,8.02,0.00,0.00,0.29,93.74
02:30 - 02:45,128.53,36.72,0.68,-1.50,7.92,0.00,0.00,0.29,84.08
02:45 - 03:00,126.59,34.79,0.68,-1.50,7.83,0.00,0.00,0.29,84.08
03:00 - 03:15,121.77,57.98,0.68,-1.50,7.73,-10.00,0.00,0.29,96.64
03:15 - 03:30,120.81,57.98,0.68,-1.50,7.63,-10.00,0.00,0.29,82.14
03:30 - 03:45,106.31,50.25,0.68,-1.50,7.63,-10.00,0.00,0.29,77.31
03:45 - 04:00,102.44,34.79,0.68,-1.50,7.54,-10.00,0.00,0.29,77.31
04:00 - 04:15,93.74,21.26,0.68,-1.50,7.54,-10.00,0.00,0.29,51.22
04:15 - 04:30,92.77,9.66,0.68,-1.50,7.54,-10.00,0.00,0.29,54.12
04:30 - 04:45,84.07,0.00,0.68,-1.50,7.54,-10.00,0.00,0.29,66.68
04:45 - 05:00,81.17,0.00,0.68,-1.50,7.73,-10.00,0.00,0.29,54.12
05:00 - 05:15,75.38,0.00,0.68,-1.50,7.73,-10.00,0.00,0.29,119.83
05:15 - 05:30,73.45,0.00,0.68,-1.50,8.02,-10.00,0.00,0.29,111.13
05:30 - 05:45,72.48,0.00,0.68,-1.50,8.21,-10.00,0.00,0.29,91.81
05:45 - 06:00,89.87,0.00,0.68,-1.50,8.21,-10.00,0.00,0.29,64.75
06:00 - 06:15,86.01,0.00,0.68,-1.50,8.31,-19.00,0.00,0.29,107.27
06:15 - 06:30,76.35,0.00,0.68,-1.50,8.31,-18.00,0.00,0.29,106.30
06:30 - 06:45,75.38,0.00,0.68,-1.50,8.21,-18.00,0.00,0.29,82.14
06:45 - 07:00,66.68,0.00,0.68,-1.50,7.92,-16.00,0.00,0.29,82.15
07:00 - 07:15,72.48,94.70,0.68,-1.50,7.54,-16.00,11.50,0.29,91.81
07:15 - 07:30,74.41,92.77,0.68,-1.50,6.96,-10.00,9.95,0.29,96.65
07:30 - 07:45,39.62,4.83,0.68,-1.50,6.38,-10.00,0.00,0.29,0.00
07:45 - 08:00,54.11,0.00,0.68,-1.50,5.90,-10.00,0.00,0.29,0.00
08:00 - 08:15,30.92,0.00,0.68,-1.50,5.12,-10.00,0.00,0.29,-40.00
08:15 - 08:30,40.59,0.00,0.68,-1.50,4.25,-10.00,0.00,0.29,-40.00
08:30 - 08:45,-5.00,0.00,0.68,-1.50,2.90,-10.00,0.00,0.29,6.76
08:45 - 09:00,-17.00,0.00,0.68,-1.50,2.41,-10.00,0.00,0.29,-8.00
09:00 - 09:15,-12.00,0.00,0.68,-0.50,1.74,-57.00,0.00,0.29,66.68
09:15 - 09:30,-8.00,0.00,0.68,-0.50,1.45,-56.00,0.00,0.29,113.06
09:30 - 09:45,-47.00,0.00,0.68,-0.50,1.26,-49.00,0.00,0.29,130.46
09:45 - 10:00,-48.00,0.00,0.68,-0.50,0.87,-48.00,0.00,0.29,130.46
10:00 - 10:15,-58.00,0.00,0.68,-0.50,3.00,-45.00,0.00,0.29,120.79
10:15 - 10:30,-57.00,0.00,0.68,-0.50,2.32,-43.00,0.00,0.29,125.63
10:30 - 10:45,-26.00,0.00,0.68,-0.50,3.67,-39.00,0.00,0.29,100.50
10:45 - 11:00,11.60,0.00,0.68,-0.50,1.93,-37.00,0.00,0.29,107.27
11:00 - 11:15,50.25,0.00,0.68,-0.50,0.00,-34.00,0.00,0.29,90.84
11:15 - 11:30,48.32,0.00,0.68,-0.50,0.29,-33.00,0.00,0.29,97.60
11:30 - 11:45,69.58,0.00,0.68,-0.50,0.00,-30.00,0.00,0.29,129.49
11:45 - 12:00,76.35,0.00,0.68,-0.50,0.00,-28.00,0.00,0.29,142.05
12:00 - 12:15,72.48,0.00,0.68,-6.00,0.00,-27.00,0.00,0.29,122.73
12:15 - 12:30,61.85,0.00,0.68,-6.00,2.90,-25.00,0.00,0.29,134.32
12:30 - 12:45,55.08,-5.00,0.68,-6.00,1.93,-22.00,0.00,0.29,76.35
12:45 - 13:00,57.98,-10.00,0.68,-6.00,2.90,-22.00,0.00,0.29,45.42
13:00 - 13:15,58.95,0.00,0.68,-6.00,0.48,-20.00,0.00,0.29,8.70
13:15 - 13:30,57.98,0.00,0.68,-6.00,0.00,-10.00,0.00,0.29,-9.00
13:30 - 13:45,72.48,-60.00,0.68,-6.00,0.00,-10.00,0.00,0.29,-8.00
13:45 - 14:00,85.04,-55.00,0.68,-3.00,0.00,-10.00,0.00,0.29,11.60
14:00 - 14:15,63.78,-25.00,0.68,-0.50,0.00,-10.00,0.00,0.29,28.99
14:15 - 14:30,59.91,-10.00,0.68,-0.50,0.00,-10.00,0.00,0.29,45.42
14:30 - 14:45,0.00,0.00,0.68,-0.50,0.00,-10.00,0.00,0.29,42.52
14:45 - 15:00,0.00,0.00,0.68,-0.50,0.00,-10.00,0.00,0.29,16.43
15:00 - 15:15,34.78,24.16,0.68,-0.50,0.97,-10.00,0.00,0.29,5.80
15:15 - 15:30,32.86,33.82,0.68,-0.50,1.93,-10.00,0.00,0.29,-19.00
15:30 - 15:45,9.66,14.49,0.68,-0.50,3.87,-10.00,0.00,0.29,-27.00
15:45 - 16:00,32.86,30.92,0.68,-0.50,2.90,-10.00,0.00,0.29,-37.00
16:00 - 16:15,48.32,56.04,0.68,-0.50,3.87,-10.00,0.00,0.29,-18.00
