Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-87.00,-15.00,-0.30,12.56,-10.00,0.00,0.00,19.32
00:15 - 00:30,-133.00,-20.00,-0.30,12.56,-10.00,0.00,0.00,53.13
00:30 - 00:45,-179.99,-25.00,-0.30,12.56,-10.00,0.00,0.00,38.64
00:45 - 01:00,-153.00,-55.00,-0.30,12.56,-10.00,0.00,0.00,11.59
01:00 - 01:15,-187.00,6.76,-0.30,11.59,-10.00,0.00,0.00,16.43
01:15 - 01:30,-189.00,6.76,-0.30,11.60,-10.00,0.00,0.00,-9.00
01:30 - 01:45,-145.00,67.62,-0.30,10.63,-10.00,0.00,0.00,-75.00
01:45 - 02:00,-183.00,61.83,-0.30,10.63,-10.00,0.00,0.00,-71.00
02:00 - 02:15,-114.00,56.03,-0.30,7.73,-10.00,0.00,0.00,-64.00
02:15 - 02:30,-144.00,41.54,-0.30,7.73,-10.00,0.00,0.00,-52.00
02:30 - 02:45,-129.00,23.18,-0.30,7.25,-10.00,0.00,0.00,-40.00
02:45 - 03:00,-118.00,-25.00,-0.30,7.25,-10.00,0.00,0.00,-65.00
03:00 - 03:15,-35.00,-15.00,-0.30,6.76,-10.00,0.00,0.00,-70.00
03:15 - 03:30,-29.00,-16.00,-0.30,6.76,-11.00,0.00,0.00,-70.00
03:30 - 03:45,-44.00,-13.00,-0.30,7.25,-8.00,0.00,0.00,-36.00
03:45 - 04:00,-40.00,-12.00,-0.30,7.25,-8.00,0.00,0.00,-29.00
04:00 - 04:15,-46.00,12.56,-0.30,7.73,-10.00,0.00,0.00,-35.00
04:15 - 04:30,-41.00,12.56,-0.30,7.73,-10.00,0.00,0.00,-20.00
04:30 - 04:45,-59.00,0.00,-0.30,7.73,-10.00,0.00,0.00,-30.00
04:45 - 05:00,-53.00,19.32,-0.30,7.73,-10.00,0.00,0.00,-35.00
05:00 - 05:15,-40.00,37.68,-0.30,8.21,-10.00,0.00,0.00,-30.00
05:15 - 05:30,-30.00,40.58,-0.30,8.21,-10.00,0.00,0.00,-25.00
05:30 - 05:45,-24.00,56.03,-0.30,7.73,-10.00,0.00,0.00,-25.00
05:45 - 06:00,-40.00,59.90,-0.30,7.73,-10.00,0.00,0.00,-32.00
06:00 - 06:15,-49.00,57.97,-0.30,8.69,-11.00,0.00,0.00,48.31
06:15 - 06:30,-40.00,86.95,-0.30,8.69,-10.00,0.00,0.00,82.12
06:30 - 06:45,-81.00,118.84,-0.30,8.69,-12.00,0.00,0.00,39.61
06:45 - 07:00,-99.00,120.77,-0.30,9.66,-11.00,0.00,0.00,19.32
07:00 - 07:15,-88.00,77.29,-0.30,9.66,-12.00,0.00,0.00,-10.00
07:15 - 07:30,-91.00,77.29,-0.30,10.63,-12.00,0.00,0.00,3.86
07:30 - 07:45,-65.00,14.49,-0.10,11.11,-12.00,0.00,0.00,14.49
07:45 - 08:00,-58.00,0.00,-0.10,12.56,-15.00,0.00,0.00,38.64
08:00 - 08:15,-81.00,-105.00,-0.10,5.80,-15.00,0.00,0.00,-60.00
08:15 - 08:30,-66.00,-114.00,-0.10,6.76,-16.00,0.00,0.00,48.31
08:30 - 08:45,0.00,-132.00,-0.10,7.73,-18.00,0.00,0.00,33.81
08:45 - 09:00,0.00,-137.00,-0.10,9.66,-20.00,0.00,0.00,33.81
09:00 - 09:15,0.00,-121.00,-0.10,7.73,-86.00,0.00,0.00,38.64
09:15 - 09:30,0.00,-115.00,-0.10,8.69,-99.00,0.00,0.00,38.65
09:30 - 09:45,-21.00,-120.00,-0.10,9.66,-110.00,0.00,0.00,53.14
09:45 - 10:00,-25.00,-106.00,-0.10,9.66,-108.00,0.00,0.00,96.61
10:00 - 10:15,-55.00,-88.00,-0.10,7.73,-101.00,0.00,0.00,111.10
10:15 - 10:30,-106.00,-81.00,-0.10,7.73,-85.00,0.00,0.00,120.76
10:30 - 10:45,-108.00,-87.00,-0.10,7.73,-68.00,0.00,0.00,130.42
10:45 - 11:00,-79.00,-65.00,-0.10,7.73,-60.00,0.00,0.00,120.76
11:00 - 11:15,-68.00,-50.00,-0.10,7.73,-54.00,0.00,0.00,128.49
11:15 - 11:30,-61.00,-35.00,-0.10,7.73,-49.00,0.00,0.00,133.32
11:30 - 11:45,-240.00,-28.00,-0.10,7.73,-45.00,0.00,0.00,120.76
11:45 - 12:00,-12.00,-16.00,-0.10,7.73,-44.00,0.00,0.00,82.12
12:00 - 12:15,-26.00,-21.00,-0.10,7.73,-45.00,0.00,0.00,94.68
12:15 - 12:30,-30.00,-10.00,-0.10,7.73,-46.00,0.00,0.00,95.64
12:30 - 12:45,-55.00,0.00,-0.10,8.69,-44.00,0.00,0.00,91.78
12:45 - 13:00,-57.00,0.00,-0.10,8.69,-47.00,0.00,0.00,88.89
13:00 - 13:15,-39.00,0.00,-0.10,8.69,-49.00,0.00,0.00,28.99
13:15 - 13:30,-16.00,0.00,-0.10,8.69,-48.00,0.00,0.00,-1.00
13:30 - 13:45,-34.00,-15.00,-0.10,8.69,-46.00,0.00,0.00,57.97
13:45 - 14:00,-37.00,0.00,-0.10,8.69,-46.00,0.00,0.00,86.95
14:00 - 14:15,-152.00,18.36,-0.10,11.59,-43.00,0.00,0.00,72.46
14:15 - 14:30,-117.00,51.20,-0.10,11.59,-43.00,0.00,0.00,96.62
14:30 - 14:45,-87.00,55.07,-0.10,11.59,-41.00,0.00,0.00,75.36
14:45 - 15:00,-32.00,73.42,-0.10,11.59,-42.00,0.00,0.00,79.23
15:00 - 15:15,0.00,67.62,-0.10,13.53,-37.00,0.00,0.00,44.44
15:15 - 15:30,36.71,67.63,-0.10,13.53,-37.00,0.00,0.00,86.94
