Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-122.00,40.38,11.54,-10.00,0.00,119.21
00:15 - 00:30,-71.00,31.73,11.54,-10.00,0.00,175.93
00:30 - 00:45,-31.00,34.61,10.58,-10.00,0.00,163.43
00:45 - 01:00,-30.00,32.69,10.09,-10.00,0.00,105.76
01:00 - 01:15,-40.00,60.57,10.09,-10.00,0.00,81.72
01:15 - 01:30,-45.00,56.72,9.61,-10.00,0.00,62.50
01:30 - 01:45,-31.00,-15.00,9.13,-10.00,0.00,69.22
01:45 - 02:00,34.61,0.00,9.13,-10.00,0.00,51.92
02:00 - 02:15,94.22,0.00,8.65,-10.00,0.00,33.65
02:15 - 02:30,104.79,0.00,8.65,-10.00,0.00,19.23
02:30 - 02:45,137.49,0.00,8.17,-20.00,0.00,50.95
02:45 - 03:00,135.56,0.00,8.17,-20.00,0.00,44.22
03:00 - 03:15,158.64,29.80,7.69,-20.00,0.00,-18.00
03:15 - 03:30,84.60,12.50,7.69,-20.00,0.00,-18.00
03:30 - 03:45,93.26,0.00,7.21,-20.00,0.00,-19.00
03:45 - 04:00,77.87,-14.00,7.21,-20.00,0.00,-17.00
04:00 - 04:15,123.06,27.88,6.73,-20.00,0.00,-25.00
04:15 - 04:30,166.32,39.42,6.73,-20.00,0.00,-26.00
04:30 - 04:45,184.60,44.22,6.73,-20.00,0.00,9.61
04:45 - 05:00,133.63,42.30,6.25,-20.00,0.00,13.46
05:00 - 05:15,54.80,-9.00,6.25,-20.00,0.00,25.00
05:15 - 05:30,45.19,14.42,6.25,-20.00,0.00,148.05
05:30 - 05:45,-7.00,0.00,7.21,-20.00,0.00,58.65
05:45 - 06:00,-21.00,11.54,7.69,-20.00,0.00,80.76
06:00 - 06:15,0.00,40.38,7.69,-20.00,0.00,85.56
06:15 - 06:30,0.00,41.34,8.65,-20.00,0.00,88.45
06:30 - 06:45,6.73,17.31,8.65,-20.00,0.00,57.68
06:45 - 07:00,-24.00,18.27,9.13,-20.00,0.00,91.33
07:00 - 07:15,9.61,6.73,9.62,-20.00,0.00,-14.00
07:15 - 07:30,63.46,-20.00,9.61,-20.00,0.00,55.76
07:30 - 07:45,41.34,67.30,9.61,-28.00,0.00,-8.00
07:45 - 08:00,33.65,67.30,8.65,-27.00,0.00,31.73
08:00 - 08:15,19.23,49.99,0.96,-26.00,0.00,28.84
08:15 - 08:30,17.31,49.98,0.96,-20.00,0.00,24.04
08:30 - 08:45,80.76,14.42,4.81,0.00,0.00,28.84
08:45 - 09:00,74.03,4.81,6.73,0.00,0.00,28.84
09:00 - 09:15,136.52,23.07,7.69,0.00,0.00,27.88
09:15 - 09:30,207.66,18.27,8.65,0.00,0.00,-10.00
09:30 - 09:45,195.17,43.26,9.61,0.00,0.00,-41.00
09:45 - 10:00,227.85,41.34,8.65,0.00,0.00,-6.00
10:00 - 10:15,278.81,56.72,8.65,0.00,0.00,-33.00
10:15 - 10:30,302.84,72.11,8.65,0.00,0.00,-2.00
10:30 - 10:45,246.12,100.95,5.77,0.00,0.00,9.61
10:45 - 11:00,244.19,107.68,4.81,0.00,0.00,14.42
11:00 - 11:15,198.04,124.98,3.85,0.00,0.00,19.23
11:15 - 11:30,209.59,126.90,2.88,0.00,0.00,24.04
11:30 - 11:45,185.55,131.71,0.96,0.00,0.00,60.57
11:45 - 12:00,173.05,130.75,0.00,0.00,0.00,53.84
