Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,23.89,14.34,0.00,14.34
00:15 - 00:30,0.00,19.12,13.38,0.00,19.12
00:30 - 00:45,-85.00,20.08,12.90,0.00,-35.00
00:45 - 01:00,-82.00,35.37,12.14,0.00,-30.00
01:00 - 01:15,-60.00,21.99,11.47,0.00,-40.00
01:15 - 01:30,-59.00,20.07,11.28,0.00,-40.00
01:30 - 01:45,-76.00,23.90,11.18,0.00,-35.00
01:45 - 02:00,-75.00,23.90,10.99,0.00,-35.00
02:00 - 02:15,-74.00,28.68,10.99,0.00,-35.00
02:15 - 02:30,-74.00,28.67,10.90,0.00,-35.00
02:30 - 02:45,-78.00,37.28,10.90,0.00,-35.00
02:45 - 03:00,-79.00,40.15,10.90,0.00,-30.00
03:00 - 03:15,-69.00,28.68,10.99,0.00,-30.00
03:15 - 03:30,-75.00,30.59,11.09,0.00,-30.00
03:30 - 03:45,-79.00,35.37,11.47,0.00,-25.00
03:45 - 04:00,-82.00,43.97,11.66,0.00,-25.00
04:00 - 04:15,-85.00,43.02,11.66,0.00,-30.00
04:15 - 04:30,-88.00,42.06,12.33,0.00,-30.00
04:30 - 04:45,-79.00,28.68,13.00,0.00,-55.00
04:45 - 05:00,-78.00,29.63,13.86,0.00,-55.00
05:00 - 05:15,-42.00,62.13,8.32,0.00,-55.00
05:15 - 05:30,-49.00,60.22,9.27,0.00,-55.00
05:30 - 05:45,-51.00,33.46,11.47,0.00,-35.00
05:45 - 06:00,-123.00,20.08,14.24,0.00,-35.00
06:00 - 06:15,-91.00,72.65,16.25,0.00,-20.00
06:15 - 06:30,-51.00,54.49,18.45,0.00,-70.00
06:30 - 06:45,-56.00,84.11,20.27,0.00,43.02
06:45 - 07:00,-31.00,91.76,23.04,0.00,-25.00
07:00 - 07:15,-33.00,62.13,24.95,0.00,-85.00
07:15 - 07:30,-39.00,82.67,19.16,0.69,-85.00
07:30 - 07:45,7.94,78.47,9.37,0.03,-70.00
07:45 - 08:00,20.73,93.16,9.41,0.00,-60.00
08:00 - 08:15,12.32,67.26,7.76,0.00,-40.00
08:15 - 08:30,28.18,77.79,9.01,0.00,-10.00
08:30 - 08:45,49.85,124.64,11.60,0.00,-20.00
08:45 - 09:00,59.15,93.34,12.79,0.00,-20.00
09:00 - 09:15,-20.00,55.72,11.57,0.34,-40.00
09:15 - 09:30,0.00,59.88,15.45,0.65,7.55
09:30 - 09:45,89.37,53.63,22.45,0.00,10.73
09:45 - 10:00,161.03,57.16,30.49,0.00,14.29
10:00 - 10:15,130.01,34.41,30.11,0.00,-35.00
10:15 - 10:30,136.70,34.41,29.63,0.00,-40.00
10:30 - 10:45,101.33,24.85,29.15,1.91,9.56
10:45 - 11:00,108.01,19.12,28.68,0.00,-5.00
11:00 - 11:15,85.07,-15.00,26.48,0.00,19.12
11:15 - 11:30,141.48,-10.00,26.00,0.00,81.25
11:30 - 11:45,125.22,0.00,25.62,0.00,63.09
11:45 - 12:00,187.36,0.00,24.85,0.00,-69.00
12:00 - 12:15,69.78,0.00,23.90,0.00,40.15
12:15 - 12:30,129.05,0.00,22.94,0.00,42.06
12:30 - 12:45,170.15,14.34,21.99,0.00,48.75
12:45 - 13:00,158.67,19.12,21.03,0.00,35.37
13:00 - 13:15,174.94,10.51,20.07,0.00,31.54
13:15 - 13:30,189.27,0.00,19.12,0.00,-7.00
13:30 - 13:45,88.90,0.00,18.45,0.00,-25.00
13:45 - 14:00,21.03,0.00,17.68,0.00,-25.00
14:00 - 14:15,-10.00,12.43,18.16,0.00,-17.00
14:15 - 14:30,-13.00,5.74,17.68,0.00,-24.00
14:30 - 14:45,-14.00,43.02,16.63,0.00,-25.00
14:45 - 15:00,-32.00,28.68,15.77,0.00,-25.00
15:00 - 15:15,-42.00,13.38,14.72,0.00,28.68
15:15 - 15:30,-43.00,11.47,14.34,0.00,43.01
15:30 - 15:45,13.38,23.90,15.96,0.00,64.05
15:45 - 16:00,-24.00,-10.00,15.49,0.00,27.72
16:00 - 16:15,-49.00,-13.00,16.92,0.00,109.93
16:15 - 16:30,-73.00,-8.00,17.02,0.00,57.35
16:30 - 16:45,-27.00,-5.00,17.68,0.00,46.84
16:45 - 17:00,-18.00,-17.00,13.23,0.00,-14.00
17:00 - 17:15,-43.00,-29.00,8.67,0.20,-28.00
17:15 - 17:30,0.00,-35.00,6.04,1.77,-31.00
17:30 - 17:45,2.23,-20.00,2.90,0.42,-30.00
17:45 - 18:00,-17.00,-15.00,3.31,0.08,0.00
18:00 - 18:15,4.00,20.48,2.59,0.43,77.97
18:15 - 18:30,-1.00,27.83,2.56,0.40,75.47
18:30 - 18:45,4.78,66.78,2.39,0.21,53.59
18:45 - 19:00,1.52,73.75,2.83,0.23,70.73
19:00 - 19:15,-146.00,24.16,2.65,0.22,9.47
19:15 - 19:30,-130.00,34.42,3.93,0.14,7.03
19:30 - 19:45,-47.00,30.84,16.96,0.62,-10.00
19:45 - 20:00,-97.00,33.46,25.81,0.00,-26.00
20:00 - 20:15,1.91,9.56,13.76,0.00,28.68
20:15 - 20:30,-24.00,0.00,12.90,0.00,46.84
20:30 - 20:45,14.34,0.00,24.18,0.00,80.30
20:45 - 21:00,65.95,9.56,23.61,0.00,54.49
21:00 - 21:15,117.58,41.10,23.42,0.00,-21.00
21:15 - 21:30,-58.00,35.37,22.65,0.00,53.53
21:30 - 21:45,192.13,21.03,21.89,0.00,46.84
21:45 - 22:00,-47.00,21.03,20.55,0.00,37.28
22:00 - 22:15,-17.00,6.69,19.60,0.00,36.32
22:15 - 22:30,28.68,17.21,18.16,0.00,34.41
22:30 - 22:45,70.73,17.21,16.73,0.00,34.41
22:45 - 23:00,71.69,11.47,14.63,0.00,23.90
23:00 - 23:15,103.24,6.69,12.71,0.00,13.38
23:15 - 23:30,97.50,0.00,11.76,0.00,-19.00
23:30 - 23:45,74.56,-10.00,9.94,0.00,-62.00
23:45 - 24:00,13.38,-42.00,8.89,0.00,-80.00
