Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,72.15,14.43,7.02,0.00,0.00
00:15 - 00:30,75.04,0.00,6.73,0.00,0.00
00:30 - 00:45,41.37,0.00,6.73,0.00,-10.00
00:45 - 01:00,26.94,0.00,6.73,0.00,-11.00
01:00 - 01:15,35.60,0.00,6.73,0.00,-5.00
01:15 - 01:30,34.64,0.00,6.25,0.00,-5.00
01:30 - 01:45,-22.00,0.00,6.25,0.00,-18.00
01:45 - 02:00,-35.00,0.00,6.25,0.00,-17.00
02:00 - 02:15,0.00,0.00,6.06,0.00,-22.00
02:15 - 02:30,0.00,0.00,6.06,0.00,-24.00
02:30 - 02:45,44.25,0.00,6.06,0.00,-25.00
02:45 - 03:00,39.44,0.00,6.06,0.00,-28.00
03:00 - 03:15,9.62,0.00,6.06,0.00,-28.00
03:15 - 03:30,10.58,0.00,6.06,0.00,-29.00
03:30 - 03:45,14.43,0.00,4.33,0.00,-5.00
03:45 - 04:00,19.24,0.00,4.33,0.00,-5.00
04:00 - 04:15,70.23,0.00,4.33,0.00,0.00
04:15 - 04:30,67.34,0.00,4.33,0.00,4.81
04:30 - 04:45,0.00,9.62,5.29,0.00,7.70
04:45 - 05:00,0.00,11.55,6.73,0.00,11.54
05:00 - 05:15,0.00,19.24,4.81,0.00,17.32
05:15 - 05:30,0.00,14.43,6.73,0.00,20.21
05:30 - 05:45,52.91,24.05,0.00,0.00,14.43
05:45 - 06:00,55.80,24.05,0.00,0.00,19.24
06:00 - 06:15,0.00,28.86,0.96,0.00,-5.00
06:15 - 06:30,32.70,19.24,2.89,0.00,-30.00
06:30 - 06:45,76.96,0.00,5.77,0.00,-43.00
06:45 - 07:00,132.76,0.00,6.73,0.00,-21.00
07:00 - 07:15,163.54,0.00,7.70,0.00,-63.00
07:15 - 07:30,216.45,0.00,7.70,0.00,-56.00
07:30 - 07:45,238.57,14.43,8.66,0.00,-110.00
07:45 - 08:00,256.86,11.54,9.62,0.00,-111.00
08:00 - 08:15,274.17,70.23,9.62,0.00,-110.00
08:15 - 08:30,258.78,68.30,9.62,0.00,-90.00
08:30 - 08:45,259.74,71.19,20.20,0.00,-99.00
08:45 - 09:00,228.00,58.68,20.20,0.00,-90.00
09:00 - 09:15,249.16,86.58,15.39,0.00,-58.00
09:15 - 09:30,227.03,67.34,15.39,0.00,-5.00
09:30 - 09:45,331.89,148.15,15.39,0.00,134.68
09:45 - 10:00,349.21,154.88,15.39,0.00,135.64
10:00 - 10:15,379.03,154.88,13.95,0.00,156.81
10:15 - 10:30,393.47,151.03,13.95,0.00,117.36
10:30 - 10:45,386.73,106.78,13.47,0.00,160.65
10:45 - 11:00,392.50,110.63,13.47,0.00,150.07
11:00 - 11:15,389.61,138.53,13.95,0.00,181.82
11:15 - 11:30,393.46,82.73,13.95,0.00,176.05
11:30 - 11:45,391.53,81.77,13.47,0.00,41.37
11:45 - 12:00,430.01,81.77,13.47,0.00,99.09
12:00 - 12:15,446.37,97.16,16.35,0.00,152.96
12:15 - 12:30,391.54,96.20,16.35,0.00,148.15
