Generator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Revision No,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCGT-Bawana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Schedule,836.0000,900.0000,899.9999,899.9999,899.9999,900.0000,894.3776,884.3776,803.3776,783.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,745.3776,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,740.0003,783.5248,783.5248,783.2648,783.2648,783.2648,783.2648,783.2648,793.2648,888.2648,898.7848,900.0001,900.0000,899.9999,899.9999,900.0000,900.0000,900.0000,900.0000,900.0000,900.0000,900.0000,900.0000,900.0000,900.0000
DC Considered for Schedule,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1230.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1220.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00,1240.00
