Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,260.93,56.05,4.83,-35.00,91.81
00:15 - 00:30,255.12,54.12,3.87,-35.00,135.30
00:30 - 00:45,313.12,31.89,4.83,-35.00,57.98
00:45 - 01:00,319.87,26.09,3.87,-35.00,41.56
01:00 - 01:15,316.01,98.57,3.87,-51.00,28.99
01:15 - 01:30,342.10,80.21,3.87,-50.00,28.99
01:30 - 01:45,188.45,54.12,3.38,-50.00,28.99
01:45 - 02:00,146.89,72.48,2.90,-51.00,19.33
02:00 - 02:15,154.62,65.72,2.42,-51.00,-10.00
02:15 - 02:30,121.76,51.22,2.42,-51.00,-5.00
02:30 - 02:45,108.23,46.39,2.42,-52.00,-20.00
02:45 - 03:00,81.17,25.13,1.93,-51.00,19.33
03:00 - 03:15,115.97,16.43,1.93,-52.00,19.33
03:15 - 03:30,112.11,15.46,1.93,-52.00,24.16
03:30 - 03:45,113.07,0.00,1.93,-51.00,19.33
03:45 - 04:00,106.30,0.00,1.45,-51.00,24.16
04:00 - 04:15,29.96,29.96,1.45,-50.00,48.32
04:15 - 04:30,53.15,29.96,0.97,-50.00,28.99
04:30 - 04:45,60.87,28.03,0.97,-52.00,38.66
04:45 - 05:00,99.53,32.86,0.97,-52.00,24.16
05:00 - 05:15,220.34,49.29,1.45,-29.00,33.82
05:15 - 05:30,189.42,39.62,1.45,-33.00,24.16
05:30 - 05:45,153.65,28.03,1.45,-32.00,43.49
05:45 - 06:00,160.42,15.46,1.45,-33.00,38.66
06:00 - 06:15,186.51,14.50,1.45,-32.00,38.66
06:15 - 06:30,156.56,12.56,1.45,-33.00,38.66
06:30 - 06:45,129.49,0.00,1.45,-32.00,38.66
06:45 - 07:00,94.70,0.00,2.42,-32.00,38.66
07:00 - 07:15,69.58,64.75,3.38,-29.00,38.66
07:15 - 07:30,72.48,50.25,4.35,-30.00,53.15
07:30 - 07:45,61.84,36.72,5.32,-31.00,38.66
07:45 - 08:00,39.62,0.00,7.25,-30.00,-30.00
08:00 - 08:15,99.53,43.49,3.87,-38.00,38.66
08:15 - 08:30,86.96,52.19,5.32,-33.00,43.49
08:30 - 08:45,105.34,41.56,6.76,-31.00,48.32
08:45 - 09:00,105.34,31.89,8.21,-30.00,48.32
09:00 - 09:15,71.51,0.00,14.50,-72.00,38.66
09:15 - 09:30,97.60,9.66,14.50,-55.00,38.66
09:30 - 09:45,110.17,21.26,14.50,-42.00,53.15
09:45 - 10:00,119.83,30.92,14.50,-34.00,38.66
10:00 - 10:15,185.55,57.98,14.50,-28.00,53.15
10:15 - 10:30,217.43,67.65,14.50,-20.00,86.98
10:30 - 10:45,206.81,78.28,15.46,-16.00,101.47
10:45 - 11:00,210.67,99.54,15.46,-14.00,105.34
11:00 - 11:15,148.83,96.64,15.46,-17.00,96.64
11:15 - 11:30,164.29,91.81,15.46,-19.00,96.64
11:30 - 11:45,151.73,68.61,15.46,-19.00,48.32
11:45 - 12:00,160.43,81.18,15.46,-17.00,57.98
