Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,72.90,-69.00,-1.80,6.72,0.00,-20.00
00:15 - 00:30,61.39,-48.00,-1.80,6.72,0.00,0.00
00:30 - 00:45,53.72,0.00,-1.80,6.52,0.00,-5.00
00:45 - 01:00,53.72,0.00,-1.80,6.43,0.00,-5.00
01:00 - 01:15,50.84,0.00,-1.80,6.33,0.00,-5.00
01:15 - 01:30,94.01,0.00,-1.80,6.24,0.00,-5.00
01:30 - 01:45,79.62,0.00,-1.80,6.24,0.00,-5.00
01:45 - 02:00,48.92,0.00,-1.80,6.24,0.00,-5.00
02:00 - 02:15,55.63,0.00,-1.80,6.24,0.00,-10.00
02:15 - 02:30,35.49,0.00,-1.80,6.14,0.00,-10.00
02:30 - 02:45,17.27,-15.00,-1.80,6.14,0.00,-10.00
02:45 - 03:00,52.77,-15.00,-1.80,6.04,0.00,-10.00
03:00 - 03:15,23.03,0.00,-1.80,6.04,0.00,-5.00
03:15 - 03:30,24.94,0.00,-1.80,5.95,0.00,-5.00
03:30 - 03:45,22.06,0.00,-1.80,5.95,0.00,-10.00
03:45 - 04:00,20.14,0.00,-1.80,5.95,0.00,-10.00
04:00 - 04:15,10.55,0.00,-1.80,6.14,0.00,-10.00
04:15 - 04:30,9.60,0.00,-1.80,6.52,0.00,-10.00
04:30 - 04:45,23.98,0.00,-1.80,6.72,0.00,-10.00
04:45 - 05:00,54.68,0.00,-1.80,7.87,0.00,-10.00
05:00 - 05:15,59.47,0.00,-1.80,6.72,0.00,-25.00
05:15 - 05:30,68.11,0.00,-1.80,8.63,0.00,-5.00
05:30 - 05:45,71.95,14.39,-1.80,2.40,0.00,-20.00
05:45 - 06:00,43.16,16.31,-1.80,3.84,0.00,-15.00
06:00 - 06:15,-24.00,0.00,-1.80,5.28,0.00,-25.00
06:15 - 06:30,-13.00,0.00,-1.80,6.72,0.00,-20.00
06:30 - 06:45,0.00,-50.00,-1.80,7.87,0.00,-80.00
06:45 - 07:00,0.00,0.00,-1.80,9.40,2.40,-10.00
07:00 - 07:15,-26.00,0.00,-1.80,10.17,3.26,-70.00
07:15 - 07:30,-30.00,8.34,-1.80,9.17,2.25,-85.00
07:30 - 07:45,0.00,0.00,-1.80,7.47,1.98,-95.00
07:45 - 08:00,0.00,0.00,-1.80,7.88,2.78,-95.00
08:00 - 08:15,0.00,14.83,-1.80,7.99,2.06,-100.00
08:15 - 08:30,0.00,20.15,-1.80,8.63,0.86,-90.00
08:30 - 08:45,0.00,18.22,-1.80,17.56,5.37,-85.00
08:45 - 09:00,0.00,9.59,-1.80,16.11,3.65,-75.00
09:00 - 09:15,0.00,108.40,-1.00,12.47,0.00,-65.00
09:15 - 09:30,0.00,136.22,-1.00,11.03,0.10,-85.00
09:30 - 09:45,11.51,52.77,-1.00,10.07,0.00,-65.00
09:45 - 10:00,65.24,49.88,-1.00,9.88,0.00,-105.00
10:00 - 10:15,47.01,0.00,-1.00,8.63,0.00,-50.00
10:15 - 10:30,35.50,0.00,-1.00,8.15,0.00,0.00
10:30 - 10:45,75.79,0.00,-1.50,8.15,0.00,0.00
10:45 - 11:00,97.85,0.00,-1.50,7.67,0.00,0.00
11:00 - 11:15,128.55,47.97,-1.50,9.40,0.00,9.59
11:15 - 11:30,140.05,47.97,-1.50,9.11,0.00,4.80
11:30 - 11:45,117.99,13.43,-1.50,9.59,0.00,4.80
11:45 - 12:00,117.04,11.51,-1.50,9.59,0.00,4.80
12:00 - 12:15,73.87,19.19,-1.50,7.67,0.00,14.39
12:15 - 12:30,64.27,19.19,-1.50,7.67,0.00,33.58
12:30 - 12:45,96.90,14.39,-1.50,7.67,0.00,38.37
12:45 - 13:00,86.34,14.39,-1.50,7.67,0.00,38.37
13:00 - 13:15,70.03,0.00,-1.50,7.67,0.00,43.17
13:15 - 13:30,86.34,7.67,-1.50,7.67,0.00,43.17
13:30 - 13:45,109.35,0.00,-1.50,6.72,0.00,19.19
13:45 - 14:00,92.08,0.00,-1.50,6.72,0.00,19.19
14:00 - 14:15,57.55,4.80,-1.50,5.76,0.00,57.56
14:15 - 14:30,47.01,4.80,-1.50,5.76,0.00,57.55
14:30 - 14:45,23.02,-24.00,-1.50,5.76,0.00,23.98
14:45 - 15:00,17.26,-26.00,-1.50,4.80,0.00,0.00
15:00 - 15:15,18.22,0.00,-1.50,4.80,0.00,-25.00
15:15 - 15:30,23.02,-18.00,-1.50,4.80,0.00,-25.00
15:30 - 15:45,17.26,-16.00,-1.50,4.80,0.00,-10.00
15:45 - 16:00,16.31,-23.00,-1.50,4.80,0.00,19.18
16:00 - 16:15,9.59,-10.00,-1.50,6.72,0.00,-20.00
16:15 - 16:30,-41.00,-15.00,-1.50,7.19,0.00,4.80
16:30 - 16:45,0.00,0.00,-1.50,7.19,0.00,129.51
16:45 - 17:00,0.00,0.00,-1.50,7.30,0.00,94.45
17:00 - 17:15,27.26,22.06,-1.50,3.46,0.43,0.00
17:15 - 17:30,26.50,36.82,-1.50,2.91,0.90,8.08
17:30 - 17:45,3.22,20.98,-1.50,1.18,0.50,79.41
17:45 - 18:00,4.21,21.69,-1.50,1.53,0.47,126.73
18:00 - 18:15,5.85,107.87,-1.50,1.00,0.45,77.04
18:15 - 18:30,0.00,129.75,-1.50,1.21,0.33,92.69
18:30 - 18:45,-17.00,150.63,-1.50,2.15,0.84,55.95
18:45 - 19:00,-18.00,142.90,-1.50,3.57,0.75,4.47
19:00 - 19:15,-11.00,223.63,-1.50,11.46,4.20,179.67
19:15 - 19:30,-15.00,226.40,-1.50,10.55,2.59,123.75
19:30 - 19:45,0.00,183.22,-1.50,12.47,0.00,115.12
19:45 - 20:00,26.86,174.59,-1.50,12.47,0.00,108.40
20:00 - 20:15,9.59,233.11,-1.50,12.47,0.00,-22.00
20:15 - 20:30,38.37,241.74,-1.50,12.47,0.00,19.19
20:30 - 20:45,32.62,214.88,-1.50,11.51,0.00,6.72
20:45 - 21:00,24.94,198.58,-1.50,10.55,0.00,52.76
21:00 - 21:15,39.33,197.62,-1.50,9.59,0.00,9.59
21:15 - 21:30,37.41,160.21,-1.50,8.73,0.00,22.06
21:30 - 21:45,13.43,163.08,-1.50,8.15,0.00,14.39
21:45 - 22:00,11.51,148.70,-1.50,8.15,0.00,12.47
22:00 - 22:15,10.55,153.49,-1.80,10.74,0.00,2.88
22:15 - 22:30,10.55,139.10,-1.80,9.78,0.00,4.80
22:30 - 22:45,20.15,137.17,-1.80,9.88,0.00,15.35
22:45 - 23:00,19.19,122.79,-1.80,9.11,0.00,23.02
23:00 - 23:15,25.90,115.12,-1.80,8.63,0.00,14.39
23:15 - 23:30,45.09,105.52,-1.80,7.96,0.00,11.51
23:30 - 23:45,71.95,74.82,-1.80,7.77,0.00,6.72
23:45 - 24:00,118.00,58.52,-1.80,7.67,0.00,-6.00
