Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,0.00,-2.00,6.72,0.00,29.78
00:15 - 00:30,0.00,0.00,-2.00,6.63,0.00,31.69
00:30 - 00:45,0.00,0.00,-2.00,6.63,0.00,30.73
00:45 - 01:00,0.00,0.00,-2.00,6.53,0.00,20.17
01:00 - 01:15,19.21,47.06,-2.00,6.43,0.00,4.80
01:15 - 01:30,9.60,50.90,-2.00,6.34,0.00,-3.00
01:30 - 01:45,0.00,34.57,-2.00,6.34,0.00,-8.00
01:45 - 02:00,0.00,41.29,-2.00,6.15,0.00,-7.00
02:00 - 02:15,17.29,44.18,-2.00,6.05,0.00,-10.00
02:15 - 02:30,19.21,44.18,-2.00,6.05,0.00,-19.00
02:30 - 02:45,14.41,41.29,-2.00,6.05,0.00,-20.00
02:45 - 03:00,7.68,41.30,-2.00,6.05,0.00,-21.00
03:00 - 03:15,19.21,34.57,-2.00,6.05,0.00,-21.00
03:15 - 03:30,18.25,33.61,-2.00,6.05,0.00,-21.00
03:30 - 03:45,14.41,34.57,-2.00,6.05,0.00,-15.00
03:45 - 04:00,14.41,33.61,-2.00,6.24,0.00,-15.00
04:00 - 04:15,7.68,36.50,-2.00,7.68,0.00,-18.00
04:15 - 04:30,4.80,35.54,-2.00,7.68,0.00,-18.00
04:30 - 04:45,0.00,45.14,-2.00,8.64,0.00,-9.00
04:45 - 05:00,0.00,42.26,-2.00,8.64,0.00,-9.00
05:00 - 05:15,40.34,21.13,-2.00,9.60,0.00,27.85
05:15 - 05:30,51.86,22.09,-2.00,11.52,0.00,61.47
05:30 - 05:45,48.01,16.33,-2.00,13.45,0.00,47.06
05:45 - 06:00,45.14,17.29,-2.00,15.37,0.00,52.81
06:00 - 06:15,-48.00,46.10,-2.00,17.00,0.00,72.99
06:15 - 06:30,-27.00,19.21,-2.00,17.77,0.00,59.54
06:30 - 06:45,9.60,11.52,-2.00,18.73,0.00,72.04
06:45 - 07:00,47.06,14.41,-2.00,19.88,0.00,25.93
07:00 - 07:15,27.85,15.37,-1.00,21.13,0.00,34.57
07:15 - 07:30,0.00,7.68,-1.00,21.90,0.00,48.02
07:30 - 07:45,0.00,16.33,-1.00,22.09,0.00,100.84
07:45 - 08:00,21.13,6.72,-1.00,23.05,0.00,49.94
08:00 - 08:15,0.00,-11.00,-1.00,19.21,0.00,-141.00
08:15 - 08:30,30.73,5.76,-1.00,18.73,0.10,-31.00
08:30 - 08:45,18.25,50.90,-1.00,19.21,0.00,0.00
08:45 - 09:00,5.76,58.59,-1.00,18.63,0.00,25.93
09:00 - 09:15,102.75,36.50,-0.50,13.93,0.00,19.21
09:15 - 09:30,107.57,9.60,-0.50,14.12,0.00,26.89
09:30 - 09:45,72.99,18.25,-0.50,13.83,0.00,75.87
09:45 - 10:00,76.83,25.93,-0.50,13.45,0.00,40.34
10:00 - 10:15,103.72,11.52,-0.50,12.77,0.00,133.51
10:15 - 10:30,101.79,12.49,-0.50,12.49,0.00,-68.00
10:30 - 10:45,79.71,13.45,-0.50,12.49,0.00,31.69
10:45 - 11:00,73.95,25.93,-0.50,12.49,0.00,56.66
11:00 - 11:15,50.91,-32.00,-0.50,10.56,0.00,0.00
