Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,93.08,0.00,-1.20,3.55,0.00,-25.00
00:15 - 00:30,76.77,0.00,-1.20,3.36,0.00,-25.00
00:30 - 00:45,12.47,0.00,-1.20,3.17,0.00,-20.00
00:45 - 01:00,18.23,0.00,-1.20,2.88,0.00,-20.00
01:00 - 01:15,0.00,0.00,-1.20,2.88,0.00,-10.00
01:15 - 01:30,47.98,0.00,-1.20,2.88,0.00,-10.00
01:30 - 01:45,114.19,0.00,-1.20,2.88,0.00,-65.00
01:45 - 02:00,120.91,0.00,-1.20,2.59,0.00,-40.00
02:00 - 02:15,110.35,0.00,-1.20,2.40,0.00,0.00
02:15 - 02:30,58.54,0.00,-1.20,2.11,0.00,0.00
02:30 - 02:45,47.02,0.00,-1.20,2.11,0.00,0.00
02:45 - 03:00,45.10,0.00,-1.20,2.11,0.00,0.00
03:00 - 03:15,46.06,0.00,-1.20,2.11,0.00,-20.00
03:15 - 03:30,44.14,0.00,-1.20,2.11,0.00,-20.00
03:30 - 03:45,54.70,0.00,-1.20,2.11,0.00,-20.00
03:45 - 04:00,52.78,0.00,-1.20,2.11,0.00,-20.00
04:00 - 04:15,41.26,0.00,-1.20,2.11,0.00,0.00
04:15 - 04:30,43.18,0.00,-1.20,2.11,0.00,0.00
04:30 - 04:45,26.87,0.00,-1.20,2.40,0.00,0.00
04:45 - 05:00,29.75,0.00,-1.20,2.59,0.00,0.00
05:00 - 05:15,12.47,0.00,-0.10,2.88,0.00,19.20
05:15 - 05:30,12.47,0.00,-0.10,3.84,0.00,19.20
05:30 - 05:45,30.71,0.00,-0.10,4.22,0.00,81.57
05:45 - 06:00,35.51,0.00,-0.10,4.41,0.00,33.59
06:00 - 06:15,88.28,0.00,-0.10,4.51,0.00,-15.00
06:15 - 06:30,81.57,0.00,-0.10,4.51,0.00,-10.00
06:30 - 06:45,69.09,0.00,-0.10,4.61,0.00,14.39
06:45 - 07:00,71.97,0.00,-0.10,4.51,0.00,14.39
07:00 - 07:15,36.46,0.00,-0.10,4.51,0.00,0.00
07:15 - 07:30,15.36,0.00,-0.10,4.22,0.00,0.00
07:30 - 07:45,82.53,14.39,-0.10,3.84,0.00,-10.00
07:45 - 08:00,107.48,14.39,-0.10,3.84,0.00,-10.00
08:00 - 08:15,137.22,9.60,-0.10,3.36,0.00,-40.00
08:15 - 08:30,112.27,0.00,-0.10,3.36,0.00,0.00
08:30 - 08:45,61.41,0.00,-0.10,2.88,0.00,-60.00
08:45 - 09:00,50.86,19.19,-0.10,2.88,0.00,-10.00
09:00 - 09:15,14.39,19.19,-0.10,2.88,0.00,-15.00
09:15 - 09:30,10.56,19.19,-0.10,2.88,0.00,0.00
09:30 - 09:45,17.27,7.68,-0.10,3.17,0.00,-16.00
09:45 - 10:00,12.47,0.00,-0.10,3.17,0.00,-14.00
10:00 - 10:15,39.34,9.60,-0.10,3.55,0.00,-1.00
10:15 - 10:30,65.25,9.60,-0.10,3.84,0.00,-37.00
10:30 - 10:45,31.67,15.35,-0.10,3.84,0.00,-37.00
10:45 - 11:00,21.11,12.47,-0.10,4.80,0.00,-54.00
11:00 - 11:15,53.74,15.35,-0.10,4.51,0.00,-24.00
