Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-213.00,-20.00,9.63,-80.00,-15.00
00:15 - 00:30,-207.00,-17.00,9.63,-81.00,-16.00
00:30 - 00:45,-203.00,-13.00,9.63,-78.00,-5.00
00:45 - 01:00,-224.00,-17.00,9.63,-76.00,-10.00
01:00 - 01:15,-225.00,-36.00,8.66,-79.00,-50.00
01:15 - 01:30,-179.00,-61.00,8.66,-78.00,-10.00
01:30 - 01:45,-99.00,-74.00,7.70,-78.00,-33.00
01:45 - 02:00,-70.00,-38.00,7.70,-85.00,-35.00
02:00 - 02:15,-159.00,-35.00,7.70,-85.00,-30.00
02:15 - 02:30,-91.00,0.00,6.74,-84.00,-40.00
02:30 - 02:45,69.30,71.22,5.78,-85.00,-25.00
02:45 - 03:00,48.13,72.18,5.78,-86.00,-55.00
03:00 - 03:15,70.26,14.44,5.78,-61.00,-42.00
03:15 - 03:30,54.86,11.55,5.78,-59.00,-35.00
03:30 - 03:45,15.40,0.00,5.78,-61.00,-37.00
03:45 - 04:00,35.61,0.00,5.78,-61.00,-39.00
04:00 - 04:15,19.25,-9.00,5.78,-62.00,22.13
04:15 - 04:30,24.06,-12.00,5.78,-62.00,22.14
04:30 - 04:45,97.21,-13.00,5.78,-62.00,-8.00
04:45 - 05:00,53.90,-9.00,5.78,-62.00,-35.00
05:00 - 05:15,25.98,-6.00,5.78,-65.00,-46.00
05:15 - 05:30,76.03,-36.00,5.78,-64.00,-46.00
05:30 - 05:45,144.37,-8.00,5.78,-94.00,-64.00
05:45 - 06:00,108.76,-55.00,5.78,-95.00,-29.00
06:00 - 06:15,92.39,-32.00,5.78,-94.00,8.66
06:15 - 06:30,93.36,-37.00,5.78,-91.00,-22.00
06:30 - 06:45,77.00,-43.00,4.81,-87.00,-12.00
06:45 - 07:00,16.37,-16.00,4.81,-84.00,-108.00
07:00 - 07:15,26.95,-39.00,4.81,-77.00,-70.00
07:15 - 07:30,21.18,23.09,5.78,-72.00,-60.00
07:30 - 07:45,62.56,24.06,5.78,-67.00,-25.00
07:45 - 08:00,31.76,65.45,5.78,-59.00,-50.00
08:00 - 08:15,40.43,66.40,1.93,-38.00,-35.00
08:15 - 08:30,33.69,71.22,0.48,-36.00,10.59
08:30 - 08:45,31.76,39.47,0.48,-35.00,7.70
08:45 - 09:00,28.87,14.44,0.96,-36.00,1.93
09:00 - 09:15,53.89,0.00,6.55,-36.00,9.63
09:15 - 09:30,93.36,0.00,5.78,-36.00,15.40
09:30 - 09:45,126.09,0.00,7.70,-23.00,34.65
09:45 - 10:00,164.59,0.00,7.70,-22.00,61.60
10:00 - 10:15,123.19,0.00,9.63,-21.00,78.93
10:15 - 10:30,143.41,17.33,9.63,-25.00,77.96
10:30 - 10:45,156.88,38.50,10.59,-20.00,52.94
10:45 - 11:00,169.39,36.58,10.59,-17.00,52.94
11:00 - 11:15,112.62,39.46,10.20,-14.00,43.31
11:15 - 11:30,102.98,37.54,10.20,-15.00,48.13
11:30 - 11:45,115.49,21.18,9.63,-18.00,62.56
11:45 - 12:00,128.00,13.48,10.59,-13.00,67.38
12:00 - 12:15,116.47,35.61,11.55,-9.00,77.00
12:15 - 12:30,158.81,28.88,11.55,-9.00,77.00
12:30 - 12:45,152.08,56.79,11.55,-9.00,62.56
12:45 - 13:00,230.04,46.20,11.55,-9.00,62.56
13:00 - 13:15,186.72,52.94,11.55,-8.00,33.69
13:15 - 13:30,116.46,42.35,11.55,-9.00,28.88
13:30 - 13:45,37.53,4.81,13.48,-10.00,9.63
13:45 - 14:00,51.96,9.63,13.48,-10.00,9.63
14:00 - 14:15,24.06,7.70,13.48,-10.00,-55.00
14:15 - 14:30,20.21,0.00,13.48,-10.00,-25.00
14:30 - 14:45,76.03,6.74,10.59,-10.00,-20.00
14:45 - 15:00,73.14,13.48,10.59,-10.00,-20.00
15:00 - 15:15,101.07,4.81,8.66,-10.00,38.50
15:15 - 15:30,112.62,7.70,8.66,-10.00,43.31
15:30 - 15:45,234.85,0.00,7.70,-10.00,77.00
15:45 - 16:00,231.97,0.00,8.66,-10.00,77.00
16:00 - 16:15,209.83,0.00,0.96,-10.00,4.81
16:15 - 16:30,185.77,0.00,1.44,-10.00,-15.00
16:30 - 16:45,110.69,0.00,1.44,-10.00,-10.00
16:45 - 17:00,95.29,0.00,2.89,-10.00,-10.00
17:00 - 17:15,105.87,0.00,5.78,-10.00,0.00
17:15 - 17:30,97.22,7.70,4.81,-10.00,0.00
