Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,71.12,70.46,4.23,-62.00,0.00,0.00,12.81
00:15 - 00:30,70.01,68.48,5.02,-62.00,0.00,0.00,-8.00
00:30 - 00:45,46.38,0.00,6.09,-62.00,0.00,0.00,-30.00
00:45 - 01:00,0.00,0.00,5.80,-32.56,0.00,0.00,-60.00
01:00 - 01:15,-55.00,-20.00,5.51,0.00,0.00,0.00,-21.00
01:15 - 01:30,-97.00,-19.00,5.31,-63.00,0.00,0.00,-4.00
01:30 - 01:45,-129.00,-17.00,5.12,-77.00,0.00,0.00,-8.00
01:45 - 02:00,-167.00,-18.00,5.12,-78.00,0.00,0.00,10.63
02:00 - 02:15,-91.00,3.87,5.12,-120.00,0.00,0.00,62.81
02:15 - 02:30,-68.00,73.44,4.83,-121.00,0.00,0.00,67.64
02:30 - 02:45,-48.00,86.00,3.58,-123.00,0.00,0.00,67.64
02:45 - 03:00,-24.00,92.77,3.38,-124.00,0.00,0.00,77.30
03:00 - 03:15,42.52,14.49,3.19,-125.00,0.00,0.00,9.66
03:15 - 03:30,61.83,11.60,3.00,-126.00,0.00,0.00,-25.00
03:30 - 03:45,65.71,22.22,2.13,-128.00,0.00,0.00,-70.00
03:45 - 04:00,79.24,8.70,1.93,-129.00,0.00,0.00,-95.00
04:00 - 04:15,29.96,125.61,1.74,-131.00,0.00,0.00,96.63
04:15 - 04:30,59.91,149.78,1.45,-93.00,0.00,0.00,67.64
04:30 - 04:45,-23.00,145.90,0.97,-93.00,0.00,0.00,68.61
04:45 - 05:00,-58.00,139.15,0.97,-135.00,0.00,0.00,58.94
05:00 - 05:15,92.76,116.93,0.97,-89.00,0.00,0.00,20.29
05:15 - 05:30,104.36,130.45,1.45,-87.00,0.00,0.00,53.15
05:30 - 05:45,35.75,135.28,1.26,-89.00,0.00,0.00,9.66
05:45 - 06:00,0.00,149.77,1.74,-91.00,0.00,0.00,19.33
06:00 - 06:15,8.70,163.30,2.13,-89.00,0.00,0.00,7.73
06:15 - 06:30,-32.00,170.06,2.42,-84.00,0.00,0.00,19.33
06:30 - 06:45,-61.00,129.48,2.71,-82.00,0.00,0.00,28.02
06:45 - 07:00,-94.00,142.04,3.19,-76.00,3.67,0.00,45.42
07:00 - 07:15,-133.00,106.29,3.87,-121.00,4.35,0.00,17.39
07:15 - 07:30,-124.00,101.46,4.83,-108.00,3.87,0.00,15.46
07:30 - 07:45,-127.00,82.13,5.80,-85.00,2.32,0.00,-15.00
07:45 - 08:00,-121.00,82.14,6.76,-72.00,0.00,0.00,-35.00
08:00 - 08:15,-11.00,88.91,0.48,-79.00,1.64,0.00,-23.00
08:15 - 08:30,-6.00,88.90,0.48,-63.00,3.00,0.00,-37.00
08:30 - 08:45,-3.00,140.11,0.97,-48.00,0.00,0.00,-58.00
08:45 - 09:00,-10.00,149.78,1.93,-25.00,0.00,0.00,-73.00
09:00 - 09:15,-16.00,144.94,10.15,-60.00,0.00,0.00,-30.00
09:15 - 09:30,-17.00,154.61,10.63,-43.00,0.48,0.00,-28.00
09:30 - 09:45,-12.00,96.63,11.60,-29.00,0.00,0.00,-3.00
09:45 - 10:00,0.00,62.81,12.56,-23.00,0.00,0.00,5.80
10:00 - 10:15,21.26,49.28,11.60,-13.00,0.00,0.00,-16.00
10:15 - 10:30,24.16,47.34,11.60,-13.00,0.00,0.00,-44.00
10:30 - 10:45,49.28,77.30,13.53,0.00,0.00,0.00,5.80
10:45 - 11:00,53.15,83.10,13.53,0.00,0.00,0.00,4.83
11:00 - 11:15,0.00,79.24,16.91,0.00,0.00,0.00,-60.00
11:15 - 11:30,0.00,110.16,16.91,0.00,0.00,0.00,-60.00
11:30 - 11:45,0.00,105.33,16.91,0.00,0.00,0.00,-30.00
11:45 - 12:00,13.53,106.29,16.91,0.00,0.00,0.00,-15.00
12:00 - 12:15,24.16,113.05,18.36,0.00,0.00,0.00,-25.00
12:15 - 12:30,28.02,116.92,18.36,0.00,0.00,0.00,-20.00
12:30 - 12:45,0.00,115.95,19.33,0.00,0.00,0.00,0.00
12:45 - 13:00,0.00,110.15,19.33,0.00,0.00,0.00,0.00
13:00 - 13:15,28.99,107.26,20.29,0.00,0.00,0.00,0.00
13:15 - 13:30,10.63,95.67,20.29,0.00,0.00,0.00,0.00
13:30 - 13:45,47.35,56.05,20.29,0.00,0.00,0.00,0.00
13:45 - 14:00,96.63,57.01,20.29,0.00,0.00,0.00,-10.00
14:00 - 14:15,-50.00,60.88,20.29,0.00,0.00,0.00,4.83
14:15 - 14:30,-70.00,60.88,20.29,0.00,0.00,0.00,24.16
14:30 - 14:45,-18.00,27.05,18.36,0.00,0.00,0.00,19.33
14:45 - 15:00,13.53,28.02,18.36,0.00,0.00,0.00,19.33
15:00 - 15:15,7.73,8.70,21.26,0.00,0.00,0.00,0.00
15:15 - 15:30,57.01,33.82,21.26,0.00,0.00,0.00,0.00
15:30 - 15:45,141.08,52.18,19.33,0.00,0.00,0.00,-50.00
15:45 - 16:00,126.58,55.08,18.36,0.00,0.00,0.00,-50.00
16:00 - 16:15,124.65,4.83,10.63,0.00,0.00,0.00,-55.00
16:15 - 16:30,122.72,18.36,8.70,0.00,0.00,0.00,-50.00
16:30 - 16:45,125.62,18.36,7.73,0.00,0.00,0.00,-45.00
16:45 - 17:00,121.76,14.49,6.76,0.00,0.00,0.00,-55.00
17:00 - 17:15,74.41,14.49,11.60,0.00,0.00,0.00,-15.00
17:15 - 17:30,8.70,0.00,10.63,0.00,0.00,0.00,-25.00
17:30 - 17:45,-7.00,-34.00,9.66,0.00,0.00,0.00,48.32
17:45 - 18:00,-16.00,-5.00,8.70,0.00,0.00,0.00,48.31
18:00 - 18:15,-38.00,27.06,7.73,-7.00,0.00,0.00,0.00
18:15 - 18:30,-55.00,33.83,6.76,-25.00,0.00,0.00,14.49
18:30 - 18:45,-108.00,-82.00,11.60,-41.00,0.00,0.00,-7.00
18:45 - 19:00,-121.00,6.76,11.60,-56.00,0.00,0.00,-20.00
19:00 - 19:15,-192.00,3.87,11.59,-59.00,0.00,0.00,-25.00
19:15 - 19:30,-251.00,0.00,11.60,-74.00,0.00,0.00,-80.00
19:30 - 19:45,-254.00,17.39,11.60,-78.00,0.00,0.00,-150.00
19:45 - 20:00,-246.00,17.39,11.60,-83.00,0.00,0.00,-160.00
20:00 - 20:15,-304.00,0.00,10.44,-84.00,0.00,0.00,-140.00
20:15 - 20:30,-289.00,0.00,10.44,-84.00,0.00,0.00,-140.00
20:30 - 20:45,-355.00,-10.00,9.58,-85.00,0.00,-15.00,-180.00
20:45 - 21:00,-324.00,0.00,9.23,-85.00,0.00,-15.00,-165.00
21:00 - 21:15,-380.00,-22.00,7.31,-85.00,0.00,0.00,-115.00
21:15 - 21:30,-255.00,-20.00,5.29,-78.00,0.00,0.00,-90.00
21:30 - 21:45,-234.00,-45.00,4.42,-78.00,0.00,0.00,-122.00
21:45 - 22:00,-209.00,-28.00,4.53,-85.00,0.00,0.00,-100.00
22:00 - 22:15,-179.00,-33.00,4.69,-85.00,0.00,0.00,-80.00
22:15 - 22:30,-112.00,-18.00,4.40,-85.00,0.00,0.00,-50.00
22:30 - 22:45,22.79,15.81,3.95,-86.00,0.00,0.00,-15.00
22:45 - 23:00,54.15,22.20,3.64,-78.00,0.00,0.00,-32.00
23:00 - 23:15,120.26,0.00,3.92,-78.00,0.00,0.00,0.51
23:15 - 23:30,134.94,17.51,3.76,-72.00,0.00,0.00,6.70
23:30 - 23:45,87.09,20.52,3.88,-79.00,0.00,0.00,27.73
23:45 - 24:00,80.46,18.39,3.80,-83.00,0.00,0.00,22.99
