Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-162.00,-12.00,11.58,-74.00,4.83,-152.00
00:15 - 00:30,-76.00,11.58,11.59,-74.00,3.86,-29.00
00:30 - 00:45,0.00,0.00,11.58,-66.00,0.58,-33.00
00:45 - 01:00,37.64,-7.00,10.62,-64.00,0.39,-33.00
01:00 - 01:15,0.00,-17.00,10.62,-65.00,0.00,-100.00
01:15 - 01:30,0.00,-14.00,9.65,-66.00,0.00,-58.00
01:30 - 01:45,0.00,-18.00,8.69,-64.00,0.00,-68.00
01:45 - 02:00,0.00,-29.00,8.69,-66.00,0.00,-80.00
02:00 - 02:15,-26.00,-44.00,8.69,-67.00,0.00,-52.00
02:15 - 02:30,-22.00,-59.00,8.69,-64.00,0.00,-69.00
02:30 - 02:45,-10.00,-82.00,8.40,-65.00,0.00,-80.00
02:45 - 03:00,-10.00,-94.00,8.40,-68.00,1.16,-100.00
03:00 - 03:15,-20.00,-75.00,8.01,-68.00,0.00,-83.00
03:15 - 03:30,-8.00,-53.00,7.72,-70.00,0.00,-75.00
03:30 - 03:45,0.00,-37.00,7.72,-71.00,0.00,-65.00
03:45 - 04:00,0.00,-43.00,7.72,-70.00,0.00,-63.00
04:00 - 04:15,-10.00,-62.00,7.72,-69.00,0.00,9.66
04:15 - 04:30,-16.00,-64.00,7.72,-69.00,1.45,-3.00
04:30 - 04:45,-15.00,-60.00,7.72,-70.00,2.03,-9.00
04:45 - 05:00,-17.00,-60.00,8.20,-69.00,4.83,-16.00
05:00 - 05:15,-27.00,-62.00,8.97,-89.00,4.83,-21.00
05:15 - 05:30,-22.00,-65.00,9.65,-89.00,4.83,-24.00
05:30 - 05:45,-21.00,-66.00,10.42,-90.00,4.83,-32.00
05:45 - 06:00,-20.00,-68.00,11.58,-89.00,4.83,-29.00
06:00 - 06:15,-19.00,-60.00,12.06,-88.00,3.67,-12.00
06:15 - 06:30,-24.00,-56.00,12.35,-89.00,4.83,2.90
06:30 - 06:45,-29.00,-53.00,12.55,-89.00,4.83,-22.00
06:45 - 07:00,-54.00,-59.00,13.04,-90.00,4.34,-49.00
07:00 - 07:15,-93.00,-65.00,13.04,-89.00,3.76,-28.00
07:15 - 07:30,-104.00,-71.00,13.32,-92.00,4.83,-35.00
