Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-126.00,-76.00,6.72,0.00,-60.00
00:15 - 00:30,-123.00,-78.00,6.72,0.00,-83.00
00:30 - 00:45,-113.00,-68.00,6.24,0.00,-98.00
00:45 - 01:00,-103.00,-72.00,6.24,0.00,-103.00
01:00 - 01:15,-86.00,-69.00,6.24,0.00,-110.00
01:15 - 01:30,-75.00,-68.00,5.76,0.00,-108.00
01:30 - 01:45,-89.00,-57.00,5.76,0.00,-96.00
01:45 - 02:00,-79.00,-60.00,5.76,0.00,-89.00
02:00 - 02:15,-56.00,-46.00,5.76,0.00,-85.00
02:15 - 02:30,-52.00,-48.00,5.76,0.00,-84.00
02:30 - 02:45,-79.00,-12.00,5.38,0.00,-100.00
02:45 - 03:00,-85.00,-18.00,5.09,0.00,-100.00
03:00 - 03:15,-100.00,-23.00,5.09,0.00,-89.00
03:15 - 03:30,-107.00,-27.00,5.09,0.00,-80.00
03:30 - 03:45,-92.00,-38.00,5.09,0.00,-69.00
03:45 - 04:00,-90.00,-36.00,5.09,0.00,-70.00
04:00 - 04:15,-157.00,-75.00,5.76,0.00,-74.00
04:15 - 04:30,-157.00,-81.00,6.34,0.00,-77.00
04:30 - 04:45,-125.00,-61.00,7.69,0.00,-77.00
04:45 - 05:00,-131.00,-57.00,8.45,0.00,-88.00
05:00 - 05:15,-121.00,-49.00,3.36,0.00,-5.00
05:15 - 05:30,-132.00,-42.00,5.76,0.00,-56.00
05:30 - 05:45,-102.00,-31.00,8.65,0.00,-101.00
05:45 - 06:00,-125.00,-28.00,11.53,0.00,-88.00
06:00 - 06:15,-65.00,-25.00,14.41,0.00,-60.00
06:15 - 06:30,92.23,6.72,17.29,0.00,-62.00
06:30 - 06:45,47.08,0.00,20.17,0.00,-103.00
06:45 - 07:00,9.61,0.00,21.13,4.61,-197.00
07:00 - 07:15,-71.00,19.21,22.11,4.03,-92.00
07:15 - 07:30,-61.00,36.97,12.50,3.49,-48.00
07:30 - 07:45,-61.00,14.51,5.75,0.69,-41.00
07:45 - 08:00,-26.00,9.95,4.98,0.91,-56.00
08:00 - 08:15,-66.00,-16.00,6.92,0.66,41.52
08:15 - 08:30,-122.00,-25.00,7.86,1.44,-25.00
08:30 - 08:45,-196.00,-15.00,13.04,1.61,-95.00
08:45 - 09:00,-173.00,-20.00,15.78,1.61,-172.00
09:00 - 09:15,-193.00,-147.00,17.29,0.00,-170.00
09:15 - 09:30,-186.00,-142.00,17.10,0.00,-197.00
09:30 - 09:45,-115.00,-63.00,16.62,0.00,-34.00
09:45 - 10:00,-128.00,-55.00,15.37,0.00,-25.00
10:00 - 10:15,-31.00,-90.00,13.26,0.00,-48.00
10:15 - 10:30,-10.00,-46.00,13.26,0.00,-48.00
10:30 - 10:45,-159.00,-53.00,12.78,0.00,-65.00
10:45 - 11:00,-107.00,-50.00,11.82,0.00,-70.00
11:00 - 11:15,-38.00,-60.00,9.61,0.00,-45.00
11:15 - 11:30,-38.00,-29.00,9.51,0.00,-40.00
11:30 - 11:45,10.57,-25.00,8.26,0.00,-10.00
11:45 - 12:00,6.72,-21.00,7.69,0.00,-5.00
12:00 - 12:15,28.83,15.37,6.53,0.00,6.72
12:15 - 12:30,47.08,19.21,6.53,0.00,9.61
12:30 - 12:45,24.02,19.21,3.17,0.00,0.00
12:45 - 13:00,0.00,25.94,2.88,0.00,-5.00
13:00 - 13:15,14.41,-27.00,2.88,0.00,-23.00
13:15 - 13:30,-6.00,-35.00,2.11,0.00,-68.00
13:30 - 13:45,-14.00,-31.00,1.63,0.00,-35.00
13:45 - 14:00,-11.00,-30.00,1.44,0.00,4.80
14:00 - 14:15,10.57,-34.00,1.92,0.00,-26.00
14:15 - 14:30,7.69,-30.00,0.96,0.00,-25.00
14:30 - 14:45,-12.00,-35.00,0.00,0.00,-40.00
14:45 - 15:00,-92.00,-40.00,0.00,0.00,-45.00
15:00 - 15:15,-178.00,0.00,0.00,0.00,-44.00
15:15 - 15:30,-172.00,-10.00,0.00,0.00,-43.00
15:30 - 15:45,-163.00,-19.00,0.96,0.00,-70.00
15:45 - 16:00,-137.00,-16.00,0.96,0.00,-70.00
16:00 - 16:15,-141.00,-75.00,2.88,0.00,-84.00
16:15 - 16:30,-141.00,-76.00,2.88,0.00,-76.00
16:30 - 16:45,-137.00,-42.00,2.88,0.00,-111.00
16:45 - 17:00,-143.00,-53.00,3.36,0.00,-162.00
17:00 - 17:15,-77.00,14.41,5.76,0.00,-127.00
17:15 - 17:30,-75.00,-95.00,5.76,0.00,-63.00
17:30 - 17:45,-108.00,-114.00,6.73,0.86,-76.00
17:45 - 18:00,-74.00,-118.00,7.68,4.52,-33.00
18:00 - 18:15,-109.00,-5.00,9.61,5.28,51.88
18:15 - 18:30,-64.00,-11.00,4.48,2.10,28.78
18:30 - 18:45,-40.00,-4.00,1.96,1.26,55.16
18:45 - 19:00,-11.00,3.97,1.90,0.78,71.33
19:00 - 19:15,-26.00,19.66,4.72,2.16,27.51
19:15 - 19:30,-22.00,-7.00,11.53,6.44,-20.00
19:30 - 19:45,-40.00,-23.00,11.53,9.80,-21.00
19:45 - 20:00,-56.00,-35.00,11.53,11.91,-36.00
20:00 - 20:15,-18.00,-49.00,11.53,0.00,13.45
20:15 - 20:30,17.29,-53.00,11.53,0.00,18.25
20:30 - 20:45,81.66,-38.00,12.49,0.00,-104.00
20:45 - 21:00,89.34,-37.00,11.53,0.00,-57.00
21:00 - 21:15,-70.00,-97.00,10.57,0.00,-19.00
21:15 - 21:30,-55.00,-67.00,10.09,0.00,-18.00
21:30 - 21:45,-35.00,-54.00,8.65,0.00,-30.00
21:45 - 22:00,32.66,-60.00,7.69,0.00,-24.00
22:00 - 22:15,35.55,-53.39,6.72,0.00,-17.00
22:15 - 22:30,54.76,-63.10,4.80,0.00,-7.00
22:30 - 22:45,53.80,-77.00,4.80,0.00,-2.00
22:45 - 23:00,53.80,-74.00,3.84,0.00,-30.00
23:00 - 23:15,71.09,-57.00,2.88,0.00,-33.00
23:15 - 23:30,24.98,-73.00,2.88,0.00,-19.00
23:30 - 23:45,20.18,-75.00,2.40,0.00,-23.00
23:45 - 24:00,-27.00,-91.00,1.44,0.00,-15.00
