Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,20.18,-30.00,0.00,-9.00
00:15 - 00:30,19.21,-28.00,0.00,8.65
00:30 - 00:45,5.76,-10.00,0.00,36.52
00:45 - 01:00,6.73,-67.00,0.00,56.68
01:00 - 01:15,7.69,0.00,0.00,40.35
01:15 - 01:30,14.41,0.00,0.00,40.36
01:30 - 01:45,-13.00,0.00,10.09,-2.00
01:45 - 02:00,0.00,0.00,9.99,-1.00
02:00 - 02:15,2.88,-24.00,9.90,0.96
02:15 - 02:30,15.37,-24.00,9.80,-3.00
02:30 - 02:45,45.16,0.00,9.70,27.86
02:45 - 03:00,49.01,0.00,9.70,24.98
03:00 - 03:15,41.32,0.00,9.70,12.49
03:15 - 03:30,44.20,0.00,9.70,11.53
03:30 - 03:45,21.14,0.00,9.70,1.92
03:45 - 04:00,32.67,0.00,10.09,1.92
04:00 - 04:15,-7.00,-15.00,10.56,6.73
04:15 - 04:30,-22.00,-10.00,10.76,14.41
04:30 - 04:45,-19.00,-8.00,11.53,11.53
04:45 - 05:00,-37.00,-15.00,12.01,5.76
05:00 - 05:15,-76.00,0.00,6.05,-12.00
05:15 - 05:30,-78.00,0.00,7.88,-12.00
05:30 - 05:45,-73.00,-28.00,9.51,-7.00
05:45 - 06:00,-29.00,-30.00,11.24,2.88
06:00 - 06:15,-82.00,-30.00,13.45,48.04
06:15 - 06:30,-53.00,-63.00,15.56,24.02
06:30 - 06:45,-35.00,0.00,18.06,-15.00
06:45 - 07:00,-61.00,0.00,19.21,6.73
07:00 - 07:15,-2.00,0.00,19.22,38.43
07:15 - 07:30,66.30,0.00,22.58,29.78
07:30 - 07:45,104.73,0.00,24.69,21.14
07:45 - 08:00,114.34,0.00,25.94,-378.00
08:00 - 08:15,117.22,0.00,26.61,-407.00
08:15 - 08:30,114.34,0.00,26.61,-408.00
08:30 - 08:45,130.67,24.02,25.56,-429.00
08:45 - 09:00,139.32,27.86,24.98,-413.00
09:00 - 09:15,214.26,0.00,21.14,-411.00
09:15 - 09:30,229.63,0.00,21.14,-393.00
09:30 - 09:45,220.02,9.61,20.85,95.12
09:45 - 10:00,256.53,11.53,19.89,95.12
10:00 - 10:15,263.26,5.76,18.45,111.45
10:15 - 10:30,264.22,6.73,18.74,113.37
10:30 - 10:45,315.15,26.90,17.77,142.20
10:45 - 11:00,328.60,26.90,16.62,170.06
11:00 - 11:15,359.34,46.12,17.58,105.69
11:15 - 11:30,381.45,76.86,16.62,123.94
11:30 - 11:45,352.62,74.94,16.62,155.65
11:45 - 12:00,347.81,71.10,16.33,165.26
12:00 - 12:15,330.51,84.55,19.22,135.47
12:15 - 12:30,283.44,122.02,19.22,185.43
12:30 - 12:45,192.16,122.98,20.18,184.47
12:45 - 13:00,180.63,127.79,18.26,172.94
13:00 - 13:15,135.47,72.06,19.22,109.53
13:15 - 13:30,84.55,65.33,19.22,125.87
13:30 - 13:45,93.20,63.41,17.29,140.28
13:45 - 14:00,112.41,43.24,17.29,174.87
14:00 - 14:15,135.47,24.98,15.37,171.99
14:15 - 14:30,126.83,22.10,14.41,164.29
14:30 - 14:45,73.98,65.33,13.45,137.40
14:45 - 15:00,74.94,60.53,12.49,147.97
15:00 - 15:15,25.94,82.63,11.53,122.98
15:15 - 15:30,36.51,82.63,10.57,137.39
15:30 - 15:45,4.80,72.06,10.57,86.47
15:45 - 16:00,-41.00,57.65,10.57,86.47
16:00 - 16:15,-53.00,0.00,12.49,61.49
16:15 - 16:30,-6.00,28.82,12.49,66.30
16:30 - 16:45,38.43,-49.00,12.49,67.26
16:45 - 17:00,99.92,24.98,12.49,158.54
17:00 - 17:15,145.08,0.00,14.41,67.26
17:15 - 17:30,189.28,0.00,16.33,-410.00
17:30 - 17:45,186.40,19.22,17.29,-505.00
17:45 - 18:00,194.07,9.61,18.26,-495.00
18:00 - 18:15,166.21,57.65,19.22,-385.00
18:15 - 18:30,216.17,57.65,19.22,-285.00
18:30 - 18:45,216.17,33.63,20.18,-260.00
18:45 - 19:00,227.70,19.22,20.18,-285.00
19:00 - 19:15,208.49,24.02,20.18,76.86
19:15 - 19:30,211.38,14.41,20.18,62.45
19:30 - 19:45,171.98,0.00,19.22,19.22
19:45 - 20:00,157.57,0.00,19.22,-50.00
20:00 - 20:15,140.27,0.00,19.22,-60.00
20:15 - 20:30,147.96,0.00,19.22,-100.00
20:30 - 20:45,200.80,0.00,18.26,72.06
20:45 - 21:00,200.81,0.00,17.29,81.67
21:00 - 21:15,205.62,-21.00,17.29,14.41
21:15 - 21:30,192.16,-21.00,16.33,81.67
21:30 - 21:45,218.10,-15.00,16.33,81.67
21:45 - 22:00,81.67,-10.00,15.37,81.67
22:00 - 22:15,157.58,-30.00,14.60,-55.00
22:15 - 22:30,168.14,-20.00,13.84,-20.00
22:30 - 22:45,209.45,0.00,12.59,-15.00
22:45 - 23:00,176.78,0.00,11.34,-10.00
23:00 - 23:15,211.38,0.00,10.76,-93.00
23:15 - 23:30,180.63,0.00,9.80,-73.00
23:30 - 23:45,76.86,0.00,8.74,-86.00
23:45 - 24:00,21.14,0.00,7.59,-55.00
