Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-213.00,0.00,11.55,-56.00,0.67,0.00,-76.00
00:15 - 00:30,-250.00,-20.00,11.55,-55.00,0.00,0.00,-82.00
00:30 - 00:45,-183.00,-80.00,10.59,-61.00,0.00,0.00,-70.00
00:45 - 01:00,-168.00,-80.00,10.59,-56.00,0.00,0.00,-70.00
01:00 - 01:15,-212.00,-64.00,10.59,-59.00,0.00,0.00,-76.00
01:15 - 01:30,-207.00,-78.00,10.59,-58.00,0.00,0.00,-86.00
01:30 - 01:45,-232.00,-90.00,10.59,-60.00,0.00,0.00,-47.00
01:45 - 02:00,-234.00,-76.00,10.59,-65.00,0.00,0.00,-42.00
02:00 - 02:15,-235.00,-55.00,10.59,-59.00,0.00,0.00,-30.00
02:15 - 02:30,-248.00,-44.00,10.59,-58.00,0.00,0.00,-31.00
02:30 - 02:45,-232.00,-68.00,10.59,-52.00,0.00,0.00,-9.00
02:45 - 03:00,-214.00,-52.00,9.62,-51.00,0.00,0.00,-8.00
03:00 - 03:15,-177.00,-32.00,9.62,-51.00,0.00,0.00,6.74
03:15 - 03:30,-176.00,-31.00,9.62,-51.00,0.00,0.00,6.74
03:30 - 03:45,-138.00,-13.00,9.62,-50.00,0.00,0.00,-58.00
03:45 - 04:00,-155.00,-9.00,8.66,-51.00,0.00,0.00,-154.00
04:00 - 04:15,-113.00,-91.00,8.66,-49.00,0.00,0.00,-75.00
04:15 - 04:30,-123.00,-85.00,8.66,-48.00,0.00,0.00,-72.00
04:30 - 04:45,-158.00,-68.00,8.66,-46.00,0.00,0.00,-89.00
04:45 - 05:00,-166.00,-61.00,8.66,-47.00,0.00,0.00,-177.00
05:00 - 05:15,-86.00,40.42,8.66,-49.00,0.00,0.00,-83.00
