Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-35.00,0.00,0.00,0.00,8.18,0.00,-135.00
00:15 - 00:30,-29.00,0.00,0.00,0.00,7.69,0.00,-155.00
00:30 - 00:45,0.00,0.00,0.00,0.00,6.73,0.00,-180.00
00:45 - 01:00,-13.00,0.00,0.00,0.00,6.73,0.00,-190.00
01:00 - 01:15,-55.00,0.00,0.00,0.00,6.73,0.00,-215.00
01:15 - 01:30,-27.00,0.00,0.00,0.00,6.54,0.00,-225.00
01:30 - 01:45,-27.00,0.00,0.00,-1.00,6.06,0.00,-235.00
01:45 - 02:00,-35.00,0.00,0.00,-1.00,5.77,0.00,-240.00
02:00 - 02:15,-61.00,0.00,0.00,-1.00,5.77,0.00,-240.00
02:15 - 02:30,-68.00,0.00,0.00,-1.00,5.77,0.00,-250.00
02:30 - 02:45,-75.00,0.00,0.00,-1.00,5.77,0.00,-245.00
02:45 - 03:00,-82.00,0.00,0.00,-1.00,5.77,0.00,-250.00
03:00 - 03:15,-78.00,0.00,0.00,-1.00,5.77,0.00,-250.00
03:15 - 03:30,-79.00,0.00,0.00,-1.00,5.77,0.00,-245.00
03:30 - 03:45,-76.00,0.00,0.00,-1.00,5.77,0.00,-245.00
03:45 - 04:00,-60.00,0.00,0.00,-1.00,6.06,0.00,-245.00
04:00 - 04:15,0.00,14.43,0.00,-1.00,6.06,0.00,-240.00
04:15 - 04:30,28.85,14.43,0.00,-1.00,6.54,0.00,-240.00
04:30 - 04:45,0.00,14.43,0.00,-1.00,7.50,0.00,-235.00
04:45 - 05:00,22.12,12.50,0.00,-1.00,9.43,0.00,-215.00
05:00 - 05:15,-56.00,18.28,0.00,-1.00,7.98,0.00,-205.00
05:15 - 05:30,-68.00,0.00,0.00,-1.00,9.62,0.00,-195.00
05:30 - 05:45,-34.00,4.80,0.00,-1.00,2.89,0.00,-240.00
05:45 - 06:00,0.00,4.81,0.00,-1.00,6.73,0.00,-220.00
06:00 - 06:15,-24.00,9.62,0.00,-1.00,10.58,0.00,-215.00
06:15 - 06:30,44.25,0.00,0.00,-1.00,12.50,0.00,0.00
06:30 - 06:45,-72.00,-45.00,0.00,-1.00,13.47,0.00,-20.00
06:45 - 07:00,-81.00,-105.00,0.00,-1.00,14.42,0.10,-100.00
07:00 - 07:15,-80.00,-87.00,0.00,-1.00,15.68,1.92,-129.99
07:15 - 07:30,-82.00,-50.00,0.00,-1.00,16.35,2.02,-110.00
07:30 - 07:45,-118.00,-60.00,0.00,-1.00,17.31,2.89,-80.00
07:45 - 08:00,-94.00,-50.00,0.00,-1.00,17.18,2.36,-60.00
08:00 - 08:15,2.64,-45.00,0.00,-1.00,16.75,0.70,-15.00
