Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,26.07,9.66,1.06,-1.50,7.53,0.00,0.29,21.24
00:15 - 00:30,34.76,4.83,1.06,-1.50,7.24,0.00,0.29,21.24
00:30 - 00:45,66.63,0.00,1.06,-1.50,6.95,0.00,0.29,16.41
00:45 - 01:00,80.14,0.00,1.06,-1.50,6.86,0.00,0.29,16.41
01:00 - 01:15,64.69,0.00,1.06,-1.50,6.66,0.00,0.29,4.83
01:15 - 01:30,64.68,0.00,1.06,-1.50,6.57,0.00,0.29,4.83
01:30 - 01:45,-22.00,-20.00,1.06,-1.50,5.99,0.00,0.29,9.65
01:45 - 02:00,-32.00,-30.00,1.06,-1.50,5.89,0.00,0.29,9.66
02:00 - 02:15,10.62,0.00,1.06,-1.50,4.83,0.00,0.29,31.86
02:15 - 02:30,21.24,0.00,1.06,-1.50,4.83,0.00,0.29,28.00
02:30 - 02:45,19.31,0.00,1.06,-1.50,4.83,0.00,0.29,27.03
02:45 - 03:00,20.28,0.00,1.06,-1.50,4.83,0.00,0.29,27.03
03:00 - 03:15,30.89,0.00,1.06,-1.50,5.12,0.00,0.29,22.21
03:15 - 03:30,30.90,0.00,1.06,-1.50,5.31,0.00,0.29,14.48
03:30 - 03:45,26.07,0.00,1.06,-1.50,5.31,0.00,0.29,9.66
03:45 - 04:00,26.07,0.00,1.06,-1.50,5.31,0.00,0.29,25.10
04:00 - 04:15,28.97,0.00,1.06,-1.50,5.50,0.00,0.29,20.28
04:15 - 04:30,28.00,0.00,1.06,-1.50,5.79,0.00,0.29,32.83
04:30 - 04:45,9.66,0.00,1.06,-1.50,5.79,0.00,0.29,29.93
