Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-36.00,27.88,-1.30,9.42,-40.00,0.00,49.02
00:15 - 00:30,-60.00,16.34,-1.30,9.32,-40.00,0.00,44.23
00:30 - 00:45,-64.00,6.73,-1.30,9.23,-40.00,0.00,35.57
00:45 - 01:00,-65.00,9.61,-1.30,9.13,-40.00,0.00,41.34
01:00 - 01:15,-80.00,15.38,-1.30,9.04,-40.00,0.00,35.57
01:15 - 01:30,-43.00,11.54,-1.30,8.94,-40.00,0.00,35.56
01:30 - 01:45,-41.00,29.80,-1.30,8.84,-40.00,0.00,31.73
01:45 - 02:00,-42.00,31.72,-1.30,8.75,-40.00,0.00,34.61
02:00 - 02:15,-48.00,30.76,-1.50,8.65,-45.00,0.00,-44.00
02:15 - 02:30,-47.00,6.73,-1.50,8.65,-45.00,0.00,-44.00
02:30 - 02:45,-7.00,30.76,-1.50,8.65,-45.00,0.00,-40.00
02:45 - 03:00,-6.00,18.27,-1.50,8.65,-45.00,0.00,-40.00
03:00 - 03:15,-6.00,22.11,-1.50,8.65,-45.00,0.00,-32.00
03:15 - 03:30,-6.00,20.19,-1.50,8.65,-45.00,0.00,-34.00
03:30 - 03:45,0.00,25.00,-1.50,8.65,-45.00,0.00,-32.00
03:45 - 04:00,7.69,25.96,-1.50,8.65,-45.00,0.00,-26.00
04:00 - 04:15,0.00,23.07,-1.50,9.13,-45.00,0.00,-21.00
04:15 - 04:30,0.00,23.07,-1.50,9.61,-45.00,0.00,-113.00
04:30 - 04:45,8.65,40.38,-1.50,10.57,-45.00,0.00,0.00
04:45 - 05:00,-45.00,34.60,-1.50,11.54,-45.00,0.00,0.00
05:00 - 05:15,-43.00,14.42,-1.50,12.50,-40.00,0.00,7.69
05:15 - 05:30,-33.00,9.61,-1.50,14.42,-40.00,0.00,7.69
05:30 - 05:45,-10.00,-21.00,-1.50,16.34,-35.00,0.00,-37.00
05:45 - 06:00,18.26,-55.00,-1.50,18.27,-35.00,0.00,-95.00
06:00 - 06:15,9.61,-40.00,-1.50,19.23,-75.00,0.00,9.61
06:15 - 06:30,14.42,-70.00,-1.50,21.15,-75.00,0.00,10.57
06:30 - 06:45,-12.00,-65.00,-1.50,23.07,-70.00,0.00,6.73
06:45 - 07:00,-13.00,-75.00,-1.50,24.03,-70.00,0.00,-9.00
07:00 - 07:15,-86.00,-77.00,-1.50,24.99,-60.00,0.00,-35.00
07:15 - 07:30,-116.00,-82.00,-1.50,26.92,-60.00,0.00,-35.00
07:30 - 07:45,-114.00,-85.00,-1.50,26.91,-50.00,0.58,-41.00
