Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-142.00,19.27,12.24,0.00,87.67
00:15 - 00:30,-141.00,24.09,12.24,0.00,135.85
00:30 - 00:45,-159.00,25.05,11.95,0.00,125.25
00:45 - 01:00,-168.00,23.12,11.75,0.00,144.53
01:00 - 01:15,-125.00,6.74,11.56,0.00,86.72
01:15 - 01:30,-89.00,6.74,11.27,0.00,67.45
01:30 - 01:45,29.87,14.45,10.98,0.00,52.03
01:45 - 02:00,65.52,4.82,10.79,0.00,33.72
02:00 - 02:15,173.43,19.27,10.60,0.00,58.77
02:15 - 02:30,223.52,15.42,10.31,0.00,53.96
02:30 - 02:45,181.13,57.81,10.02,0.00,56.85
02:45 - 03:00,175.35,52.03,9.83,0.00,121.40
03:00 - 03:15,243.76,27.94,9.64,-15.00,105.99
03:15 - 03:30,238.94,13.49,9.35,-15.00,125.26
03:30 - 03:45,248.58,-22.00,10.12,-15.00,75.15
03:45 - 04:00,233.17,-39.00,10.12,-15.00,61.66
04:00 - 04:15,137.77,-26.00,9.64,-15.00,28.91
04:15 - 04:30,128.15,-37.00,9.15,-15.00,19.27
04:30 - 04:45,103.10,-43.00,8.67,-15.00,13.49
04:45 - 05:00,93.46,-46.00,8.48,-15.00,0.00
05:00 - 05:15,162.83,-9.00,8.48,-15.00,-10.00
05:15 - 05:30,142.60,-15.00,8.48,-15.00,-10.00
05:30 - 05:45,80.93,-5.00,8.96,-15.00,26.98
05:45 - 06:00,119.47,9.64,9.15,-15.00,18.31
06:00 - 06:15,158.01,33.72,18.02,-15.00,22.16
06:15 - 06:30,142.59,28.91,18.02,-15.00,23.12
06:30 - 06:45,130.08,11.56,17.34,-15.00,29.87
06:45 - 07:00,93.46,14.45,16.86,-15.00,27.94
07:00 - 07:15,49.14,28.91,16.28,-15.00,27.94
07:15 - 07:30,69.37,10.60,15.32,-15.00,33.72
07:30 - 07:45,62.63,0.00,14.45,-15.00,39.50
07:45 - 08:00,26.01,0.00,13.97,-15.00,47.22
08:00 - 08:15,-49.00,0.00,14.16,-15.00,38.54
08:15 - 08:30,-7.00,0.00,11.95,-15.00,48.17
08:30 - 08:45,0.00,0.00,14.65,-15.00,56.84
08:45 - 09:00,13.49,0.00,14.74,-15.00,63.59
09:00 - 09:15,105.02,26.98,14.84,-9.00,63.59
09:15 - 09:30,186.92,35.65,13.97,-9.00,0.00
09:30 - 09:45,215.83,14.45,13.97,-10.00,0.00
09:45 - 10:00,220.65,25.05,13.10,-9.00,52.99
10:00 - 10:15,221.61,41.43,13.20,-9.00,-19.00
10:15 - 10:30,198.48,50.10,13.20,-8.00,0.00
10:30 - 10:45,208.12,98.28,8.96,-8.00,27.94
10:45 - 11:00,216.78,104.06,8.38,-7.00,40.47
11:00 - 11:15,104.05,98.28,7.42,-14.00,77.08
11:15 - 11:30,79.97,92.50,6.74,-11.00,96.35
11:30 - 11:45,19.27,8.67,5.78,-12.00,81.90
11:45 - 12:00,26.98,7.71,3.85,-8.00,91.53
12:00 - 12:15,10.60,52.99,2.89,-6.00,120.44
12:15 - 12:30,-40.00,5.78,2.60,-4.00,134.89
12:30 - 12:45,65.52,18.31,2.41,-6.00,167.64
12:45 - 13:00,9.64,-15.00,2.22,-6.00,134.88
13:00 - 13:15,27.94,-5.00,13.20,-4.42,106.95
13:15 - 13:30,13.49,-8.00,13.20,-11.00,97.31
13:30 - 13:45,146.45,0.00,13.20,-11.00,86.72
13:45 - 14:00,166.68,12.53,13.20,-9.00,125.26
14:00 - 14:15,9.64,22.16,13.20,-9.00,105.98
14:15 - 14:30,38.54,42.39,13.20,-8.00,86.72
14:30 - 14:45,82.86,69.37,13.20,-8.00,77.08
14:45 - 15:00,109.83,90.57,13.20,-8.00,95.39
15:00 - 15:15,169.57,107.91,11.08,-6.00,144.53
15:15 - 15:30,184.03,115.62,11.08,-4.00,161.87
15:30 - 15:45,349.75,89.61,11.08,-4.00,130.07
15:45 - 16:00,364.20,77.08,11.08,-2.00,134.89
16:00 - 16:15,204.26,73.23,11.27,-5.00,163.80
16:15 - 16:30,219.68,79.01,11.56,-6.00,159.94
16:30 - 16:45,109.84,-9.00,11.75,-7.00,96.35
16:45 - 17:00,126.22,8.67,13.87,-9.00,96.35
17:00 - 17:15,117.55,0.00,3.85,-9.00,77.08
17:15 - 17:30,138.75,17.34,4.14,-11.00,96.35
17:30 - 17:45,100.20,37.58,4.43,-11.00,96.35
17:45 - 18:00,126.21,47.21,4.34,-10.00,105.99
18:00 - 18:15,199.45,45.28,3.56,-56.00,154.16
18:15 - 18:30,154.16,54.92,5.78,-56.00,178.25
18:30 - 18:45,120.44,81.90,7.90,-56.00,128.14
18:45 - 19:00,107.91,84.79,9.35,-66.00,157.05
19:00 - 19:15,148.38,-73.00,11.95,-79.00,300.61
19:15 - 19:30,152.23,-61.00,12.24,-70.00,303.50
19:30 - 19:45,150.31,-58.00,12.53,-55.00,281.33
19:45 - 20:00,158.98,-65.00,12.53,-49.00,283.26
20:00 - 20:15,175.36,0.00,12.81,-73.00,284.23
20:15 - 20:30,218.71,0.00,13.49,-75.00,284.24
20:30 - 20:45,216.79,0.00,13.78,-49.00,313.13
20:45 - 21:00,227.39,0.00,13.78,-47.00,313.13
21:00 - 21:15,182.10,0.00,13.78,-47.00,308.32
21:15 - 21:30,191.74,0.00,13.78,-48.00,308.31
21:30 - 21:45,158.01,-35.00,13.78,-50.00,250.51
21:45 - 22:00,166.69,-22.00,13.78,-50.00,250.50
22:00 - 22:15,237.98,-20.00,13.78,-49.00,221.61
22:15 - 22:30,253.39,-20.00,13.78,-50.00,221.61
22:30 - 22:45,192.70,-35.00,13.78,-47.00,231.24
22:45 - 23:00,196.55,-35.00,13.78,-47.00,240.88
23:00 - 23:15,149.34,-36.00,13.20,-48.00,207.15
23:15 - 23:30,-20.00,-67.00,12.81,-48.00,207.16
23:30 - 23:45,-52.00,-60.00,12.81,-48.00,173.43
23:45 - 24:00,-64.99,-60.00,12.53,-48.00,163.79
