Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,10.58,-22.00,-1.00,7.21,0.00,-15.00
00:15 - 00:30,26.93,-26.00,-1.00,6.54,0.00,-19.00
00:30 - 00:45,51.94,0.00,-1.00,6.06,0.00,-31.00
00:45 - 01:00,36.54,0.00,-1.00,5.39,0.00,-20.00
01:00 - 01:15,33.66,0.00,-1.00,5.10,0.00,-35.00
01:15 - 01:30,20.20,0.00,-1.00,5.10,0.00,-46.00
01:30 - 01:45,0.00,0.00,-1.00,5.10,0.00,-60.00
01:45 - 02:00,0.00,0.00,-1.00,4.81,0.00,-64.00
02:00 - 02:15,15.39,0.00,-1.00,4.81,0.00,-56.00
02:15 - 02:30,12.50,0.00,-1.00,4.62,0.00,-56.00
02:30 - 02:45,26.93,0.00,-1.00,4.62,0.00,-66.00
02:45 - 03:00,21.16,0.00,-1.00,4.62,0.00,-74.00
03:00 - 03:15,39.43,0.00,-1.00,4.62,0.00,-73.00
03:15 - 03:30,43.28,0.00,-1.00,3.85,0.00,-79.00
03:30 - 03:45,56.74,0.00,-1.00,4.62,0.00,-89.00
03:45 - 04:00,28.85,0.00,-1.00,4.62,0.00,-90.00
04:00 - 04:15,56.75,0.00,-1.00,4.81,0.00,-88.00
04:15 - 04:30,79.83,0.00,-1.00,5.10,0.00,-77.00
04:30 - 04:45,43.28,19.24,-1.00,6.73,0.00,-67.00
04:45 - 05:00,59.63,14.43,-1.00,7.69,0.00,-90.00
05:00 - 05:15,75.98,14.43,-1.00,6.73,0.00,-60.00
05:15 - 05:30,78.86,4.81,-1.00,8.66,0.00,-80.00
05:30 - 05:45,77.91,0.00,-1.00,1.92,0.00,-34.00
05:45 - 06:00,50.97,0.00,-1.00,6.73,0.00,2.89
06:00 - 06:15,0.00,-9.00,-1.00,10.58,0.00,-165.00
06:15 - 06:30,0.00,-14.00,-1.00,12.50,0.00,-28.00
06:30 - 06:45,9.62,-5.00,-1.00,13.46,0.00,-54.00
06:45 - 07:00,40.39,0.00,-1.00,14.43,3.08,-48.00
07:00 - 07:15,50.96,8.66,-1.00,14.43,0.00,40.40
07:15 - 07:30,46.67,10.76,-1.00,9.27,1.91,-30.00
07:30 - 07:45,97.70,2.29,-1.00,6.49,1.18,-20.00
07:45 - 08:00,146.58,5.29,-1.00,7.33,1.02,-7.00
08:00 - 08:15,79.88,0.00,-1.00,7.18,0.91,-60.00
08:15 - 08:30,52.78,0.00,-1.00,7.72,2.23,-80.00
08:30 - 08:45,48.56,-43.00,-1.00,12.76,1.57,-67.00
08:45 - 09:00,30.57,-37.00,-1.00,19.38,0.00,-80.00
09:00 - 09:15,36.55,-30.00,-0.30,20.20,0.00,-106.00
09:15 - 09:30,65.40,-25.00,-0.30,20.20,0.00,-74.00
09:30 - 09:45,50.97,-23.00,-0.30,20.01,0.00,-35.00
09:45 - 10:00,39.44,-17.00,-0.30,19.52,0.00,-17.00
10:00 - 10:15,35.59,-8.00,-0.30,18.56,0.00,-10.00
10:15 - 10:30,36.55,13.47,-0.30,18.08,0.00,0.00
10:30 - 10:45,57.71,9.62,-0.30,16.83,0.00,38.47
10:45 - 11:00,63.48,14.43,-0.30,15.20,0.00,33.66
11:00 - 11:15,44.24,-19.00,-0.30,16.16,0.00,62.52
11:15 - 11:30,53.86,-22.00,-0.30,15.87,0.00,105.80
11:30 - 11:45,70.21,24.05,-0.30,14.43,0.00,81.75
11:45 - 12:00,90.40,25.01,-0.30,13.47,0.00,81.75
12:00 - 12:15,150.03,-9.00,-0.30,13.47,0.00,24.05
12:15 - 12:30,165.43,-25.00,-0.30,12.50,0.00,14.43
12:30 - 12:45,120.22,-5.00,-0.30,17.31,0.00,19.24
12:45 - 13:00,119.26,-10.00,-0.30,16.35,0.00,0.00
13:00 - 13:15,100.03,9.62,-0.30,16.35,0.00,-15.00
13:15 - 13:30,106.76,9.62,-0.30,15.39,0.00,-15.00
13:30 - 13:45,98.10,0.00,-0.30,14.43,0.00,4.81
13:45 - 14:00,100.02,0.00,-0.30,13.47,0.00,14.43
14:00 - 14:15,95.22,0.00,-0.30,12.50,0.00,-7.00
14:15 - 14:30,125.99,15.39,-0.30,11.54,0.00,24.05
14:30 - 14:45,110.60,19.24,-0.30,10.58,0.00,24.05
14:45 - 15:00,110.60,14.43,-0.30,9.62,0.00,24.05
15:00 - 15:15,69.23,24.05,-0.30,9.62,0.00,0.00
