Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-37.00,-75.00,7.70,-18.00,-40.00
00:15 - 00:30,-62.00,-36.00,7.70,-18.00,-35.00
00:30 - 00:45,-139.00,-30.00,7.70,-19.00,-47.00
00:45 - 01:00,-90.00,-28.00,7.70,-19.00,-47.00
01:00 - 01:15,-40.00,0.00,7.70,-19.00,-50.00
01:15 - 01:30,0.00,0.00,6.73,-19.00,-50.00
01:30 - 01:45,42.34,0.00,6.73,-19.00,-42.00
01:45 - 02:00,79.86,0.00,6.73,-18.00,-42.00
02:00 - 02:15,95.25,0.00,6.73,-33.00,-57.00
02:15 - 02:30,87.56,0.00,6.73,-33.00,-57.00
02:30 - 02:45,103.91,-32.00,6.73,-33.00,-63.00
02:45 - 03:00,116.42,-44.00,6.73,-34.00,-62.99
03:00 - 03:15,224.17,-23.00,6.73,-35.00,-75.00
03:15 - 03:30,215.52,-35.00,6.73,-35.00,-70.00
03:30 - 03:45,242.45,-25.00,6.73,-36.00,-35.00
03:45 - 04:00,228.98,-35.00,6.73,-35.00,-35.00
04:00 - 04:15,229.95,0.00,6.73,-24.00,28.86
04:15 - 04:30,223.21,-9.00,6.73,-25.00,25.98
04:30 - 04:45,209.74,-16.00,6.73,-26.00,19.24
04:45 - 05:00,201.09,-19.00,6.73,-26.00,14.43
05:00 - 05:15,86.60,-87.00,6.73,-25.00,25.01
05:15 - 05:30,85.63,-110.00,6.73,-25.00,22.13
05:30 - 05:45,62.53,-119.00,7.70,-35.00,-37.00
05:45 - 06:00,25.01,-106.00,7.70,-35.00,-37.00
06:00 - 06:15,82.74,-20.00,17.32,-34.00,-52.00
06:15 - 06:30,73.10,0.00,17.32,-33.00,10.58
06:30 - 06:45,60.61,0.00,17.32,-32.00,-24.00
06:45 - 07:00,57.72,0.00,17.32,-32.00,-62.00
07:00 - 07:15,0.00,0.00,17.32,-32.00,-5.00
07:15 - 07:30,11.55,-30.00,17.31,-32.00,0.00
07:30 - 07:45,67.34,-57.00,17.32,-27.00,0.00
07:45 - 08:00,57.72,-78.00,17.32,-27.00,0.00
08:00 - 08:15,50.02,-84.00,16.36,0.00,-10.00
08:15 - 08:30,90.44,-92.00,14.43,0.00,-15.00
08:30 - 08:45,75.04,-77.00,16.64,0.00,7.70
08:45 - 09:00,58.69,-85.00,16.93,0.00,-15.00
09:00 - 09:15,66.38,-77.00,17.61,0.00,-33.00
09:15 - 09:30,86.59,-67.00,16.93,0.00,-25.00
09:30 - 09:45,112.56,-15.00,17.61,0.00,-10.00
09:45 - 10:00,125.08,0.00,16.93,0.00,-5.00
10:00 - 10:15,200.11,4.81,17.13,0.00,-36.00
10:15 - 10:30,274.20,55.80,17.32,0.00,-20.00
10:30 - 10:45,313.64,71.20,14.43,0.00,19.24
10:45 - 11:00,332.90,74.08,13.08,0.00,38.48
11:00 - 11:15,291.51,159.71,11.93,0.00,-30.00
11:15 - 11:30,297.29,164.52,10.58,0.00,-25.00
11:30 - 11:45,411.78,192.42,9.24,0.00,9.62
11:45 - 12:00,408.89,195.31,7.70,0.00,9.62
12:00 - 12:15,423.33,221.28,15.39,0.00,17.32
12:15 - 12:30,406.00,224.17,15.39,0.00,29.83
12:30 - 12:45,313.64,200.12,14.91,0.00,52.92
12:45 - 13:00,247.26,198.19,14.43,0.00,48.11
13:00 - 13:15,325.18,242.45,21.17,0.00,30.79
13:15 - 13:30,335.76,242.45,21.17,0.00,39.45
13:30 - 13:45,265.54,267.45,21.17,0.00,29.83
13:45 - 14:00,305.95,249.18,21.17,0.00,66.38
14:00 - 14:15,236.68,240.51,21.17,0.00,67.35
14:15 - 14:30,186.65,232.82,21.17,0.00,82.74
14:30 - 14:45,183.76,255.92,23.09,0.00,78.89
14:45 - 15:00,149.13,236.67,23.09,0.00,82.74
15:00 - 15:15,187.61,242.44,21.17,0.00,81.78
15:15 - 15:30,206.85,248.22,21.17,0.00,81.78
15:30 - 15:45,231.87,260.72,21.17,0.00,110.64
15:45 - 16:00,235.71,260.73,21.17,0.00,110.64
16:00 - 16:15,277.08,288.64,20.20,0.00,96.21
16:15 - 16:30,267.46,298.26,19.24,0.00,96.21
16:30 - 16:45,292.48,314.61,18.28,0.00,115.45
16:45 - 17:00,296.33,320.38,19.24,0.00,108.72
17:00 - 17:15,296.33,301.14,10.58,0.00,33.67
17:15 - 17:30,252.07,287.67,9.62,0.00,-20.00
17:30 - 17:45,158.75,254.95,8.66,-17.00,-60.00
17:45 - 18:00,116.41,251.10,7.70,-17.00,48.11
18:00 - 18:15,186.65,57.73,6.73,-14.00,12.51
18:15 - 18:30,91.40,19.24,9.62,-15.00,12.51
18:30 - 18:45,122.18,0.00,11.55,-36.00,19.24
18:45 - 19:00,91.24,0.00,9.88,-40.00,38.01
19:00 - 19:15,78.78,12.24,3.92,-29.00,41.10
19:15 - 19:30,116.98,14.86,3.40,-29.00,22.93
19:30 - 19:45,97.22,11.35,1.58,-30.00,25.66
19:45 - 20:00,102.86,10.91,1.66,-30.00,32.21
20:00 - 20:15,199.89,0.00,1.33,-30.00,17.31
20:15 - 20:30,174.23,0.00,1.43,-30.00,24.33
20:30 - 20:45,195.75,-11.00,2.43,-30.00,65.43
20:45 - 21:00,183.52,-14.00,2.48,-29.00,51.56
21:00 - 21:15,90.42,-36.00,5.39,-22.00,62.21
21:15 - 21:30,144.57,-44.00,5.82,-25.00,44.76
21:30 - 21:45,145.51,-70.00,11.75,-28.00,144.61
21:45 - 22:00,219.35,-60.00,12.51,-31.00,153.94
22:00 - 22:15,260.72,-40.00,12.51,-33.00,52.92
22:15 - 22:30,285.75,-27.00,12.51,-35.00,43.29
22:30 - 22:45,0.00,0.00,0.00,0.00,0.00
22:45 - 23:00,0.00,0.00,0.00,0.00,0.00
23:00 - 23:15,0.00,0.00,0.00,0.00,0.00
23:15 - 23:30,0.00,0.00,0.00,0.00,0.00
23:30 - 23:45,0.00,0.00,0.00,0.00,0.00
23:45 - 24:00,0.00,0.00,0.00,0.00,0.00
