Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,-10.00,7.20,0.00,-20.00
00:15 - 00:30,0.00,-10.00,6.72,0.00,0.00
00:30 - 00:45,0.00,0.00,6.72,0.00,-10.00
00:45 - 01:00,0.00,0.00,6.72,0.00,-10.00
01:00 - 01:15,0.00,0.00,6.72,0.00,-20.00
01:15 - 01:30,0.00,0.00,6.72,0.00,-20.00
01:30 - 01:45,0.00,0.00,6.72,0.00,-30.00
01:45 - 02:00,0.00,0.00,6.72,0.00,-30.00
02:00 - 02:15,0.00,0.00,6.72,0.00,-30.00
02:15 - 02:30,0.00,0.00,6.72,0.00,-30.00
02:30 - 02:45,0.00,0.00,6.72,0.00,-30.00
02:45 - 03:00,0.00,0.00,6.72,0.00,-30.00
03:00 - 03:15,0.00,0.00,6.72,0.00,-30.00
03:15 - 03:30,0.00,0.00,6.72,0.00,-30.00
03:30 - 03:45,0.00,0.00,6.72,0.00,-30.00
03:45 - 04:00,0.00,0.00,6.72,0.00,-30.00
04:00 - 04:15,31.70,0.00,6.72,0.00,-65.00
04:15 - 04:30,33.62,0.00,7.68,0.00,-65.00
04:30 - 04:45,0.00,-10.00,8.07,0.00,-65.00
04:45 - 05:00,23.05,-10.00,9.03,0.00,-65.00
05:00 - 05:15,22.09,-20.00,10.37,0.00,-15.00
05:15 - 05:30,9.60,-13.00,12.49,0.00,-15.00
05:30 - 05:45,20.17,-30.00,14.50,0.00,9.60
05:45 - 06:00,14.41,-23.00,15.08,0.00,48.01
06:00 - 06:15,-35.00,-16.00,16.71,0.00,9.60
06:15 - 06:30,-24.00,-14.00,18.06,0.00,-30.00
06:30 - 06:45,-28.00,-60.00,18.25,0.00,-100.00
06:45 - 07:00,-37.00,-70.00,19.21,0.00,0.00
07:00 - 07:15,0.00,-97.00,21.13,0.00,-55.00
07:15 - 07:30,-16.00,-82.00,21.13,0.00,-70.00
07:30 - 07:45,11.52,-112.00,21.13,0.00,-90.00
07:45 - 08:00,26.89,-110.00,21.13,0.00,-90.00
08:00 - 08:15,28.81,-50.00,21.13,0.10,-115.00
08:15 - 08:30,69.15,-45.00,21.13,0.00,-120.00
08:30 - 08:45,37.45,-60.00,20.17,0.00,-130.00
08:45 - 09:00,-29.00,-55.00,19.98,0.00,-100.00
09:00 - 09:15,-2.00,-95.00,15.65,0.10,-90.00
09:15 - 09:30,7.68,-65.00,15.66,0.00,-100.00
09:30 - 09:45,-12.00,-120.00,14.69,0.00,-70.00
09:45 - 10:00,-15.00,-50.00,14.21,0.00,-50.00
10:00 - 10:15,9.60,0.00,13.07,0.00,-15.00
10:15 - 10:30,8.64,0.00,12.87,0.00,43.22
10:30 - 10:45,9.60,0.00,12.78,0.00,0.00
10:45 - 11:00,0.00,0.00,12.20,0.00,38.41
11:00 - 11:15,98.92,-10.00,9.80,0.00,72.03
11:15 - 11:30,79.71,0.00,9.51,0.00,72.03
11:30 - 11:45,59.54,-16.00,7.20,0.00,62.43
11:45 - 12:00,42.26,-11.00,7.20,0.00,57.62
12:00 - 12:15,27.85,-10.00,7.68,0.00,67.23
12:15 - 12:30,17.29,-15.00,7.68,0.00,72.03
12:30 - 12:45,31.69,-14.00,7.68,0.00,81.64
12:45 - 13:00,36.50,-10.00,7.20,0.00,76.83
13:00 - 13:15,35.53,0.00,9.12,0.00,52.83
13:15 - 13:30,16.33,0.00,8.64,0.00,6.72
13:30 - 13:45,0.00,0.00,7.68,0.00,33.62
13:45 - 14:00,0.00,0.00,7.20,0.00,76.84
14:00 - 14:15,17.29,-12.00,8.16,0.00,62.43
14:15 - 14:30,25.93,-23.00,8.64,0.00,76.84
14:30 - 14:45,61.47,-22.00,7.68,0.00,72.03
14:45 - 15:00,70.11,-24.00,7.68,0.00,81.64
15:00 - 15:15,73.95,0.00,7.68,0.00,14.41
15:15 - 15:30,67.23,0.00,8.16,0.00,14.41
15:30 - 15:45,15.37,0.00,7.20,0.00,0.00
15:45 - 16:00,0.00,0.00,7.68,0.00,0.00
16:00 - 16:15,0.00,-10.00,9.60,0.00,-45.00
16:15 - 16:30,0.00,-70.00,9.60,0.00,-60.00
16:30 - 16:45,0.00,-181.00,9.16,0.00,0.00
16:45 - 17:00,0.00,-186.00,7.72,0.00,0.00
17:00 - 17:15,12.93,-129.00,6.46,0.05,-46.00
17:15 - 17:30,0.00,-131.00,4.81,0.96,29.61
17:30 - 17:45,9.82,-138.00,3.31,1.37,86.87
17:45 - 18:00,7.75,-145.00,3.23,0.90,92.53
18:00 - 18:15,0.00,-68.00,2.88,0.94,104.74
18:15 - 18:30,-54.00,-78.00,3.27,0.73,115.15
18:30 - 18:45,-62.00,-95.00,6.35,0.67,41.08
18:45 - 19:00,-106.00,-122.00,13.46,0.00,-51.00
19:00 - 19:15,-63.00,-45.00,15.85,0.00,64.34
19:15 - 19:30,-66.00,-35.00,15.37,0.00,62.42
19:30 - 19:45,9.60,-72.00,15.37,0.00,54.74
19:45 - 20:00,36.50,-62.00,15.37,0.00,56.66
20:00 - 20:15,49.94,0.00,15.37,0.00,49.94
20:15 - 20:30,48.02,0.00,15.37,0.00,49.94
20:30 - 20:45,42.26,-30.00,14.41,0.00,46.09
20:45 - 21:00,42.26,-30.00,14.41,0.00,56.66
21:00 - 21:15,31.69,16.33,13.45,0.00,78.75
21:15 - 21:30,31.69,0.00,12.97,0.00,79.71
21:30 - 21:45,26.89,-6.00,12.49,0.00,58.58
21:45 - 22:00,35.53,-13.00,11.24,0.00,69.15
22:00 - 22:15,30.73,12.49,10.56,0.00,60.51
22:15 - 22:30,31.69,0.00,9.80,0.00,61.46
22:30 - 22:45,57.62,-12.00,9.60,0.00,66.28
22:45 - 23:00,56.66,0.00,8.93,0.00,63.39
23:00 - 23:15,49.94,0.00,8.36,0.00,62.41
23:15 - 23:30,91.23,-11.00,8.07,0.00,62.43
23:30 - 23:45,124.86,-20.00,7.78,0.00,57.62
23:45 - 24:00,144.07,-26.00,7.49,0.00,59.54
