Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-373.00,-328.00,-0.80,9.66,-45.00,0.58,0.00,-270.00
00:15 - 00:30,-338.00,-322.00,-0.80,9.66,-44.00,0.00,0.00,-225.00
00:30 - 00:45,-224.00,-325.00,-0.80,9.66,-45.00,0.00,0.00,-195.00
00:45 - 01:00,-241.00,-345.00,-0.80,9.66,-47.00,0.00,0.00,-185.00
01:00 - 01:15,-249.00,-201.00,-0.80,9.66,-49.00,0.00,0.00,-125.00
01:15 - 01:30,-281.00,-224.00,-0.80,9.66,-48.00,0.00,0.00,-120.00
01:30 - 01:45,-219.00,-246.00,-0.80,8.69,-49.00,0.00,0.00,-145.00
01:45 - 02:00,-246.00,-253.00,-0.80,8.69,-49.00,0.00,0.00,-150.00
02:00 - 02:15,-182.00,-148.00,-0.80,8.69,-46.00,0.00,0.00,28.98
02:15 - 02:30,-147.00,-166.00,-0.80,8.69,-46.00,0.00,0.00,38.64
02:30 - 02:45,13.52,-56.00,-0.80,8.69,-47.00,0.00,0.00,33.82
02:45 - 03:00,20.28,-56.00,-0.80,7.73,-47.00,0.00,0.00,-40.00
03:00 - 03:15,36.71,77.28,-0.80,7.73,-45.00,0.00,0.00,0.00
03:15 - 03:30,43.47,55.06,-0.80,7.73,-47.00,0.00,0.00,-7.00
03:30 - 03:45,105.29,24.15,-0.80,7.73,-48.00,0.00,0.00,-25.00
03:45 - 04:00,107.22,10.63,-0.80,7.73,-48.00,0.00,0.00,-25.00
04:00 - 04:15,120.75,-21.00,-0.80,7.73,-49.00,0.00,0.00,48.30
04:15 - 04:30,97.56,-28.00,-0.80,7.73,-47.00,0.00,0.00,33.81
04:30 - 04:45,-142.00,-37.00,-0.80,7.73,-48.00,0.00,0.00,19.32
04:45 - 05:00,-137.00,-51.00,-0.80,7.73,-49.00,0.00,0.00,33.81
05:00 - 05:15,-93.00,-45.00,-0.80,7.73,-50.00,0.00,0.00,-20.00
05:15 - 05:30,-63.00,17.39,-0.80,7.73,-50.00,0.00,0.00,43.47
05:30 - 05:45,-60.00,13.52,-0.80,7.73,-50.00,0.00,0.00,53.13
05:45 - 06:00,-77.00,0.00,-0.80,7.73,-52.00,0.00,0.00,57.96
06:00 - 06:15,-85.00,-7.00,-0.80,8.69,-52.00,0.00,0.00,77.28
06:15 - 06:30,-93.00,-38.00,-0.80,8.69,-47.00,0.00,0.00,19.32
06:30 - 06:45,-107.00,-50.00,-0.80,9.66,-49.00,0.00,0.00,77.28
06:45 - 07:00,-151.00,-39.00,-0.80,9.66,-47.00,0.00,0.00,-60.00
07:00 - 07:15,-45.00,-42.00,-0.80,9.66,-52.00,0.00,0.00,-130.00
07:15 - 07:30,-96.00,-35.00,-0.80,11.59,-53.00,0.00,0.00,-115.00
07:30 - 07:45,-287.00,-60.00,0.00,11.59,-56.00,0.00,0.00,-130.00
07:45 - 08:00,-324.00,-62.00,0.00,11.59,-58.00,0.00,0.00,-130.00
08:00 - 08:15,-370.00,-98.00,0.00,4.83,-56.00,0.00,0.00,-110.00
08:15 - 08:30,-394.00,-91.00,0.00,4.83,-57.00,0.00,0.00,-100.00
08:30 - 08:45,-414.00,-102.00,0.00,10.63,-57.00,0.00,0.00,-130.00
08:45 - 09:00,-431.00,-137.00,0.00,10.63,-59.00,0.00,0.00,-140.00
09:00 - 09:15,-531.00,-146.00,0.00,9.66,-60.00,0.00,0.00,-95.00
09:15 - 09:30,-516.00,-134.00,0.00,10.63,-58.00,0.00,0.00,-120.00
09:30 - 09:45,-543.00,-62.00,0.00,9.66,-60.00,0.00,0.00,-70.00
09:45 - 10:00,-529.00,-75.00,0.00,9.66,0.00,0.00,0.00,-65.00
10:00 - 10:15,-435.00,-39.00,0.00,8.69,0.00,0.00,0.00,-90.00
10:15 - 10:30,-416.00,9.66,0.00,8.69,0.00,0.00,0.00,-65.00
10:30 - 10:45,-478.36,67.62,0.00,8.69,0.00,0.00,0.00,-30.00
10:45 - 11:00,-495.40,72.45,0.00,9.66,0.00,0.00,0.00,-10.00
11:00 - 11:15,-440.00,38.64,0.00,8.69,0.00,0.00,0.00,19.32
11:15 - 11:30,-427.00,53.13,0.00,8.69,0.00,0.00,0.00,19.32
