Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,74.41,-15.00,5.32,-56.00,0.00,0.00,6.76
00:15 - 00:30,77.31,19.33,5.32,-57.00,0.00,0.00,18.36
00:30 - 00:45,64.75,-11.00,5.32,-56.00,0.00,0.00,23.19
00:45 - 01:00,68.61,-11.00,5.32,-56.00,0.00,0.00,0.00
01:00 - 01:15,79.25,-11.00,4.83,-57.00,0.00,0.00,-30.00
01:15 - 01:30,95.68,-10.00,4.83,-55.00,0.00,0.00,-28.00
01:30 - 01:45,41.55,14.50,3.87,-57.00,0.00,0.00,-45.00
01:45 - 02:00,9.66,6.76,3.87,-56.99,0.00,0.00,-24.00
02:00 - 02:15,11.60,18.35,3.87,-57.00,0.00,0.00,-21.00
02:15 - 02:30,17.40,23.18,3.87,-57.00,0.00,0.00,-21.00
02:30 - 02:45,0.00,31.89,2.90,-59.00,0.00,0.00,-21.00
02:45 - 03:00,16.43,32.86,2.90,-59.00,0.00,0.00,-16.00
03:00 - 03:15,0.00,26.10,1.93,-57.00,0.00,0.00,-22.00
03:15 - 03:30,0.00,24.16,1.93,-57.00,0.00,0.00,-24.00
03:30 - 03:45,0.00,24.16,1.93,-58.00,0.00,0.00,-17.00
03:45 - 04:00,0.00,14.50,1.93,-58.00,0.00,0.00,-15.00
04:00 - 04:15,12.56,50.25,0.97,-57.00,0.00,0.00,48.32
04:15 - 04:30,5.80,34.79,0.97,-57.00,0.00,0.00,34.79
04:30 - 04:45,62.81,29.96,0.97,-58.00,0.00,0.00,-11.00
04:45 - 05:00,94.71,30.92,0.97,-59.00,0.00,0.00,-9.00
05:00 - 05:15,151.73,13.53,0.97,-59.00,0.48,0.00,4.83
05:15 - 05:30,122.73,5.80,0.97,-60.00,0.00,0.00,-1.00
05:30 - 05:45,172.01,73.45,0.97,-60.00,0.00,0.00,1.93
05:45 - 06:00,136.26,79.24,0.97,-61.00,0.00,0.00,2.90
06:00 - 06:15,89.88,83.11,1.45,-62.00,0.00,0.00,15.46
06:15 - 06:30,54.12,85.05,1.45,-62.00,0.00,0.00,30.92
06:30 - 06:45,51.22,79.25,1.93,-60.00,0.00,0.00,-6.00
06:45 - 07:00,72.48,38.66,2.90,-60.00,0.00,0.00,20.29
07:00 - 07:15,27.06,67.65,2.90,-44.00,0.00,0.00,15.46
07:15 - 07:30,-9.00,48.31,3.87,-43.00,0.00,0.00,28.03
07:30 - 07:45,49.29,62.81,4.83,-30.00,0.00,0.00,38.66
07:45 - 08:00,64.75,67.64,7.73,-30.00,0.00,0.00,38.66
08:00 - 08:15,46.39,79.24,5.80,-30.00,0.00,0.00,85.04
08:15 - 08:30,55.08,85.04,5.80,-30.00,0.00,0.00,89.88
08:30 - 08:45,161.39,91.81,7.73,-20.00,0.00,0.00,91.81
08:45 - 09:00,168.16,96.64,9.18,-20.00,0.00,0.00,82.14
09:00 - 09:15,95.67,122.74,16.43,-30.00,0.00,0.00,57.98
09:15 - 09:30,101.47,123.70,15.95,-24.00,0.00,0.00,48.32
09:30 - 09:45,103.40,112.10,15.95,0.00,0.00,0.00,49.29
09:45 - 10:00,129.50,115.00,16.43,0.00,0.00,0.00,83.11
10:00 - 10:15,134.33,120.80,15.46,0.00,0.00,0.00,48.32
10:15 - 10:30,151.72,115.97,15.95,0.00,0.00,0.00,77.31
10:30 - 10:45,114.02,100.51,17.40,0.00,0.00,0.00,62.82
10:45 - 11:00,136.25,110.17,17.40,0.00,0.00,0.00,62.82
11:00 - 11:15,78.28,86.97,17.40,0.00,0.00,0.00,19.33
11:15 - 11:30,88.90,86.98,17.40,0.00,0.00,0.00,9.66
11:30 - 11:45,85.04,118.87,17.40,0.00,0.00,0.00,-25.00
11:45 - 12:00,101.47,137.23,17.88,0.00,0.00,0.00,-31.00
12:00 - 12:15,57.02,139.16,18.36,0.00,0.00,0.00,-15.00
12:15 - 12:30,84.08,136.26,18.36,0.00,0.00,0.00,-10.00
12:30 - 12:45,171.05,148.83,17.88,0.00,0.00,0.00,48.32
12:45 - 13:00,194.24,131.43,17.88,0.00,0.00,0.00,38.66
13:00 - 13:15,49.29,147.85,17.88,0.00,0.00,0.00,43.49
13:15 - 13:30,73.45,160.41,17.88,0.00,0.00,0.00,38.66
13:30 - 13:45,128.53,170.08,17.40,0.00,0.00,0.00,28.99
13:45 - 14:00,168.15,246.44,18.36,0.00,0.00,0.00,48.32
14:00 - 14:15,90.84,164.29,17.88,0.00,0.00,0.00,0.00
14:15 - 14:30,129.50,183.62,18.36,0.00,0.00,0.00,0.00
14:30 - 14:45,88.91,173.95,19.33,0.00,0.00,0.00,24.16
14:45 - 15:00,86.98,188.44,19.33,0.00,0.00,0.00,19.33
15:00 - 15:15,76.35,182.65,18.84,0.00,0.00,0.00,-30.00
15:15 - 15:30,86.01,187.48,18.36,0.00,0.00,0.00,-30.00
15:30 - 15:45,146.89,231.95,16.91,0.00,0.00,0.00,6.76
15:45 - 16:00,148.83,225.17,15.95,0.00,0.00,0.00,12.56
16:00 - 16:15,159.46,50.25,10.15,0.00,0.00,0.00,-80.00
16:15 - 16:30,166.22,46.39,9.18,0.00,0.00,0.00,-80.00
16:30 - 16:45,185.55,45.42,8.21,-10.00,0.00,0.00,-100.00
16:45 - 17:00,189.41,41.56,7.73,-20.00,0.00,0.00,-100.00
17:00 - 17:15,190.37,28.03,10.15,0.00,0.00,0.00,-85.00
17:15 - 17:30,189.41,28.03,8.70,0.00,0.00,0.00,-80.00
17:30 - 17:45,141.10,0.00,6.76,-10.00,0.00,0.00,-75.00
17:45 - 18:00,82.15,4.83,6.28,-33.00,0.00,0.00,-68.00
18:00 - 18:15,203.91,86.98,4.83,-49.00,0.00,0.00,-15.00
18:15 - 18:30,136.25,99.54,3.87,-64.00,0.00,0.00,8.70
18:30 - 18:45,220.34,91.81,3.87,-101.00,0.00,0.00,12.56
18:45 - 19:00,221.31,77.31,3.87,-73.00,0.00,0.00,26.09
