Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,17.09,21.36,0.83,0.00,33.24
00:15 - 00:30,5.87,11.36,0.67,0.00,24.61
00:30 - 00:45,22.65,22.01,0.88,-10.00,10.07
00:45 - 01:00,20.72,25.39,0.94,-10.00,9.35
01:00 - 01:15,0.00,6.56,0.37,-11.00,-15.00
01:15 - 01:30,-32.00,1.57,0.43,-11.00,-25.00
01:30 - 01:45,0.00,1.10,0.19,-12.00,0.00
01:45 - 02:00,-35.00,0.00,0.17,-13.00,0.00
02:00 - 02:15,17.79,7.70,0.84,-14.00,0.00
02:15 - 02:30,9.54,0.00,0.55,-14.00,0.00
02:30 - 02:45,-51.00,0.00,1.05,-15.00,1.04
02:45 - 03:00,-49.00,-12.00,1.12,-15.00,-10.00
03:00 - 03:15,83.35,192.01,1.86,-18.00,0.00
03:15 - 03:30,87.41,198.22,1.57,-18.00,0.00
03:30 - 03:45,138.88,166.50,3.07,-19.00,-5.00
03:45 - 04:00,101.85,187.82,3.74,-19.00,-12.00
04:00 - 04:15,29.96,158.46,3.87,-39.00,-10.00
04:15 - 04:30,0.00,142.05,3.38,-40.00,-10.00
04:30 - 04:45,-263.00,48.32,3.38,-39.00,-180.00
04:45 - 05:00,-254.00,6.77,3.38,-40.00,-180.00
05:00 - 05:15,-444.00,-122.00,2.90,-40.00,-300.00
05:15 - 05:30,-373.00,-126.00,2.90,-39.00,-300.00
05:30 - 05:45,-525.00,-120.00,2.90,-39.00,-140.00
05:45 - 06:00,-379.00,-123.00,2.90,-39.00,-55.00
06:00 - 06:15,-231.00,48.31,2.90,-39.00,-25.00
06:15 - 06:30,-282.00,48.31,2.90,-39.00,-5.00
06:30 - 06:45,-36.00,0.00,2.90,-39.00,4.83
06:45 - 07:00,-61.00,0.00,2.90,-39.00,14.49
07:00 - 07:15,-122.00,128.52,0.00,-85.00,-150.00
07:15 - 07:30,-163.00,150.74,0.00,-85.00,-170.00
07:30 - 07:45,-79.00,242.54,0.00,-85.00,-170.00
07:45 - 08:00,-70.00,254.14,0.00,-85.00,-160.00
08:00 - 08:15,-119.00,268.63,-4.00,-85.00,-80.00
08:15 - 08:30,-93.00,279.26,-5.00,-85.00,-60.00
08:30 - 08:45,-87.00,82.14,-5.00,-83.00,-90.00
08:45 - 09:00,-54.00,87.93,-5.00,-83.00,-80.00
09:00 - 09:15,0.00,101.46,7.73,-84.00,-60.00
09:15 - 09:30,0.00,103.39,7.73,-85.00,-50.00
09:30 - 09:45,59.91,145.91,7.73,-42.00,-5.00
09:45 - 10:00,73.44,146.88,7.73,-43.00,-20.00
10:00 - 10:15,80.20,198.09,5.80,-42.00,-50.00
10:15 - 10:30,93.73,225.15,5.80,-42.00,-35.00
10:30 - 10:45,-52.00,196.16,7.73,-42.00,-20.00
10:45 - 11:00,-52.00,174.90,7.73,-41.00,-20.00
11:00 - 11:15,-71.00,102.43,7.73,-41.00,-60.00
11:15 - 11:30,-70.00,87.93,7.73,-40.00,-45.00
11:30 - 11:45,-17.00,86.00,8.70,-41.00,-25.00
11:45 - 12:00,-18.00,96.63,8.70,-41.00,0.00
12:00 - 12:15,-26.00,106.30,9.95,-41.00,38.65
12:15 - 12:30,-39.00,111.12,9.86,-40.00,38.65
12:30 - 12:45,-64.00,131.41,9.76,-55.00,48.32
12:45 - 13:00,-61.00,132.38,9.37,-55.00,48.32
13:00 - 13:15,-48.00,128.52,9.37,-55.00,0.00
13:15 - 13:30,-14.00,128.52,9.66,-55.00,0.00
13:30 - 13:45,-22.00,95.66,9.18,-55.00,96.63
13:45 - 14:00,24.16,93.73,9.37,-55.00,96.63
14:00 - 14:15,-66.00,98.57,9.66,-50.00,-25.00
14:15 - 14:30,-37.00,91.80,9.66,-50.00,-25.00
14:30 - 14:45,23.19,101.46,10.63,-50.00,-50.00
14:45 - 15:00,-12.00,121.75,11.02,-50.00,-80.00
15:00 - 15:15,-163.00,64.74,11.89,-50.00,-140.00
15:15 - 15:30,-130.00,81.17,11.79,-50.00,-140.00
15:30 - 15:45,-112.00,11.60,11.59,-50.00,-170.00
15:45 - 16:00,-109.00,16.43,11.69,-50.00,-160.00
16:00 - 16:15,-121.00,38.65,12.56,-50.00,-175.00
16:15 - 16:30,-142.00,32.85,12.47,-50.00,-180.00
16:30 - 16:45,-227.00,-14.00,12.56,-70.00,-191.00
16:45 - 17:00,-261.00,-23.00,12.47,-90.00,-202.00
17:00 - 17:15,-177.00,-35.00,6.76,-39.00,-205.00
17:15 - 17:30,-203.00,-29.00,6.96,-41.00,-250.00
17:30 - 17:45,-215.00,0.00,4.83,-43.00,-268.00
17:45 - 18:00,-236.00,0.00,4.83,-46.00,-275.00
18:00 - 18:15,-106.00,-70.00,4.83,0.00,-255.00
18:15 - 18:30,-132.00,-75.00,4.83,0.00,-216.00
18:30 - 18:45,-230.00,-145.00,5.02,0.00,-51.00
18:45 - 19:00,-250.00,-150.00,5.31,0.00,-75.00
19:00 - 19:15,-560.00,-65.00,5.80,-37.00,-75.00
19:15 - 19:30,-594.00,-65.00,5.99,-41.00,-80.00
19:30 - 19:45,-538.00,-45.00,6.38,-42.00,-50.00
19:45 - 20:00,-482.00,-10.00,6.67,-42.00,198.09
20:00 - 20:15,-310.00,-27.00,6.76,-42.00,87.94
20:15 - 20:30,-256.00,-17.00,6.76,-42.00,74.41
20:30 - 20:45,-212.00,-35.00,6.76,-43.00,31.89
20:45 - 21:00,-139.00,-35.00,6.76,-43.00,36.72
21:00 - 21:15,-152.00,-58.00,6.76,-44.00,18.36
21:15 - 21:30,-71.00,-61.00,6.76,-40.00,-2.00
21:30 - 21:45,-56.00,-93.00,6.76,-20.00,17.40
21:45 - 22:00,0.00,-114.00,6.76,-20.00,10.63
22:00 - 22:15,-61.00,-105.00,4.64,-20.00,7.73
22:15 - 22:30,-12.00,-75.00,4.64,-20.00,-13.00
22:30 - 22:45,-109.00,-90.00,4.64,-15.00,-30.00
22:45 - 23:00,-39.00,-119.00,4.64,-15.00,-40.00
23:00 - 23:15,-96.00,-189.00,4.64,-15.00,-55.00
23:15 - 23:30,-171.00,-177.00,4.64,-15.00,-45.00
23:30 - 23:45,-263.00,-164.00,4.64,-15.00,-50.00
23:45 - 24:00,-355.00,-170.00,4.64,-15.00,-70.00
