Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,164.61,-23.00,0.00,1.79,-19.00,0.00,0.00,2.57
00:15 - 00:30,130.23,-39.00,0.00,1.91,-18.00,0.01,0.00,3.10
00:30 - 00:45,167.82,-48.00,0.00,2.63,-18.00,0.00,0.00,5.10
00:45 - 01:00,156.42,-67.00,0.00,2.89,-19.00,0.00,0.00,5.60
01:00 - 01:15,123.15,-120.00,0.00,5.65,-39.00,0.00,0.00,19.20
01:15 - 01:30,119.98,-137.00,0.00,6.56,-39.00,0.00,0.00,24.85
01:30 - 01:45,184.98,-143.00,0.00,11.39,-40.00,0.00,0.00,56.10
01:45 - 02:00,142.53,-142.00,0.00,13.00,-39.00,0.00,0.00,61.63
02:00 - 02:15,128.08,-129.00,0.00,13.00,-50.00,0.00,0.00,65.48
02:15 - 02:30,134.82,-128.00,0.00,12.52,-48.00,0.00,0.00,66.45
02:30 - 02:45,80.89,-149.00,0.00,12.52,-49.00,0.00,0.00,28.89
02:45 - 03:00,53.93,-145.00,0.00,12.52,-50.00,0.00,0.00,31.78
03:00 - 03:15,44.30,-16.00,0.00,12.52,-45.00,0.00,0.00,32.74
03:15 - 03:30,25.04,-13.00,0.00,12.52,-46.00,0.00,0.00,30.81
03:30 - 03:45,87.63,0.00,0.00,12.52,-52.00,0.00,0.00,27.93
03:45 - 04:00,124.22,0.00,0.00,12.52,-51.00,0.00,0.00,27.93
04:00 - 04:15,84.74,0.00,0.00,11.56,-54.00,0.00,0.00,34.67
04:15 - 04:30,93.40,0.00,0.00,11.56,-53.00,0.00,0.00,33.71
04:30 - 04:45,73.18,0.00,0.00,11.56,-55.00,0.00,0.00,34.67
04:45 - 05:00,151.19,10.59,0.00,11.56,-53.00,0.00,0.00,33.71
05:00 - 05:15,53.93,-101.00,0.00,12.52,-52.00,0.00,0.00,53.93
05:15 - 05:30,28.89,-25.00,0.00,12.52,-50.00,0.00,0.00,54.89
05:30 - 05:45,-32.00,-114.00,0.00,12.52,-65.00,0.00,0.00,152.15
05:45 - 06:00,-32.00,-116.00,0.00,12.52,-59.00,0.00,0.00,-43.00
06:00 - 06:15,-48.00,-35.00,0.00,12.52,-62.00,0.00,0.00,78.97
06:15 - 06:30,-63.00,-116.00,0.00,12.52,-60.00,0.00,0.00,-75.00
06:30 - 06:45,-89.00,12.52,0.00,13.48,-58.00,0.00,0.00,16.37
06:45 - 07:00,-87.00,23.11,0.00,13.48,-105.00,0.00,0.00,57.78
07:00 - 07:15,-179.00,-5.00,0.00,14.45,-93.00,0.00,0.00,51.03
07:15 - 07:30,-124.00,-23.00,0.00,15.41,-99.00,0.00,0.00,59.70
07:30 - 07:45,-98.00,-85.00,0.00,16.37,-100.00,0.00,0.00,43.34
07:45 - 08:00,-82.00,-28.00,0.00,17.33,-100.00,0.00,0.00,-47.00
08:00 - 08:15,-101.00,19.26,0.00,11.56,-97.00,0.00,0.00,-35.00
08:15 - 08:30,-104.00,17.33,0.00,13.48,-108.00,0.00,0.00,8.67
08:30 - 08:45,-110.00,19.26,0.00,14.45,-90.00,0.00,0.00,6.74
08:45 - 09:00,-123.00,16.37,0.00,15.41,-72.00,0.00,0.00,0.00
09:00 - 09:15,-25.00,40.44,0.00,14.45,-107.00,0.00,0.00,-10.00
09:15 - 09:30,-70.00,33.70,0.00,14.45,-90.00,0.00,0.00,4.82
09:30 - 09:45,-79.00,0.00,0.00,15.41,-75.00,0.00,0.00,-4.00
09:45 - 10:00,-64.00,0.00,0.00,15.41,-61.00,0.00,0.00,17.33
10:00 - 10:15,-65.00,0.00,0.00,14.45,-50.00,0.00,0.00,28.89
10:15 - 10:30,-50.00,0.00,0.00,14.45,-42.00,0.00,0.00,26.96
10:30 - 10:45,-42.00,-10.00,0.00,15.02,-44.00,0.00,0.00,14.45
10:45 - 11:00,-38.00,-7.00,0.00,15.02,-44.00,0.00,0.00,19.26
11:00 - 11:15,0.00,0.00,0.00,14.44,-51.00,0.00,0.00,4.82
11:15 - 11:30,0.00,0.00,0.00,14.45,-41.00,0.00,0.00,-13.00
11:30 - 11:45,0.00,0.00,0.00,14.45,-28.00,0.00,0.00,-15.00
11:45 - 12:00,0.00,0.00,0.00,14.45,-27.00,0.00,0.00,-20.00
12:00 - 12:15,0.00,0.00,0.00,15.41,-27.00,0.00,0.00,-10.00
12:15 - 12:30,0.00,0.00,0.00,15.41,-25.00,0.00,0.00,-22.00
12:30 - 12:45,-40.00,-5.00,0.00,15.41,-19.00,0.00,0.00,-8.00
12:45 - 13:00,-52.00,-15.00,0.00,15.41,-17.00,0.00,0.00,8.67
13:00 - 13:15,-60.00,-25.00,0.00,15.41,-21.00,0.00,0.00,9.63
13:15 - 13:30,-30.00,-25.00,0.00,15.41,-18.00,0.00,0.00,19.26
13:30 - 13:45,15.41,-30.00,0.00,15.41,-23.00,0.00,0.00,26.96
13:45 - 14:00,40.44,-25.00,0.00,15.41,-25.00,0.00,0.00,40.45
14:00 - 14:15,0.00,0.00,0.00,18.30,-26.00,0.00,0.00,52.96
14:15 - 14:30,0.00,0.00,0.00,18.30,-24.00,0.00,0.00,28.89
14:30 - 14:45,38.52,0.00,0.00,19.26,-23.00,0.00,0.00,92.45
14:45 - 15:00,64.52,0.00,0.00,19.26,-22.00,0.00,0.00,91.49
15:00 - 15:15,47.19,26.96,0.00,22.63,-22.00,0.00,0.00,77.04
15:15 - 15:30,61.63,24.08,0.00,22.63,-24.00,0.00,0.00,125.19
15:30 - 15:45,0.00,48.15,0.00,22.63,-21.00,0.00,0.00,163.71
15:45 - 16:00,0.00,5.78,0.00,22.63,-24.00,0.00,0.00,172.38
16:00 - 16:15,0.00,14.45,0.00,25.52,-31.00,0.00,0.00,199.34
16:15 - 16:30,-41.00,14.45,0.00,24.56,-34.00,0.00,0.00,187.78
16:30 - 16:45,-38.00,43.34,0.00,23.59,-39.00,0.00,0.00,83.78
16:45 - 17:00,-49.00,44.30,0.00,22.63,-45.00,0.00,0.00,-15.00
17:00 - 17:15,-40.00,4.82,0.00,26.96,-13.00,0.00,0.00,-32.00
17:15 - 17:30,-44.00,0.00,0.00,25.04,-13.00,0.00,0.00,-53.00
17:30 - 17:45,227.27,-30.00,-0.50,23.59,-29.00,0.00,0.00,-75.00
17:45 - 18:00,159.86,-10.00,-0.50,22.15,-26.00,0.00,0.00,-72.00
18:00 - 18:15,-139.00,-35.00,-0.50,15.41,-29.00,0.00,0.00,-146.00
18:15 - 18:30,-128.00,-52.00,-0.50,15.41,-30.00,0.00,0.00,-140.00
18:30 - 18:45,-176.00,-55.00,-0.50,15.41,-31.00,0.00,0.00,120.37
18:45 - 19:00,-148.00,-30.00,-0.50,15.41,-43.00,0.00,0.00,120.37
19:00 - 19:15,-124.00,14.45,-0.50,15.41,-41.00,5.10,0.00,77.04
19:15 - 19:30,-99.00,14.45,-0.50,15.41,-42.00,5.59,-11.00,77.03
19:30 - 19:45,-105.00,-108.00,-0.50,15.41,-41.00,7.61,0.00,86.67
19:45 - 20:00,-123.00,-103.00,-0.50,16.28,-42.00,6.61,-11.00,86.20
20:00 - 20:15,-231.00,-115.00,-0.50,17.33,-44.00,5.10,-25.00,67.42
20:15 - 20:30,-235.00,-115.00,-0.50,16.69,-43.00,8.81,-25.00,64.92
20:30 - 20:45,-210.00,-89.00,-0.50,17.33,-44.00,8.47,-25.00,52.97
20:45 - 21:00,-192.00,-92.00,-0.50,17.33,-44.00,8.86,-25.00,67.41
21:00 - 21:15,-193.00,-237.00,-0.50,17.33,-44.00,8.38,0.00,86.67
21:15 - 21:30,-176.00,-237.00,-0.50,17.33,-45.00,8.47,0.00,105.94
21:30 - 21:45,-137.00,-254.00,-0.50,16.37,-46.00,7.70,0.00,118.45
21:45 - 22:00,-129.00,-254.00,-0.50,16.37,-47.00,4.72,0.00,129.04
22:00 - 22:15,-143.00,-190.00,-0.50,16.37,-47.00,3.56,0.00,146.38
22:15 - 22:30,-136.00,-165.00,-0.50,15.41,-47.00,4.24,-25.00,156.00
22:30 - 22:45,-168.00,-136.00,-0.50,15.36,-48.00,5.37,-25.00,129.57
22:45 - 23:00,-158.00,-111.00,-0.50,15.41,-47.00,4.43,-25.00,137.71
23:00 - 23:15,-162.00,-81.00,-0.50,15.11,-47.00,6.13,-25.00,144.45
23:15 - 23:30,-166.00,-58.00,-0.50,15.41,-48.00,5.78,-25.00,150.22
23:30 - 23:45,-152.00,-55.00,-0.50,14.45,-46.00,4.04,-25.00,91.48
23:45 - 24:00,-174.00,-66.00,-0.50,14.45,-49.00,2.31,0.00,94.37
