Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-43.00,34.63,11.25,0.00,0.00,0.00,5.77
00:15 - 00:30,-65.00,53.87,11.06,0.00,0.00,0.00,4.81
00:30 - 00:45,-109.00,67.33,10.58,-25.00,0.00,0.00,13.47
00:45 - 01:00,-110.00,76.95,10.39,-26.00,0.00,0.00,14.43
01:00 - 01:15,-48.00,99.08,10.20,-28.00,0.00,0.00,12.50
01:15 - 01:30,-107.00,96.19,10.10,-29.00,0.00,0.00,13.47
01:30 - 01:45,-63.00,91.38,10.10,-28.00,0.00,0.00,19.24
01:45 - 02:00,-17.00,89.46,10.00,-28.00,0.00,0.00,-60.00
02:00 - 02:15,-153.00,-10.00,10.00,-30.00,0.00,0.00,-60.00
02:15 - 02:30,-142.00,0.00,10.00,-30.00,0.00,0.00,27.90
02:30 - 02:45,-105.00,28.86,10.00,-30.00,0.00,0.00,0.00
02:45 - 03:00,-91.00,19.25,10.00,-29.00,0.00,0.00,6.73
03:00 - 03:15,0.00,46.17,10.00,-30.00,0.00,0.00,8.66
03:15 - 03:30,0.00,48.10,10.00,-29.00,0.00,0.00,12.50
03:30 - 03:45,0.00,50.02,10.00,-30.00,0.00,0.00,18.28
03:45 - 04:00,0.00,45.21,10.10,-30.00,0.00,0.00,16.35
04:00 - 04:15,-19.00,9.62,10.29,-31.00,0.00,0.00,18.28
04:15 - 04:30,-38.00,9.62,10.39,-31.00,0.00,0.00,14.43
04:30 - 04:45,-115.00,-10.00,10.58,-34.00,0.00,0.00,13.47
04:45 - 05:00,-119.00,-10.00,11.55,-35.00,0.00,0.00,6.73
05:00 - 05:15,-104.00,48.09,12.99,-37.00,0.00,0.00,-89.00
05:15 - 05:30,-71.00,72.14,14.43,-37.00,0.00,0.00,126.01
05:30 - 05:45,-125.00,101.96,15.78,-37.00,0.00,0.00,45.21
05:45 - 06:00,-90.00,103.88,17.51,-34.00,0.00,0.00,46.17
06:00 - 06:15,-14.00,76.96,18.66,-35.00,0.00,0.00,32.70
06:15 - 06:30,41.36,105.81,19.62,-35.00,0.00,-35.00,39.44
06:30 - 06:45,83.52,106.91,18.21,-34.00,0.00,-35.00,78.51
06:45 - 07:00,85.04,127.16,18.05,-35.00,0.00,0.00,81.86
07:00 - 07:15,135.63,88.49,22.22,-34.00,0.00,0.00,105.81
07:15 - 07:30,120.24,89.46,22.89,-35.00,0.00,0.00,86.57
07:30 - 07:45,93.30,109.66,23.18,-36.00,0.00,0.00,-101.00
07:45 - 08:00,48.10,67.32,23.57,-32.00,0.00,0.00,-40.00
08:00 - 08:15,-68.00,9.62,19.72,-35.00,0.00,0.00,-3.00
08:15 - 08:30,-96.00,25.97,19.43,-29.00,0.00,0.00,-20.00
08:30 - 08:45,-189.00,-17.00,19.43,0.00,0.00,0.00,-33.00
08:45 - 09:00,-85.00,-17.00,19.33,0.00,0.00,0.00,-24.00
09:00 - 09:15,-130.00,-30.00,16.26,0.00,0.00,0.00,-36.00
09:15 - 09:30,-145.00,-30.00,15.97,17.31,0.00,0.00,-33.00
09:30 - 09:45,-122.00,0.00,15.59,12.50,0.00,0.00,-36.00
09:45 - 10:00,-122.00,0.00,15.20,17.31,0.00,0.00,-25.00
10:00 - 10:15,-135.00,0.00,13.47,16.35,0.00,0.00,-21.00
10:15 - 10:30,-108.00,0.00,13.85,21.16,0.00,0.00,-17.00
10:30 - 10:45,-98.00,14.43,12.79,26.93,0.00,0.00,-19.00
10:45 - 11:00,-86.00,14.43,12.31,26.93,0.00,0.00,-19.00
11:00 - 11:15,-85.00,9.62,11.93,28.85,0.00,0.00,-10.00
11:15 - 11:30,-97.00,9.62,11.35,27.89,0.00,0.00,-15.00
11:30 - 11:45,-138.00,17.31,10.58,28.86,0.00,0.00,-15.00
11:45 - 12:00,-151.00,21.16,10.10,28.86,0.00,0.00,-15.00
12:00 - 12:15,-119.00,28.86,10.58,28.85,0.00,0.00,-25.00
12:15 - 12:30,-132.00,30.78,10.58,27.90,0.00,0.00,-25.00
12:30 - 12:45,-135.00,38.47,9.62,29.82,0.00,0.00,-25.00
12:45 - 13:00,-128.00,40.40,9.62,29.82,0.00,0.00,-60.00
13:00 - 13:15,-148.00,-15.00,9.62,29.82,0.00,0.00,-85.00
13:15 - 13:30,-147.00,-17.00,9.62,26.93,0.00,0.00,-95.00
13:30 - 13:45,-114.00,0.00,8.66,24.04,0.00,0.00,-40.00
13:45 - 14:00,-115.00,38.47,8.66,24.05,0.00,0.00,-60.00
14:00 - 14:15,-88.00,46.17,8.66,25.01,0.00,0.00,-55.00
14:15 - 14:30,-82.00,48.10,8.66,26.93,0.00,0.00,-40.00
14:30 - 14:45,-80.00,74.06,7.70,26.93,0.00,0.00,-55.00
14:45 - 15:00,-75.00,75.02,7.70,28.86,0.00,0.00,-40.00
15:00 - 15:15,-85.00,65.41,9.62,29.82,0.00,0.00,-35.00
15:15 - 15:30,-79.00,64.45,9.62,29.82,0.00,0.00,-25.00
15:30 - 15:45,-90.00,65.41,10.58,29.82,0.00,0.00,-75.00
15:45 - 16:00,-91.00,59.64,10.58,30.78,0.00,0.00,-75.00
16:00 - 16:15,-79.00,12.50,14.43,27.90,0.00,0.00,-130.00
16:15 - 16:30,-76.00,9.62,14.43,25.01,0.00,0.00,-120.00
16:30 - 16:45,-77.00,-30.00,13.47,23.08,0.00,0.00,-98.00
16:45 - 17:00,-12.00,-8.00,13.47,18.27,0.00,0.00,-62.00
17:00 - 17:15,-43.00,-20.00,16.35,10.58,0.00,0.00,-24.00
