Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-81.00,-12.00,11.00,-87.00,0.64,-15.30,20.17
00:15 - 00:30,-59.00,-11.00,11.55,-87.00,0.00,0.00,21.17
00:30 - 00:45,-37.00,0.00,11.55,-88.00,0.00,0.00,14.43
00:45 - 01:00,-36.00,0.00,10.59,-88.00,0.00,0.00,21.17
01:00 - 01:15,-37.00,25.02,10.59,-86.00,0.00,0.00,17.32
01:15 - 01:30,-38.00,7.70,10.59,-86.00,0.00,0.00,11.54
01:30 - 01:45,-87.00,-35.00,11.55,-86.00,0.00,0.00,-6.00
01:45 - 02:00,-120.00,-32.00,11.55,-85.00,0.00,0.00,-5.00
02:00 - 02:15,-76.00,-10.00,10.59,-99.00,0.00,0.00,24.05
02:15 - 02:30,-106.00,-7.00,10.59,-99.00,0.00,0.00,27.90
02:30 - 02:45,-86.00,-15.00,10.59,-98.00,0.00,0.00,31.75
02:45 - 03:00,-67.00,-10.00,9.62,-98.00,0.00,0.00,36.57
03:00 - 03:15,-50.00,0.00,9.62,-100.00,0.00,0.00,26.95
03:15 - 03:30,0.00,9.62,9.62,-99.00,0.00,0.00,21.18
03:30 - 03:45,-66.00,0.00,9.62,-100.00,0.00,0.00,13.48
03:45 - 04:00,-74.00,0.00,8.66,-99.00,0.00,0.00,8.66
04:00 - 04:15,-75.00,-18.00,8.66,-112.00,0.00,0.00,2.89
04:15 - 04:30,-104.00,-15.00,8.66,-112.00,0.00,0.00,3.85
04:30 - 04:45,-100.00,-15.00,8.66,-113.00,0.00,0.00,0.00
04:45 - 05:00,-113.00,-15.00,8.66,-113.00,0.00,0.00,2.89
05:00 - 05:15,-26.00,0.00,8.65,-110.00,0.10,0.00,6.74
05:15 - 05:30,-43.00,0.00,8.66,-109.00,0.00,0.00,3.85
05:30 - 05:45,14.44,0.00,8.66,-55.00,0.00,0.00,0.00
05:45 - 06:00,11.55,0.00,8.66,-55.00,0.00,0.00,0.00
06:00 - 06:15,33.68,46.19,8.66,-54.00,0.00,0.00,60.63
06:15 - 06:30,32.72,48.12,8.66,-57.00,0.00,0.00,59.66
06:30 - 06:45,28.87,55.81,9.62,-57.00,0.00,0.00,60.63
06:45 - 07:00,0.00,70.25,9.62,-58.00,0.00,0.00,62.55
07:00 - 07:15,0.00,43.30,10.59,-56.00,0.00,0.00,-78.00
07:15 - 07:30,-26.00,70.24,10.59,-56.00,0.00,0.00,-30.00
07:30 - 07:45,-67.00,37.52,10.59,-55.00,0.00,0.00,16.36
07:45 - 08:00,-66.00,60.62,10.59,-55.00,0.00,0.00,-71.00
08:00 - 08:15,-117.00,0.00,9.62,-57.00,0.00,0.00,-80.00
08:15 - 08:30,-144.00,0.00,9.62,-57.00,0.00,0.00,-45.00
08:30 - 08:45,-170.00,0.00,9.62,-58.00,0.00,0.00,-8.00
08:45 - 09:00,-173.00,0.00,9.62,-60.00,0.00,0.00,-5.00
09:00 - 09:15,-52.00,21.17,4.81,-46.00,0.00,0.00,-5.00
09:15 - 09:30,-51.00,20.21,4.81,-33.00,0.00,0.00,-5.00
09:30 - 09:45,-98.00,28.87,4.81,-18.00,0.00,0.00,-19.00
09:45 - 10:00,-106.00,23.10,4.81,-6.00,0.00,0.00,-19.00
10:00 - 10:15,-147.00,-44.00,3.85,0.00,0.00,0.00,6.74
10:15 - 10:30,-132.00,-52.00,3.85,0.00,0.00,0.00,-10.00
10:30 - 10:45,-63.00,-58.00,3.85,0.00,0.00,0.00,0.00
10:45 - 11:00,-47.00,-60.00,3.85,0.00,0.00,0.00,0.00
11:00 - 11:15,-94.00,-60.00,3.85,0.00,0.00,0.00,-15.00
11:15 - 11:30,-87.00,-63.00,3.85,0.00,0.00,0.00,0.00
11:30 - 11:45,-32.00,-72.00,3.85,-82.00,0.00,0.00,24.06
11:45 - 12:00,-25.00,-59.00,3.85,-81.00,0.00,0.00,38.49
12:00 - 12:15,-63.00,-39.00,3.85,-78.00,0.00,0.00,57.74
12:15 - 12:30,-75.00,-33.00,3.85,-77.00,0.00,0.00,62.55
12:30 - 12:45,-68.00,-25.00,4.81,-76.00,0.00,0.00,81.80
12:45 - 13:00,-73.00,-28.00,4.81,-76.00,0.00,0.00,86.61
13:00 - 13:15,-44.00,-40.00,4.81,-37.88,0.00,0.00,28.87
13:15 - 13:30,-45.00,-46.00,4.81,-41.53,0.00,0.00,28.87
