Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,38.42,17.29,7.78,0.00,9.60
00:15 - 00:30,33.61,17.29,7.49,0.00,28.81
00:30 - 00:45,39.37,17.29,7.40,0.00,19.21
00:45 - 01:00,24.01,17.29,7.20,0.00,19.21
01:00 - 01:15,-7.00,9.60,7.01,0.00,-20.00
01:15 - 01:30,-21.00,9.60,7.01,0.00,-20.00
01:30 - 01:45,-59.00,0.00,7.01,0.00,-25.00
01:45 - 02:00,-32.00,0.00,7.01,0.00,-25.00
02:00 - 02:15,-30.00,0.00,7.01,0.00,-25.00
02:15 - 02:30,-33.00,0.00,6.91,0.00,-25.00
02:30 - 02:45,10.57,4.80,6.91,0.00,-25.00
02:45 - 03:00,-15.00,9.61,6.91,0.00,-25.00
03:00 - 03:15,24.97,14.41,6.91,0.00,-20.00
03:15 - 03:30,36.50,14.41,6.91,0.00,-10.00
03:30 - 03:45,46.10,19.21,6.91,0.00,-30.00
03:45 - 04:00,48.02,19.21,6.91,0.00,-35.00
04:00 - 04:15,55.70,19.21,7.20,0.00,-20.00
04:15 - 04:30,46.10,14.41,7.78,0.00,6.72
04:30 - 04:45,53.78,0.00,8.07,0.00,0.00
04:45 - 05:00,64.34,0.00,9.03,0.00,0.00
05:00 - 05:15,20.17,4.80,10.37,0.00,38.42
05:15 - 05:30,15.37,9.60,12.49,0.00,52.82
05:30 - 05:45,11.52,0.00,14.50,0.00,38.42
05:45 - 06:00,16.33,0.00,15.08,0.00,38.41
06:00 - 06:15,-48.00,-10.00,16.71,0.00,9.60
06:15 - 06:30,-77.00,-21.00,18.06,0.00,9.60
06:30 - 06:45,0.00,0.00,18.25,0.00,48.02
06:45 - 07:00,-53.00,0.00,18.82,0.00,-10.00
07:00 - 07:15,11.52,19.21,19.21,0.00,19.21
07:15 - 07:30,52.82,19.21,19.59,0.00,19.21
07:30 - 07:45,21.13,28.81,20.26,0.00,52.83
07:45 - 08:00,34.57,28.81,20.26,0.00,57.63
08:00 - 08:15,49.94,9.60,20.07,0.00,72.04
08:15 - 08:30,21.13,24.01,19.50,0.00,57.62
08:30 - 08:45,53.78,14.41,19.11,0.00,-10.00
08:45 - 09:00,65.30,18.25,18.92,0.00,-20.00
09:00 - 09:15,103.72,-25.00,15.08,0.00,-100.00
09:15 - 09:30,92.20,-30.00,14.79,0.00,-90.00
09:30 - 09:45,64.35,-43.00,14.50,0.00,-170.00
09:45 - 10:00,53.79,0.00,14.21,0.00,-115.00
10:00 - 10:15,-8.00,0.00,13.07,0.00,9.60
10:15 - 10:30,15.37,0.00,12.87,0.00,33.61
10:30 - 10:45,7.68,-10.00,12.77,0.00,43.22
10:45 - 11:00,2.88,-10.00,12.20,0.00,38.41
11:00 - 11:15,18.25,0.00,9.80,0.00,24.00
11:15 - 11:30,40.33,0.00,9.51,0.00,19.21
11:30 - 11:45,27.85,11.52,7.20,0.00,43.23
11:45 - 12:00,11.52,9.60,7.20,0.00,28.82
12:00 - 12:15,0.00,0.00,6.72,0.00,38.42
12:15 - 12:30,0.00,0.00,6.72,0.00,28.81
12:30 - 12:45,0.00,0.00,6.72,0.00,28.81
12:45 - 13:00,0.00,0.00,6.24,0.00,24.01
13:00 - 13:15,-39.00,0.00,6.72,0.00,-20.00
13:15 - 13:30,-56.00,0.00,6.72,0.00,-40.00
13:30 - 13:45,-60.00,0.00,4.80,0.00,48.02
13:45 - 14:00,-47.00,0.00,4.80,0.00,57.63
14:00 - 14:15,-28.00,14.41,4.80,0.00,67.23
14:15 - 14:30,-29.00,14.41,4.80,0.00,76.83
14:30 - 14:45,-26.00,0.00,4.80,0.00,67.23
14:45 - 15:00,-6.00,9.60,4.80,0.00,57.63
15:00 - 15:15,12.49,0.00,4.80,0.00,43.22
15:15 - 15:30,8.64,0.00,4.80,0.00,33.62
15:30 - 15:45,-11.00,-17.00,5.76,0.00,-20.00
15:45 - 16:00,1.92,-17.00,5.76,0.00,-80.00
16:00 - 16:15,-30.00,-10.00,8.64,0.00,-45.00
16:15 - 16:30,-19.00,-25.00,8.64,0.00,-50.00
16:30 - 16:45,-23.00,-31.00,9.60,0.00,-30.00
16:45 - 17:00,-25.00,-107.00,9.60,0.00,-50.00
17:00 - 17:15,-42.00,-120.00,12.49,0.67,0.00
17:15 - 17:30,-25.00,-120.00,12.04,2.84,58.48
17:30 - 17:45,50.64,-99.00,9.09,3.25,4.54
17:45 - 18:00,-11.00,-94.00,8.57,1.60,0.00
18:00 - 18:15,47.68,-57.00,5.73,1.94,28.53
18:15 - 18:30,47.97,-65.00,5.48,1.03,21.31
