Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,62.74,-61.00,12.55,0.00,0.00,-290.00
00:15 - 00:30,76.26,-59.00,12.55,0.00,0.00,-75.00
00:30 - 00:45,121.63,-30.00,11.58,0.00,0.00,4.83
00:45 - 01:00,186.31,0.00,11.58,0.00,0.00,96.53
01:00 - 01:15,306.97,53.09,11.58,0.00,0.00,77.22
01:15 - 01:30,351.37,32.82,10.62,0.00,0.00,77.22
01:30 - 01:45,337.85,12.55,10.62,0.00,0.00,86.88
01:45 - 02:00,353.30,0.00,10.62,-10.00,0.00,86.88
02:00 - 02:15,299.23,33.79,10.62,-15.00,0.00,86.88
02:15 - 02:30,254.84,11.58,10.62,-20.00,0.00,59.85
02:30 - 02:45,268.36,0.00,9.65,-20.00,0.00,69.50
02:45 - 03:00,231.68,-24.00,9.65,-20.00,0.00,69.50
03:00 - 03:15,254.85,-37.00,9.65,-25.00,0.00,62.74
03:15 - 03:30,219.13,-52.00,9.65,-25.00,0.00,67.57
03:30 - 03:45,243.26,0.00,9.65,-25.00,0.00,39.58
03:45 - 04:00,276.07,0.00,9.65,-25.00,0.00,35.72
04:00 - 04:15,194.99,38.61,8.69,-25.00,0.00,46.33
04:15 - 04:30,181.48,30.89,8.69,-25.00,0.00,31.85
04:30 - 04:45,167.96,23.17,8.69,-25.00,0.00,28.96
04:45 - 05:00,136.10,22.20,8.69,-25.00,0.00,19.31
05:00 - 05:15,55.02,0.00,8.69,-25.00,0.00,5.79
05:15 - 05:30,22.20,14.48,8.69,-25.00,0.00,-6.00
05:30 - 05:45,0.00,-60.00,8.69,-25.00,0.00,-10.00
05:45 - 06:00,0.00,-57.00,8.69,-25.00,0.00,-70.00
06:00 - 06:15,0.00,28.95,17.38,-40.00,0.00,25.10
06:15 - 06:30,0.00,38.60,17.38,-40.00,0.00,23.17
06:30 - 06:45,25.10,59.84,17.38,-40.00,0.00,33.79
06:45 - 07:00,71.43,64.68,16.41,-40.00,0.00,28.96
07:00 - 07:15,100.39,18.34,16.41,-40.00,0.00,-50.00
07:15 - 07:30,0.00,13.51,16.41,-40.00,0.00,21.24
07:30 - 07:45,-27.00,-16.00,16.41,-40.00,0.00,14.48
07:45 - 08:00,-48.00,-69.00,16.41,-30.00,0.00,34.75
08:00 - 08:15,-86.00,0.00,16.41,-30.00,0.00,15.44
08:15 - 08:30,-76.00,0.00,14.48,-30.00,0.00,53.09
08:30 - 08:45,0.00,0.00,17.18,-30.00,0.00,43.44
08:45 - 09:00,66.60,0.00,18.15,0.00,0.00,43.44
09:00 - 09:15,185.34,17.38,18.34,0.00,0.00,38.61
09:15 - 09:30,277.03,64.68,18.15,0.00,0.00,14.48
09:30 - 09:45,289.59,68.54,18.34,0.00,0.00,24.13
09:45 - 10:00,325.30,74.33,18.15,0.00,0.00,64.68
10:00 - 10:15,308.90,131.28,18.34,0.00,0.00,72.40
10:15 - 10:30,292.48,150.59,19.11,0.00,0.00,72.40
10:30 - 10:45,250.99,239.39,15.73,0.00,0.00,79.15
10:45 - 11:00,183.41,259.66,15.06,0.00,0.00,65.64
11:00 - 11:15,95.56,276.08,14.48,0.00,0.00,67.57
11:15 - 11:30,54.06,289.59,13.51,0.00,0.00,72.40
11:30 - 11:45,131.28,284.77,12.16,0.00,0.00,133.21
11:45 - 12:00,139.97,291.52,10.62,0.00,0.00,137.07
12:00 - 12:15,71.43,214.29,10.62,0.00,0.00,84.95
12:15 - 12:30,87.84,200.78,10.62,0.00,0.00,88.81
12:30 - 12:45,137.07,169.90,10.62,0.00,0.00,53.09
12:45 - 13:00,177.61,137.07,10.14,0.00,0.00,48.27
13:00 - 13:15,199.81,149.62,21.24,0.00,0.00,33.79
13:15 - 13:30,202.71,146.73,21.24,0.00,0.00,24.13
13:30 - 13:45,315.65,181.48,21.24,0.00,0.00,62.74
13:45 - 14:00,329.17,174.72,20.27,0.00,0.00,62.74
14:00 - 14:15,313.72,197.89,20.27,0.00,0.00,82.05
14:15 - 14:30,351.37,208.50,19.31,0.00,0.00,58.88
14:30 - 14:45,291.51,220.09,19.31,0.00,0.00,86.88
14:45 - 15:00,235.52,226.85,19.31,0.00,0.00,96.53
15:00 - 15:15,172.79,192.10,16.41,0.00,0.00,38.61
