Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-104.00,43.37,7.71,0.00,0.00,-50.00
00:15 - 00:30,-33.00,24.10,7.71,0.00,0.00,-50.00
00:30 - 00:45,57.83,10.60,6.75,0.00,0.00,-50.00
00:45 - 01:00,122.40,9.64,6.75,0.00,0.00,-50.00
01:00 - 01:15,83.85,32.77,6.75,-10.00,0.00,-90.00
01:15 - 01:30,126.25,53.01,6.75,-10.00,0.00,-90.00
01:30 - 01:45,162.88,53.01,3.86,-10.00,0.00,-70.00
01:45 - 02:00,202.39,48.19,3.86,-30.00,0.00,-85.00
02:00 - 02:15,188.91,81.92,4.82,-30.00,0.00,-40.00
02:15 - 02:30,191.79,26.99,4.82,-30.00,0.00,-40.00
02:30 - 02:45,200.47,0.00,4.82,-30.00,0.00,-31.00
02:45 - 03:00,206.25,0.00,4.82,-30.00,0.00,-5.00
03:00 - 03:15,221.67,190.83,3.86,-30.00,0.00,9.64
03:15 - 03:30,220.71,160.95,3.86,-30.00,0.00,12.53
03:30 - 03:45,271.79,155.17,3.86,-30.00,0.00,-5.00
03:45 - 04:00,274.68,147.46,3.86,-30.00,0.00,4.82
04:00 - 04:15,254.44,153.24,3.86,-30.00,0.00,-13.00
04:15 - 04:30,257.33,149.39,3.86,-30.00,0.00,-13.00
04:30 - 04:45,223.60,124.33,3.86,-30.00,0.00,-30.00
04:45 - 05:00,209.14,125.29,3.86,-30.00,0.00,-35.00
05:00 - 05:15,184.08,0.00,3.86,-30.00,0.00,-40.00
05:15 - 05:30,172.52,0.00,3.86,-30.00,0.00,-35.00
05:30 - 05:45,67.47,0.00,4.82,-30.00,0.00,-13.00
05:45 - 06:00,0.00,0.00,4.82,-23.00,0.00,-13.00
06:00 - 06:15,-52.00,0.00,13.49,-23.00,0.00,77.11
06:15 - 06:30,-47.00,0.00,14.46,-23.00,0.00,33.73
06:30 - 06:45,-25.00,0.00,14.46,-23.00,0.00,0.00
