Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,280.27,28.79,10.27,-33.00,0.00,43.19
00:15 - 00:30,272.58,41.27,9.89,-29.00,0.00,43.19
00:30 - 00:45,267.78,53.75,9.60,-28.00,0.00,24.00
00:45 - 01:00,273.54,25.91,9.31,-28.00,0.00,19.20
01:00 - 01:15,262.02,0.00,8.93,-28.00,0.00,-1.00
01:15 - 01:30,234.19,0.00,8.64,-29.00,0.00,-3.00
01:30 - 01:45,9.60,27.83,8.16,-28.00,0.00,23.04
01:45 - 02:00,45.11,15.36,7.68,-29.00,0.00,72.94
02:00 - 02:15,91.18,36.47,7.39,-29.00,0.00,86.38
02:15 - 02:30,156.45,47.99,7.01,-31.00,0.00,86.38
02:30 - 02:45,156.45,52.79,6.72,-31.00,0.00,76.78
02:45 - 03:00,58.55,51.83,6.72,-34.00,0.00,76.78
03:00 - 03:15,34.55,70.07,6.72,-31.00,0.00,47.99
03:15 - 03:30,54.71,47.99,6.72,-26.00,0.00,46.07
03:30 - 03:45,47.99,72.94,6.72,-27.00,0.00,54.71
03:45 - 04:00,26.87,73.91,6.72,-27.00,0.00,53.75
04:00 - 04:15,78.71,72.94,6.43,-30.00,0.00,62.39
04:15 - 04:30,62.39,75.82,6.33,-29.00,0.00,58.55
04:30 - 04:45,38.39,69.10,6.24,-29.00,0.00,57.59
04:45 - 05:00,21.12,76.78,6.05,-29.00,0.00,50.87
05:00 - 05:15,42.23,0.00,5.76,-27.00,0.00,47.99
05:15 - 05:30,-22.00,0.00,5.76,-27.00,0.00,-15.00
05:30 - 05:45,118.06,57.59,6.24,-27.00,0.00,31.67
05:45 - 06:00,109.42,47.99,6.72,-26.00,0.00,76.78
06:00 - 06:15,77.73,61.43,16.03,-26.00,0.00,71.99
06:15 - 06:30,89.26,63.35,16.99,-26.00,0.00,76.78
06:30 - 06:45,93.09,93.10,17.28,-26.00,0.00,68.15
06:45 - 07:00,109.41,94.06,16.99,-26.00,0.00,71.03
07:00 - 07:15,92.14,147.80,16.99,-25.00,0.00,71.99
07:15 - 07:30,40.31,51.83,16.99,-25.00,0.00,-45.00
07:30 - 07:45,-231.00,67.19,16.99,-26.00,0.00,27.83
07:45 - 08:00,-181.00,67.19,15.93,-24.00,0.00,41.27
08:00 - 08:15,-94.00,76.78,15.36,-23.00,0.00,-10.00
08:15 - 08:30,-20.00,105.57,14.40,-19.00,0.00,10.56
08:30 - 08:45,26.87,116.14,16.32,-6.00,0.00,33.59
08:45 - 09:00,71.03,124.77,17.28,-6.00,0.00,28.79
09:00 - 09:15,167.96,131.49,18.24,-6.00,0.00,18.24
09:15 - 09:30,224.59,127.65,18.24,-6.00,0.00,10.56
09:30 - 09:45,235.15,138.21,19.20,0.00,0.00,38.39
09:45 - 10:00,241.86,137.25,19.20,0.00,0.00,24.00
10:00 - 10:15,205.39,119.02,20.16,0.00,0.00,57.59
10:15 - 10:30,205.40,120.93,20.16,0.00,0.00,57.59
10:30 - 10:45,283.13,103.66,16.80,0.00,0.00,57.59
10:45 - 11:00,286.01,101.74,16.32,0.00,0.00,71.99
11:00 - 11:15,213.08,169.88,15.36,0.00,0.00,29.75
11:15 - 11:30,200.60,166.05,13.82,0.00,0.00,41.27
11:30 - 11:45,148.77,130.53,12.96,0.00,0.00,36.47
11:45 - 12:00,141.09,92.14,11.81,0.00,0.00,37.43
12:00 - 12:15,259.14,132.45,11.52,0.00,0.00,58.55
12:15 - 12:30,257.23,129.57,11.23,0.00,0.00,53.75
