Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-331.00,-92.00,2.90,-40.00,-260.00
00:15 - 00:30,-330.00,-99.00,2.90,-39.00,-200.00
00:30 - 00:45,-348.00,-109.00,2.90,-39.00,-210.00
00:45 - 01:00,-394.00,-110.00,1.93,-39.00,-210.00
01:00 - 01:15,-427.00,-45.00,1.93,-32.00,-90.00
01:15 - 01:30,-467.00,-50.00,1.93,-32.00,-135.00
01:30 - 01:45,-488.00,-74.00,1.93,-31.00,-171.00
01:45 - 02:00,-478.00,-47.00,0.97,-31.00,-129.00
02:00 - 02:15,-441.00,-46.00,0.97,-29.00,-171.00
02:15 - 02:30,-212.00,-56.00,0.97,-38.00,-130.00
02:30 - 02:45,-229.00,-59.00,0.97,-38.00,-135.00
02:45 - 03:00,-263.00,-56.00,0.97,-38.00,-139.00
03:00 - 03:15,-257.00,0.00,0.00,-36.00,-116.00
03:15 - 03:30,-281.00,0.00,0.00,-35.00,-115.00
03:30 - 03:45,-305.00,26.12,0.00,-35.00,-111.00
03:45 - 04:00,-314.00,27.09,0.00,-35.00,-111.00
04:00 - 04:15,-318.00,35.79,0.00,-35.00,-112.00
04:15 - 04:30,-314.00,29.99,0.00,-35.00,-127.00
04:30 - 04:45,-266.00,23.22,0.00,-35.00,-124.00
04:45 - 05:00,-317.00,19.35,0.00,-35.00,-124.00
05:00 - 05:15,-278.00,6.77,0.00,-35.00,-118.00
05:15 - 05:30,-302.00,21.28,0.00,-36.00,-117.00
05:30 - 05:45,-313.00,19.35,0.00,-35.00,-112.00
05:45 - 06:00,-336.00,33.86,0.00,-36.00,-115.00
06:00 - 06:15,-347.00,22.25,0.00,-34.00,43.53
06:15 - 06:30,-367.00,-15.00,0.00,-34.00,49.34
06:30 - 06:45,-400.00,6.77,0.00,-35.00,-80.00
06:45 - 07:00,-403.00,10.64,0.97,-34.00,-80.00
07:00 - 07:15,-397.00,9.67,0.97,-46.00,-73.00
07:15 - 07:30,-395.00,7.74,0.97,-45.00,-59.00
07:30 - 07:45,-398.00,0.00,0.97,-45.00,-65.00
07:45 - 08:00,-387.00,0.00,1.93,-45.00,-70.00
08:00 - 08:15,-303.00,0.00,0.00,-44.00,-40.00
08:15 - 08:30,-294.00,-7.00,0.00,-42.00,-50.00
08:30 - 08:45,-300.00,-5.00,0.00,-41.00,-50.00
08:45 - 09:00,-295.00,-5.00,0.00,-39.00,-50.00
09:00 - 09:15,-219.00,14.51,6.77,-58.00,-31.00
09:15 - 09:30,-223.00,-20.00,7.74,-54.00,-19.00
09:30 - 09:45,-225.00,49.34,9.67,-54.00,-30.00
09:45 - 10:00,-229.00,48.37,9.67,-46.00,-40.00
10:00 - 10:15,-259.00,-20.00,9.67,-21.92,-70.00
10:15 - 10:30,-267.00,38.70,9.67,-7.56,-70.00
10:30 - 10:45,-300.00,46.43,11.13,-46.00,-56.00
10:45 - 11:00,-305.00,43.53,11.42,-44.00,-60.00
11:00 - 11:15,-302.00,30.96,11.61,-46.00,-45.00
