genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,6.819945161645,0,0,0,0,0,0,10.628700071605,1.100319792,7.1120670192,6.66872635,4.9042404224,0,0,0,10.17423823955,5.15159528356,6.165805402625,8.341660683895,200.23413628801,,,24.8389287575,,,,0,,0,,6.505184745125,25.80391646679,,,,,,,0,0,0,8.607660663525,15.52312752342,20.03780093062,0,,,0,1.7776383438,,,22.52453920244,,,1.0807797,0,,,3.682968010755,7.05715923,4.452501644195,0,6.14753568,5.382916581735,
2,6.819945161645,0,0,0,0,0,0,10.628700071605,1.100319792,7.1120670192,6.66872635,4.9042404224,0,0,0,10.17423823955,5.15159528356,6.165805402625,8.341660683895,200.23413628801,,,24.8389287575,,,,0,,0,,6.505184745125,25.80391646679,,,,,,,0,0,0,8.607660663525,15.52312752342,20.03780093062,0,,,0,1.7776383438,,,22.52453920244,,,1.0807797,0,,,3.682968010755,7.05715923,4.452501644195,0,6.14753568,5.382916581735,
3,6.819945161645,0,0,0,0,0,0,10.628700071605,1.100319792,7.1120670192,6.66872635,4.9042404224,0,0,0,10.17423823955,5.15159528356,6.165805402625,8.341660683895,200.23413628801,,,24.8389287575,,,,0,,0,,6.505184745125,25.80391646679,,,,,,,0,0,0,8.607660663525,15.52312752342,20.03780093062,0,,,0,1.7776383438,,,22.52453920244,,,1.0807797,0,,,3.682968010755,7.05715923,4.452501644195,0,6.14753568,5.382916581735,
4,6.819945161645,0,0,0,0,0,0,10.628700071605,1.100319792,4.7413780128,6.66872635,4.9042404224,0,0,0,10.17423823955,5.15159528356,6.165805402625,8.341660683895,200.23413628801,,,24.8389287575,,,,0,,0,,6.505184745125,25.80391646679,,,,,,,0,0,0,8.607660663525,15.52312752342,20.03780093062,0,,,0,1.7776383438,,,22.52453920244,,,1.0807797,0,,,3.682968010755,7.05715923,4.452501644195,0,6.14753568,5.382916581735,
5,6.908515809195,0,0,0,0,0,0,10.628700071605,1.100319792,4.7413780128,6.66872635,4.9042404224,0,0,0,10.17423823955,5.15159528356,6.165805402625,8.341660683895,200.23413628801,,,24.8389287575,,,,0,,0,,6.505184745125,25.80391646679,,,,,,,0.6015104128,0,0,8.607660663525,15.52312752342,20.03780093062,0,,,0,1.7776383438,,,22.52453920244,,,1.0807797,0,,,3.682968010755,7.05715923,4.452501644195,0,6.14753568,5.382916581735,
6,6.908515809195,0,0,0,0,0,0,8.24640520671,1.100319792,4.7413780128,6.66872635,4.9042404224,0,0,0,10.17423823955,5.15159528356,6.165805402625,8.341660683895,200.23413628801,,,24.8389287575,,,,0,,0,,6.505184745125,25.80391646679,,,,,,,2.6853147904,0,0,8.607660663525,15.52312752342,20.03780093062,0,,,0,1.7776383438,,,22.52453920244,,,1.0807797,0,,,3.682968010755,7.05715923,4.452501644195,0,6.14753568,5.382916581735,
7,6.908515809195,0,0,0,0,0,0,5.3143499673,1.100319792,4.7413780128,6.66872635,4.9042404224,0,0,0,10.17423823955,5.15159528356,6.165805402625,8.341660683895,200.23413628801,,,24.8389287575,,,,0,,0,,6.505184745125,25.80391646679,,,,,,,2.7497621888,0,0,8.607660663525,15.52312752342,20.03780093062,0,,,0,1.7776383438,,,22.52453920244,,,1.0807797,0,,,3.682968010755,7.05715923,4.452501644195,0,6.14753568,5.382916581735,
8,6.908515809195,0,0,0,0,0,0,0,1.100319792,4.7413780128,6.66872635,4.9042404224,0,0,0,10.17423823955,5.15159528356,6.165805402625,8.341660683895,200.23413628801,,,24.8389287575,,,,0,,0,,6.505184745125,25.80391646679,,,,,,,2.7497621888,0,0,8.607660663525,15.52312752342,20.03780093062,0,,,0,1.7776383438,,,22.52453920244,,,1.0807797,0,,,3.682968010755,7.05715923,4.452501644195,0,6.14753568,5.382916581735,
9,6.961658197725,0,0,0,0,0,0,0,1.100319792,4.7413780128,6.66872635,4.9042404224,0,0,0,10.17423823955,5.15159528356,4.624354087375,8.341660683895,200.23413628801,,,24.8389287575,,,,0,,0,,6.505184745125,25.80391646679,,,,,,,2.7497621888,0,0,8.607660663525,15.52312752342,20.03780093062,0,,,0,1.7776383438,,,22.52453920244,,,1.0807797,0,,,3.682968010755,7.05715923,4.452501644195,0,6.14753568,5.382916581735,
10,6.961658197725,0,0,0,0,0,0,0,1.100319792,4.7413780128,6.66872635,4.9042404224,0,0,0,10.17423823955,5.15159528356,4.624354087375,8.341660683895,200.23413628801,,,24.8389287575,,,,0,,0,,6.505184745125,25.80391646679,,,,,,,2.7497621888,0,0,8.607660663525,15.52312752342,20.03780093062,0,,,0,1.7776383438,,,22.52453920244,,,1.0807797,0,,,3.682968010755,7.05715923,4.452501644195,0,6.14753568,5.382916581735,
