Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,75.82,0.00,7.97,0.00,0.00,-70.00
00:15 - 00:30,154.52,24.00,7.97,0.00,0.00,86.38
00:30 - 00:45,59.51,0.00,7.68,-36.00,0.00,95.98
00:45 - 01:00,6.72,0.00,7.68,-35.00,0.00,91.18
01:00 - 01:15,-26.00,-116.00,6.72,-40.00,0.00,-45.00
01:15 - 01:30,17.28,-117.00,6.72,-35.00,0.00,-45.00
01:30 - 01:45,0.00,-68.00,6.72,-34.00,0.00,-35.00
01:45 - 02:00,-111.00,-88.00,5.76,-34.00,0.00,-35.00
02:00 - 02:15,-86.00,-38.00,5.76,-35.00,0.00,-35.00
02:15 - 02:30,-40.00,-58.00,5.76,-34.00,0.00,-45.00
02:30 - 02:45,89.26,-62.00,5.76,-34.00,0.00,-55.00
02:45 - 03:00,112.30,-86.00,5.76,-41.00,0.00,-60.00
03:00 - 03:15,129.57,-16.00,4.80,-46.00,0.00,-40.00
03:15 - 03:30,135.33,-28.00,4.80,-44.00,0.00,-30.00
03:30 - 03:45,170.85,-38.00,4.80,-44.00,0.00,33.59
03:45 - 04:00,173.72,-33.00,4.80,-45.00,0.00,-10.00
04:00 - 04:15,119.02,-25.00,3.84,-44.00,0.00,91.18
04:15 - 04:30,70.07,-40.00,3.84,-43.00,0.00,76.78
04:30 - 04:45,96.93,-38.00,3.84,-43.00,0.00,71.99
04:45 - 05:00,100.77,-38.00,4.13,-43.00,0.00,57.59
05:00 - 05:15,115.16,-78.00,4.13,-46.00,0.10,24.00
05:15 - 05:30,129.57,-73.00,4.13,-43.00,0.00,19.20
05:30 - 05:45,210.19,-88.00,4.13,-42.00,0.00,9.60
05:45 - 06:00,191.00,-70.00,5.09,-41.00,0.00,-5.00
06:00 - 06:15,279.29,-10.00,13.44,-32.00,0.00,119.98
06:15 - 06:30,268.74,-17.00,14.40,-29.00,0.00,187.16
06:30 - 06:45,190.99,-19.00,13.44,-44.00,0.00,19.20
06:45 - 07:00,154.53,-18.00,13.05,-39.00,0.00,19.20
07:00 - 07:15,19.19,0.00,12.48,-40.00,0.00,-80.00
07:15 - 07:30,104.62,0.00,13.44,-46.00,0.00,-45.00
07:30 - 07:45,115.18,-90.00,12.48,-47.00,0.00,33.59
07:45 - 08:00,81.58,-90.00,11.52,-45.00,0.00,28.79
08:00 - 08:15,13.44,-87.00,10.56,-47.00,0.00,-90.00
08:15 - 08:30,-9.00,-90.00,8.64,-47.00,0.00,-90.00
08:30 - 08:45,-140.00,0.00,11.52,-45.00,0.00,-70.00
08:45 - 09:00,-148.00,23.99,12.48,-46.00,0.00,-70.00
09:00 - 09:15,-202.00,47.99,10.85,-50.00,0.00,-60.00
09:15 - 09:30,-197.00,57.59,10.56,-43.00,0.00,-55.00
09:30 - 09:45,-164.00,0.00,9.60,-37.00,0.00,-100.00
09:45 - 10:00,-77.00,0.00,8.64,-34.00,0.00,-100.00
10:00 - 10:15,-176.00,-76.00,8.64,-28.00,0.00,-160.00
10:15 - 10:30,-185.00,-7.00,9.60,-23.00,0.00,-160.00
10:30 - 10:45,-194.00,-83.00,5.76,-21.00,0.00,-290.00
10:45 - 11:00,-207.00,-81.00,4.80,-19.00,0.00,-290.00
11:00 - 11:15,-111.00,-103.00,3.36,0.00,0.00,-370.00
11:15 - 11:30,-95.00,-101.00,1.92,0.00,0.00,-379.00
11:30 - 11:45,-121.00,-84.00,0.00,0.00,0.00,-345.00
11:45 - 12:00,-159.00,-96.00,0.00,0.00,0.00,-360.00
12:00 - 12:15,-222.00,-72.00,-3.50,0.00,0.00,-415.00
12:15 - 12:30,-217.00,-74.00,-4.00,0.00,0.00,-425.00
12:30 - 12:45,-276.00,-82.00,-4.00,0.00,0.00,-367.00
12:45 - 13:00,-276.00,-77.00,-4.50,0.00,0.00,-378.00
13:00 - 13:15,-271.00,-95.00,6.72,-17.50,0.00,-430.00
