Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,54.70,-32.00,-1.30,0.96,0.00,-20.00
00:15 - 00:30,66.21,-28.00,-1.30,0.96,0.00,-20.00
00:30 - 00:45,106.52,0.00,-1.30,0.96,0.00,-20.00
00:45 - 01:00,101.72,0.00,-1.30,0.96,0.00,-20.00
01:00 - 01:15,87.32,19.19,-1.30,0.00,0.00,9.60
01:15 - 01:30,43.18,9.60,-1.30,0.00,0.00,-55.00
01:30 - 01:45,0.00,-15.00,-0.10,0.00,0.00,-35.00
01:45 - 02:00,-14.00,-21.00,-0.10,0.00,0.00,-35.00
02:00 - 02:15,-13.00,-19.00,-0.10,0.00,0.00,-30.00
02:15 - 02:30,23.03,0.00,-0.10,0.00,0.00,-30.00
02:30 - 02:45,42.22,0.00,-0.10,0.00,0.00,-30.00
02:45 - 03:00,42.22,0.00,-0.10,0.00,0.00,-30.00
03:00 - 03:15,41.26,0.00,-0.10,0.00,0.00,-35.00
03:15 - 03:30,42.22,0.00,-0.10,0.00,0.00,-35.00
03:30 - 03:45,52.78,0.00,-1.30,0.00,0.00,-35.00
03:45 - 04:00,51.82,0.00,-1.30,0.00,0.00,-35.00
04:00 - 04:15,47.02,0.00,-1.30,0.96,0.00,-35.00
04:15 - 04:30,57.58,0.00,-1.30,0.96,0.00,-35.00
04:30 - 04:45,51.82,0.00,-1.30,1.92,0.00,-35.00
04:45 - 05:00,52.78,0.00,-1.30,1.92,0.00,-35.00
05:00 - 05:15,60.45,0.00,-1.30,2.88,0.00,-25.00
05:15 - 05:30,51.82,0.00,-1.30,4.80,0.00,-10.00
05:30 - 05:45,13.43,0.00,-1.30,4.80,0.00,-5.00
05:45 - 06:00,10.55,0.00,-1.30,5.76,0.00,-30.00
06:00 - 06:15,16.31,0.00,-1.30,7.68,0.00,-30.00
06:15 - 06:30,24.95,0.00,-1.30,7.68,0.00,-30.00
06:30 - 06:45,41.26,0.00,-1.30,7.68,0.00,-30.00
06:45 - 07:00,39.34,0.00,-1.30,8.64,0.00,-30.00
07:00 - 07:15,23.99,0.00,-1.30,8.64,0.00,-25.00
07:15 - 07:30,23.99,0.00,-1.30,8.16,0.00,-30.00
07:30 - 07:45,32.63,19.19,-1.30,7.68,0.00,-15.00
07:45 - 08:00,39.34,0.00,-1.30,7.68,0.00,-10.00
08:00 - 08:15,28.79,-10.00,-1.30,7.48,0.00,-20.00
08:15 - 08:30,27.83,0.00,-1.30,6.72,0.00,-80.00
08:30 - 08:45,98.84,38.38,-1.30,5.76,0.00,-30.00
08:45 - 09:00,74.85,23.99,-1.30,5.76,0.00,-15.00
09:00 - 09:15,32.62,31.67,-0.50,4.80,0.00,23.99
09:15 - 09:30,28.79,34.55,-0.50,3.84,0.00,38.38
09:30 - 09:45,38.38,38.38,-0.50,3.36,0.00,47.99
09:45 - 10:00,36.46,23.99,-0.50,2.69,0.00,43.18
10:00 - 10:15,49.90,9.60,-0.50,2.40,0.00,43.18
10:15 - 10:30,41.26,9.60,-0.50,2.88,0.00,28.79
10:30 - 10:45,27.83,14.39,-0.50,2.69,0.00,26.87
10:45 - 11:00,24.95,16.31,-0.50,1.92,0.00,23.03
11:00 - 11:15,7.68,47.98,-0.50,1.44,0.00,2.88
11:15 - 11:30,3.84,47.98,-0.50,1.44,0.00,-2.00
11:30 - 11:45,-19.00,17.28,-0.50,2.11,0.00,12.47
11:45 - 12:00,-5.00,14.39,-0.50,1.63,0.00,6.72
12:00 - 12:15,-22.00,0.00,-0.50,1.92,0.00,7.68
12:15 - 12:30,-37.00,0.00,-0.50,2.88,0.00,15.35
12:30 - 12:45,-59.00,9.60,-0.50,0.96,0.00,17.27
12:45 - 13:00,-59.00,6.72,-0.50,1.92,0.00,23.99
13:00 - 13:15,-23.00,0.00,-0.50,0.96,0.00,-20.00
13:15 - 13:30,-50.00,0.00,-0.50,3.36,0.00,-9.00
13:30 - 13:45,-40.00,0.00,-0.50,0.96,0.00,-14.00
13:45 - 14:00,-10.00,0.00,-0.50,0.00,0.00,-9.00
14:00 - 14:15,15.36,0.00,-0.50,0.96,0.00,14.39
14:15 - 14:30,21.11,0.00,-0.50,2.40,0.00,11.52
14:30 - 14:45,-10.00,0.00,-0.50,4.32,0.00,16.31
14:45 - 15:00,23.99,0.00,-0.50,3.36,0.00,23.99
15:00 - 15:15,18.23,0.00,-0.50,1.92,0.00,24.95
15:15 - 15:30,25.91,0.00,-0.50,2.88,0.00,27.83
15:30 - 15:45,40.30,0.00,-0.50,5.28,0.00,4.80
15:45 - 16:00,43.18,0.00,-0.50,6.24,0.00,10.56
16:00 - 16:15,12.47,0.00,-0.50,5.76,0.00,-8.00
16:15 - 16:30,1.92,0.00,-0.50,5.28,0.00,-24.00
16:30 - 16:45,0.96,-12.00,-0.50,5.76,0.00,76.77
16:45 - 17:00,17.27,26.87,-0.50,6.72,0.00,0.00
17:00 - 17:15,3.84,52.77,-0.50,7.68,0.00,-20.00
17:15 - 17:30,17.27,40.30,-0.50,8.16,0.00,-25.00
17:30 - 17:45,-14.00,13.32,-0.50,8.56,0.10,23.78
17:45 - 18:00,-47.00,-14.00,-0.50,8.77,0.61,-70.00
18:00 - 18:15,-128.00,97.75,-0.50,8.01,0.88,-60.00
18:15 - 18:30,-115.00,90.30,-0.50,7.23,0.00,-70.00
18:30 - 18:45,-87.00,95.96,-0.50,9.12,0.00,-80.00
18:45 - 19:00,-31.00,95.96,-0.50,8.64,0.00,-90.00
19:00 - 19:15,-21.00,28.78,-0.50,8.16,0.00,-39.00
19:15 - 19:30,-35.00,0.00,-0.50,8.16,0.00,-111.00
19:30 - 19:45,-26.00,15.35,-0.50,8.16,0.00,-50.00
19:45 - 20:00,-24.00,13.43,-0.50,7.68,0.00,-40.00
20:00 - 20:15,-24.00,43.18,-0.50,6.72,0.00,-50.00
20:15 - 20:30,-25.00,30.70,-0.50,6.72,0.00,-40.00
20:30 - 20:45,0.00,19.19,-0.50,5.76,0.00,-16.00
20:45 - 21:00,23.98,6.72,-0.50,5.76,0.00,-27.00
21:00 - 21:15,46.06,0.00,-0.50,4.80,0.00,-20.00
21:15 - 21:30,33.58,0.00,-0.50,4.80,0.00,-15.00
21:30 - 21:45,10.55,0.00,-0.50,4.80,0.00,0.00
21:45 - 22:00,23.99,0.00,-0.50,4.80,0.00,0.00
22:00 - 22:15,30.71,41.25,-1.30,3.84,0.10,0.00
22:15 - 22:30,11.51,9.60,-1.30,3.84,0.00,0.00
22:30 - 22:45,46.06,0.00,-1.30,2.88,0.00,0.00
22:45 - 23:00,43.18,0.00,-1.30,2.88,0.00,0.00
23:00 - 23:15,39.34,0.00,-1.30,1.92,0.00,-20.00
23:15 - 23:30,49.89,0.00,-1.30,1.92,0.10,-7.00
23:30 - 23:45,62.37,0.00,-1.30,1.92,0.00,3.84
23:45 - 24:00,62.37,0.00,-1.30,1.92,0.00,-7.00
