genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
13,0,0,0,7.2216144,0,0,0,11.62765725,,2.2003696,4.741594,2.2218625,0,0,0,0,10.0758867,5.1527476,0,2.77944205,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,1.77751915,,,23.568215,,0,,1.0579998,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
14,0,0,0,7.2216144,0,0,0,11.62765725,,2.2003696,4.741594,2.2218625,0,0,0,0,10.0758867,5.1527476,0,2.77944205,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,1.77751915,,,23.568215,,0,,0.1299298,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
15,0,0,0,7.2216144,0,0,0,11.62765725,,2.2003696,4.741594,2.2218625,0,0,0,0,10.0758867,5.1527476,0,2.77944205,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,1.77751915,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.6631116,5.33238255,
16,0,0,0,7.2216144,0,0,0,11.62765725,,2.2003696,4.741594,2.2218625,0,0,0,0,10.0758867,5.1527476,0,2.77944205,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,58.8868852,1.77751915,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.6631116,5.33238255,
17,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,4.741594,4.4423577,0,0,0,0,10.0758867,5.1527476,0,2.77944205,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,63.5947312,1.61939195,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.6631116,5.33238255,
18,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,2.3471734,4.4423577,0,0,0,0,10.0758867,5.1527476,0,2.77944205,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,64.163385,1.57421275,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.6631116,5.33238255,
19,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,2.3336742,4.4423577,0,0,0,0,10.0758867,5.1527476,0,2.77944205,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,64.163385,0.87675885,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
20,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,4.4423577,0,0,0,0,10.0758867,5.1527476,0,2.77944205,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,64.163385,0.87675885,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
21,0,0,0,7.1864793,0,0,0,11.62765725,,1.1001848,0,6.6642202,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,67.960035,0,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
22,0,0,0,7.2216144,0,0,0,11.62765725,,1.1001848,0,6.6642202,0,0,0,0,10.0758867,5.1527476,1.54074745,2.77944205,1.974258,226.62472855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
