Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,108.91,149.38,1.06,-1.50,9.16,0.29,-45.00
00:15 - 00:30,110.84,139.74,1.06,-1.50,9.16,0.29,-45.00
00:30 - 00:45,76.14,134.94,1.06,-1.50,8.67,0.29,-70.00
00:45 - 01:00,39.52,134.93,1.06,-1.50,8.67,0.29,0.00
01:00 - 01:15,0.00,62.65,1.06,-1.50,8.67,0.29,-20.00
01:15 - 01:30,0.00,57.83,1.06,-1.50,8.67,0.29,-20.00
01:30 - 01:45,0.00,57.83,1.06,-1.50,7.23,0.29,-30.00
01:45 - 02:00,47.23,67.46,1.06,-1.50,6.75,0.29,-30.00
02:00 - 02:15,65.53,0.00,1.06,-1.50,6.75,0.29,-10.00
02:15 - 02:30,88.67,0.00,1.06,-1.50,6.75,0.29,-15.00
02:30 - 02:45,105.05,0.00,1.06,-1.50,6.75,0.29,-25.00
02:45 - 03:00,127.22,0.00,1.06,-1.50,6.75,0.29,-10.00
03:00 - 03:15,103.12,0.00,1.06,-1.50,6.75,0.29,-25.00
03:15 - 03:30,90.59,0.00,1.06,-1.50,6.75,0.29,-30.00
03:30 - 03:45,75.17,0.00,1.06,-1.50,6.75,0.29,-35.00
03:45 - 04:00,72.28,0.00,1.06,-1.50,6.75,0.29,-40.00
04:00 - 04:15,57.82,0.00,1.06,-1.50,6.75,0.29,-45.00
04:15 - 04:30,57.83,0.00,1.06,-1.50,6.84,0.29,-50.00
04:30 - 04:45,86.74,0.00,1.06,-1.50,7.04,0.29,-65.00
04:45 - 05:00,85.78,0.00,1.06,-1.50,7.71,0.29,-50.00
05:00 - 05:15,87.70,0.00,1.06,-1.50,8.48,0.29,-70.00
05:15 - 05:30,87.71,0.00,1.06,-1.50,10.60,0.29,-55.00
05:30 - 05:45,70.36,0.00,1.06,-1.50,10.60,0.29,-65.00
05:45 - 06:00,75.17,0.00,1.06,-1.50,12.05,0.29,-65.00
06:00 - 06:15,72.29,0.00,1.06,-1.50,13.01,0.29,-90.00
06:15 - 06:30,56.86,0.00,1.06,-1.50,13.30,0.29,-85.00
06:30 - 06:45,61.68,0.00,1.06,-1.50,13.98,0.29,-85.00
06:45 - 07:00,70.35,0.00,1.06,-1.50,13.98,0.29,-80.00
07:00 - 07:15,27.95,0.00,1.06,-1.50,13.49,0.29,-80.00
07:15 - 07:30,23.13,0.00,1.06,-1.50,13.78,0.29,-75.00
07:30 - 07:45,46.26,0.00,1.06,-1.50,14.07,0.29,-75.00
07:45 - 08:00,44.33,0.00,1.06,-1.50,13.88,0.29,-10.00
08:00 - 08:15,22.17,-11.00,1.06,-1.50,13.20,0.29,33.73
08:15 - 08:30,26.02,-21.00,1.06,-1.50,12.53,0.29,28.92
08:30 - 08:45,26.02,-25.00,1.06,-1.50,12.53,0.29,0.00
08:45 - 09:00,28.91,-25.00,1.06,-1.50,12.82,0.29,-20.00
