Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-119.00,-120.00,-1.00,5.96,-10.00,0.00,0.00
00:15 - 00:30,-153.00,-125.00,-1.00,5.77,-10.00,0.00,0.00
00:30 - 00:45,-53.00,-138.00,-1.00,5.58,-16.00,0.00,-9.00
00:45 - 01:00,-51.00,-135.00,-1.00,5.29,-16.00,0.00,-9.00
01:00 - 01:15,-53.00,-143.00,-1.00,5.10,-18.00,0.00,-4.00
01:15 - 01:30,-55.00,-142.00,-1.00,5.10,-21.00,0.00,-5.00
01:30 - 01:45,-36.00,-137.00,-1.00,5.10,-21.00,0.00,22.12
01:45 - 02:00,-34.00,-139.00,-1.00,5.00,-22.00,0.00,22.12
02:00 - 02:15,-14.00,-125.00,-1.00,4.91,-22.00,0.00,25.96
02:15 - 02:30,-16.00,-125.00,-1.00,4.81,-23.00,0.00,25.97
02:30 - 02:45,-21.00,-123.00,-1.00,4.71,-25.00,0.00,25.01
02:45 - 03:00,-23.00,-122.00,-1.00,4.71,-25.00,0.00,25.01
03:00 - 03:15,-18.00,-113.00,-1.00,4.71,-25.00,0.00,23.09
03:15 - 03:30,-17.00,-114.00,-1.00,4.71,-25.00,0.00,24.05
03:30 - 03:45,-20.00,-115.00,-1.00,4.71,-24.00,0.00,22.12
03:45 - 04:00,-18.00,-115.00,-1.00,5.00,-24.00,0.00,23.08
04:00 - 04:15,0.00,-107.00,-1.00,5.19,-24.00,0.00,16.35
04:15 - 04:30,0.00,-106.00,-1.00,5.87,-23.00,0.00,11.54
04:30 - 04:45,8.66,-107.00,-1.00,6.54,-24.00,0.00,14.42
04:45 - 05:00,-54.00,-107.00,-1.00,7.02,-22.00,0.00,13.47
05:00 - 05:15,-39.00,-116.00,-1.00,8.75,-21.00,0.00,51.94
05:15 - 05:30,21.16,-131.00,-1.00,10.29,-17.00,0.00,-10.00
05:30 - 05:45,96.18,-121.00,-1.00,11.54,-14.00,0.00,-13.00
05:45 - 06:00,57.71,-120.00,-1.00,14.62,-10.00,0.00,-27.00
06:00 - 06:15,105.80,-159.00,-1.00,12.89,-10.00,0.00,-66.00
06:15 - 06:30,103.87,-146.00,-1.00,15.68,0.00,0.00,-45.00
06:30 - 06:45,47.12,-116.00,-1.00,17.22,0.00,0.00,40.40
06:45 - 07:00,-53.00,-133.00,-1.00,17.70,0.00,0.58,26.92
07:00 - 07:15,-154.00,-152.00,-1.00,15.96,0.00,4.13,-9.00
07:15 - 07:30,-197.00,-119.00,-1.00,10.22,0.00,2.28,9.50
07:30 - 07:45,-79.00,-101.00,-1.00,4.77,0.00,0.47,15.10
07:45 - 08:00,-89.00,-102.00,-1.00,4.14,0.00,0.00,16.19
08:00 - 08:15,-124.00,-169.00,-1.00,11.36,0.00,0.35,19.84
08:15 - 08:30,-161.00,-176.00,-1.00,16.31,0.00,1.36,0.00
08:30 - 08:45,-110.00,-176.00,-1.00,20.58,0.00,0.00,-42.00
08:45 - 09:00,-87.00,-160.00,-1.00,20.10,0.00,0.00,-62.00
09:00 - 09:15,-138.00,-184.00,-1.00,19.14,0.00,0.00,-91.00
09:15 - 09:30,-108.00,-178.00,-1.00,18.18,0.00,0.00,-90.00
09:30 - 09:45,-96.00,-199.00,-1.00,18.56,0.00,0.00,-89.00
09:45 - 10:00,-39.00,-202.00,-1.00,17.31,0.00,0.00,-99.00
10:00 - 10:15,-190.00,-207.00,-0.50,21.16,0.00,0.00,-152.00
10:15 - 10:30,-69.00,-183.00,-0.50,21.16,0.00,0.00,-146.00
10:30 - 10:45,-19.00,-218.00,-0.50,19.81,0.00,0.00,-132.00
10:45 - 11:00,-25.00,-225.00,-0.50,19.04,0.00,0.00,-77.00
11:00 - 11:15,-47.00,-243.00,-0.50,18.08,0.00,0.00,-89.00
11:15 - 11:30,-31.00,-244.00,-0.50,17.89,0.00,0.00,-60.00
11:30 - 11:45,-17.00,-245.00,-0.50,17.60,0.00,0.00,-191.00
11:45 - 12:00,-20.00,-248.00,-0.50,17.02,0.00,0.00,-177.00
12:00 - 12:15,-67.00,-256.00,-0.50,16.64,0.00,0.00,-90.00
12:15 - 12:30,-60.00,-251.00,-0.50,15.97,0.00,0.00,-88.00
12:30 - 12:45,-68.00,-242.00,-0.50,14.91,0.00,0.00,-99.00
12:45 - 13:00,-82.00,-234.00,-0.50,14.62,0.00,0.00,-82.00
13:00 - 13:15,-102.00,-204.00,-0.50,13.85,0.00,0.00,-63.00
13:15 - 13:30,-179.00,-201.00,-0.50,12.60,0.00,0.00,-89.00
13:30 - 13:45,-130.00,-176.00,-0.50,12.21,-11.00,0.00,-75.00
13:45 - 14:00,-125.00,-166.00,-0.50,11.35,-14.00,0.00,-79.00
14:00 - 14:15,-46.00,-170.00,-0.50,10.58,-16.00,0.00,-39.00
14:15 - 14:30,-72.00,-166.00,-0.50,10.58,-18.00,0.00,-42.00
14:30 - 14:45,-102.00,-193.00,-0.50,10.58,-18.00,0.00,-79.00
14:45 - 15:00,-98.00,-205.00,-0.50,10.58,-18.00,0.00,-79.00
15:00 - 15:15,-197.00,-241.00,-0.50,10.58,-18.00,0.00,-62.00
15:15 - 15:30,-191.00,-238.00,-0.50,10.58,-21.00,0.00,-35.00
15:30 - 15:45,-178.00,-211.00,-0.50,10.20,-21.00,0.00,-39.00
15:45 - 16:00,-144.00,-214.00,-0.50,10.58,-22.00,0.00,-30.00
16:00 - 16:15,-151.00,-205.00,-0.50,10.58,-24.00,0.00,-7.00
16:15 - 16:30,-98.00,-202.00,-0.50,10.58,-24.00,0.00,1.92
16:30 - 16:45,-106.00,-217.00,-0.50,10.58,-25.00,0.00,-84.00
16:45 - 17:00,-99.00,-247.00,-0.50,11.54,-19.00,0.00,48.09
17:00 - 17:15,-114.00,-259.00,-0.50,7.69,0.00,0.00,70.22
17:15 - 17:30,-153.00,-274.00,-0.50,7.69,0.00,0.00,50.02
17:30 - 17:45,6.73,-241.00,-0.50,8.66,0.00,0.00,0.00
17:45 - 18:00,-4.00,-234.00,-0.50,9.62,0.00,0.00,-85.00
18:00 - 18:15,-58.00,-270.00,-0.50,11.54,0.00,0.00,-66.00
18:15 - 18:30,-46.00,-269.00,-0.50,12.50,0.00,1.73,-45.00
18:30 - 18:45,-16.00,-224.00,-0.50,12.51,0.00,2.69,0.00
18:45 - 19:00,-5.00,-226.00,-0.50,12.99,0.00,2.98,0.00
19:00 - 19:15,78.87,-243.00,-0.50,15.39,0.00,2.69,9.62
19:15 - 19:30,85.60,-239.00,-0.50,15.39,0.00,1.73,-25.00
19:30 - 19:45,62.51,-186.00,-0.50,14.43,0.00,0.00,-39.00
19:45 - 20:00,52.90,-187.00,-0.50,14.43,0.00,0.00,-45.00
20:00 - 20:15,30.77,-206.00,-0.50,19.24,0.00,0.00,-35.00
20:15 - 20:30,74.06,-208.00,-0.50,17.79,0.00,0.00,-150.00
20:30 - 20:45,50.01,-190.00,-0.50,17.12,0.00,0.00,-122.00
20:45 - 21:00,72.14,-192.00,-0.50,16.83,0.00,0.00,-83.00
21:00 - 21:15,97.14,-195.00,-0.50,16.35,0.00,0.00,-82.00
21:15 - 21:30,22.12,-230.00,-0.50,15.68,0.00,0.00,-88.00
21:30 - 21:45,0.00,-209.00,-0.50,14.43,0.00,0.00,-110.00
21:45 - 22:00,78.86,-207.00,-0.50,13.47,0.00,0.00,-118.00
22:00 - 22:15,61.56,-207.00,-0.50,12.50,0.00,0.00,-100.00
22:15 - 22:30,77.91,-210.00,-0.50,11.54,0.00,0.00,-100.00
22:30 - 22:45,68.29,-226.00,-0.50,9.62,0.00,0.00,-90.00
22:45 - 23:00,65.40,-229.00,-0.50,8.66,0.00,0.00,-95.00
23:00 - 23:15,51.94,-224.00,-0.50,7.69,0.00,0.00,-75.00
23:15 - 23:30,45.21,-226.00,-0.50,6.73,0.00,0.00,-95.00
23:30 - 23:45,31.74,-221.00,-0.50,6.73,0.00,0.00,-135.00
23:45 - 24:00,51.94,-230.00,-0.50,6.44,0.00,0.00,-145.00
