Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
21:00 - 21:15,-12.00,0.00,11.53,0.00,0.00,0.00
21:15 - 21:30,-8.00,0.00,10.56,0.00,0.00,9.61
21:30 - 21:45,0.00,0.00,9.61,0.00,0.00,17.29
21:45 - 22:00,49.95,0.00,8.17,0.00,0.00,9.61
22:00 - 22:15,0.00,-25.00,8.17,0.00,0.00,34.58
22:15 - 22:30,12.49,-25.00,6.24,0.00,0.00,8.65
22:30 - 22:45,0.00,-38.00,5.76,0.00,0.00,-8.00
22:45 - 23:00,-23.00,-36.00,4.32,0.00,0.00,-13.00
23:00 - 23:15,-89.00,-40.00,3.84,0.00,0.00,-23.00
23:15 - 23:30,-89.00,-52.00,1.44,0.00,0.00,-5.00
23:30 - 23:45,-147.00,-50.00,0.96,0.00,0.00,0.00
23:45 - 24:00,-195.00,-30.00,0.96,0.00,0.00,-9.00
