Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-166.00,-57.00,-1.50,10.60,0.00,-11.00
00:15 - 00:30,-192.00,-58.00,-1.50,10.60,0.00,-7.00
00:30 - 00:45,-183.00,-59.00,-1.50,10.60,0.00,-11.00
00:45 - 01:00,-179.00,-56.00,-1.50,10.60,0.00,-9.00
01:00 - 01:15,-181.00,-60.00,-1.50,10.60,0.00,-11.00
01:15 - 01:30,-151.00,-55.00,-1.50,10.60,-10.00,-10.00
01:30 - 01:45,-132.00,-52.00,-1.50,10.22,-10.00,8.67
01:45 - 02:00,-127.00,-52.00,-1.50,10.22,-10.00,-102.00
02:00 - 02:15,-77.00,-53.00,-1.50,10.22,-10.00,-161.00
02:15 - 02:30,-81.00,-79.00,-1.50,10.22,-10.00,-73.00
02:30 - 02:45,-18.00,-29.00,-1.50,9.64,-10.00,-73.00
02:45 - 03:00,-16.00,-25.00,-1.50,9.64,-10.00,-72.00
03:00 - 03:15,-18.00,-18.00,-1.50,9.64,-10.00,-71.00
03:15 - 03:30,-16.00,-12.00,-1.50,9.64,-10.00,-69.00
03:30 - 03:45,20.23,-7.00,-1.50,9.64,-10.00,-62.00
03:45 - 04:00,21.20,0.00,-1.50,9.64,-10.00,-61.00
04:00 - 04:15,25.05,-12.00,-1.50,9.64,-10.00,-57.00
04:15 - 04:30,22.16,-10.00,-1.50,9.83,-10.00,-58.00
04:30 - 04:45,18.31,-55.00,-1.50,10.60,-10.00,-58.00
04:45 - 05:00,-3.00,-73.00,-1.50,10.60,-10.00,-57.00
05:00 - 05:15,-22.00,-83.00,-1.50,11.56,-10.00,-57.00
05:15 - 05:30,-21.00,18.31,-1.50,12.53,-10.00,-33.00
05:30 - 05:45,-28.00,14.46,-1.50,13.49,-10.00,-169.00
05:45 - 06:00,-13.00,11.56,-1.50,14.46,-10.00,51.08
06:00 - 06:15,-83.00,6.75,-1.50,15.42,-10.00,53.00
06:15 - 06:30,-61.00,16.38,-1.50,16.38,-10.00,47.23
06:30 - 06:45,-118.00,20.23,-1.50,17.35,-10.00,-1.00
06:45 - 07:00,-128.00,14.46,-1.50,18.31,-10.00,0.96
07:00 - 07:15,-33.00,-14.00,-1.50,19.27,-10.00,-121.00
07:15 - 07:30,-30.00,18.31,-1.50,19.27,-10.00,-56.00
07:30 - 07:45,-36.00,26.02,-1.50,20.72,-10.00,12.53
07:45 - 08:00,-42.00,15.42,-1.50,21.01,-10.00,-101.00
08:00 - 08:15,49.15,25.06,-1.50,21.20,-10.00,-10.00
08:15 - 08:30,33.73,24.09,-1.50,21.20,-10.00,-14.00
08:30 - 08:45,64.57,34.69,-1.50,21.68,-10.00,-26.00
08:45 - 09:00,55.90,30.84,-1.50,21.68,-10.00,-25.00
09:00 - 09:15,34.70,8.67,-1.50,21.49,-10.00,-31.00
09:15 - 09:30,51.08,11.56,-1.50,21.20,-10.00,-31.00
09:30 - 09:45,-7.00,24.09,-1.50,20.72,-10.00,-38.00
09:45 - 10:00,-12.00,29.87,-1.50,20.24,-10.00,-42.00
10:00 - 10:15,-33.00,17.35,-1.00,20.23,-10.00,-56.00
10:15 - 10:30,-33.00,16.38,-1.00,20.24,-10.00,-57.00
10:30 - 10:45,-61.00,9.64,-1.00,19.27,-10.00,-63.00
10:45 - 11:00,-63.00,9.64,-1.00,19.27,-10.00,-56.00
11:00 - 11:15,-101.00,-8.00,-1.00,19.27,-10.00,-101.00
11:15 - 11:30,-105.00,-8.00,-1.00,19.27,-10.00,-100.00
11:30 - 11:45,-148.00,-30.00,-1.00,15.42,-10.00,-95.00
