Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,149.02,-20.00,12.50,-35.00,0.00,-156.00
00:15 - 00:30,85.57,-31.00,12.50,-27.00,0.00,9.61
00:30 - 00:45,69.22,-16.00,11.54,-27.00,0.00,0.00
00:45 - 01:00,34.61,-66.00,11.54,-28.00,0.00,48.07
01:00 - 01:15,66.33,-55.00,10.58,-27.00,0.00,19.23
01:15 - 01:30,71.14,-61.00,10.58,-28.00,0.00,14.42
01:30 - 01:45,42.30,-14.00,10.09,-28.00,0.00,10.58
01:45 - 02:00,120.18,-6.00,10.09,-28.00,0.00,10.58
02:00 - 02:15,117.29,0.00,9.13,-38.00,0.00,0.00
02:15 - 02:30,62.49,0.00,9.13,-38.00,0.00,0.00
02:30 - 02:45,29.81,-14.00,8.65,-38.00,0.00,-40.00
02:45 - 03:00,0.00,-30.00,8.65,-38.00,0.00,-45.00
03:00 - 03:15,114.41,-9.00,0.00,-36.00,0.00,-51.00
03:15 - 03:30,34.61,-10.00,0.00,-35.00,0.00,-43.00
03:30 - 03:45,73.07,-15.00,0.00,-36.00,0.00,-45.00
03:45 - 04:00,73.07,-14.00,0.00,-36.00,0.00,-45.00
04:00 - 04:15,59.61,0.00,0.00,-35.00,0.00,-45.00
04:15 - 04:30,97.10,0.00,0.00,-36.00,0.00,-45.00
04:30 - 04:45,49.03,-15.00,0.00,-36.00,0.00,-45.00
04:45 - 05:00,-54.00,-15.00,0.00,-37.00,0.00,-30.00
05:00 - 05:15,-120.00,-71.00,0.00,-37.00,0.00,-30.00
05:15 - 05:30,-63.00,-43.00,0.00,-37.00,0.00,-30.00
05:30 - 05:45,-43.00,-59.00,0.00,-36.00,0.00,-42.00
05:45 - 06:00,-62.00,-66.00,0.00,-36.00,0.00,-47.00
06:00 - 06:15,-14.00,-26.00,6.73,-37.00,0.00,-45.00
06:15 - 06:30,0.00,-24.00,6.73,-37.00,0.00,-50.00
06:30 - 06:45,-6.00,-24.00,6.73,-38.00,0.00,-50.00
06:45 - 07:00,12.50,-24.00,6.73,-38.00,0.00,-53.00
07:00 - 07:15,-59.00,-33.00,5.77,-34.00,0.00,-115.00
07:15 - 07:30,-81.00,-31.00,4.81,-34.00,0.00,-80.00
07:30 - 07:45,0.00,-35.00,5.77,-35.00,0.00,-40.00
07:45 - 08:00,18.26,-31.00,4.81,-35.00,0.00,-15.00
08:00 - 08:15,15.38,14.42,-5.00,-34.00,0.00,0.00
08:15 - 08:30,6.73,17.31,-8.00,-33.00,0.00,0.00
08:30 - 08:45,46.14,0.00,-4.00,-30.00,0.00,24.04
08:45 - 09:00,40.37,0.00,-4.00,-29.00,0.00,24.04
09:00 - 09:15,23.07,0.00,-4.00,-13.00,0.00,33.65
09:15 - 09:30,17.31,34.60,-5.00,-12.00,0.00,19.23
09:30 - 09:45,71.14,28.84,-5.00,-9.00,0.00,38.46
09:45 - 10:00,85.56,43.26,-6.00,-9.00,0.00,38.46
10:00 - 10:15,38.46,0.00,-5.00,-9.00,0.00,91.33
10:15 - 10:30,58.65,0.00,-5.00,-9.00,0.00,100.94
10:30 - 10:45,86.53,67.30,-9.00,-8.00,0.00,110.56
10:45 - 11:00,99.99,72.11,-10.00,-17.00,0.00,115.36
11:00 - 11:15,145.17,144.21,-11.00,-13.00,0.00,115.37
11:15 - 11:30,157.66,134.60,-13.00,-11.00,0.00,120.18
11:30 - 11:45,101.91,153.81,-19.00,-15.00,0.00,115.37
11:45 - 12:00,117.29,168.25,-19.00,-16.00,0.00,110.56
12:00 - 12:15,162.48,174.01,-22.00,-16.00,0.00,120.18
