Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-273.00,48.26,10.62,0.00,-195.00
00:15 - 00:30,-284.00,72.40,10.62,0.00,-180.00
00:30 - 00:45,-236.00,30.89,10.62,-10.00,-175.00
00:45 - 01:00,-172.00,14.48,9.65,-10.00,-175.00
01:00 - 01:15,10.62,19.31,9.65,-10.00,-55.00
01:15 - 01:30,81.09,0.00,9.65,-10.00,-95.00
01:30 - 01:45,119.70,7.72,8.69,-11.00,-150.00
01:45 - 02:00,193.05,21.24,8.69,-11.00,-130.00
02:00 - 02:15,239.39,109.08,8.69,-15.00,-130.00
02:15 - 02:30,137.08,73.36,7.72,-15.00,-130.00
02:30 - 02:45,132.25,27.03,7.72,-15.00,-70.00
02:45 - 03:00,102.33,20.27,7.72,-15.00,-95.00
03:00 - 03:15,138.04,86.88,7.72,-15.00,-120.00
03:15 - 03:30,109.08,82.05,7.72,-15.00,-125.00
03:30 - 03:45,152.52,98.46,7.72,-15.00,-130.00
03:45 - 04:00,139.97,96.53,7.72,-15.00,-130.00
04:00 - 04:15,140.94,129.35,7.72,-15.00,-43.00
04:15 - 04:30,170.86,136.11,7.72,-15.00,-13.00
04:30 - 04:45,149.61,144.80,7.72,-15.00,19.31
04:45 - 05:00,142.87,142.86,7.72,-15.00,12.55
05:00 - 05:15,55.02,115.83,6.76,-15.00,4.83
05:15 - 05:30,-26.00,127.41,6.76,-15.00,4.83
05:30 - 05:45,-55.00,96.53,6.76,-15.00,-10.00
05:45 - 06:00,-55.00,99.42,6.76,-15.00,-25.00
06:00 - 06:15,-53.00,122.60,15.44,-15.00,-20.00
06:15 - 06:30,-48.00,122.60,15.44,-15.00,-30.00
06:30 - 06:45,-21.00,130.32,15.44,-15.00,-90.00
06:45 - 07:00,-12.00,75.30,15.44,-15.00,-90.00
07:00 - 07:15,-14.00,79.16,14.96,-15.00,-50.00
07:15 - 07:30,-18.00,165.07,14.09,-15.00,-35.00
07:30 - 07:45,-39.00,167.97,13.51,-15.00,-10.00
07:45 - 08:00,18.34,170.86,12.74,-15.00,-30.00
08:00 - 08:15,77.22,236.50,11.78,-25.00,19.31
08:15 - 08:30,91.70,221.06,9.65,-25.00,19.31
08:30 - 08:45,124.52,175.68,12.55,-25.00,33.79
08:45 - 09:00,147.69,168.93,12.55,-25.00,43.44
09:00 - 09:15,196.91,99.43,12.55,-50.00,86.88
09:15 - 09:30,273.18,158.31,11.58,-50.00,115.84
09:30 - 09:45,223.95,153.48,11.58,-50.00,115.84
09:45 - 10:00,213.33,170.86,11.10,-50.00,106.18
10:00 - 10:15,262.56,183.41,11.20,-50.00,120.66
10:15 - 10:30,278.98,191.13,11.29,-30.00,120.66
10:30 - 10:45,364.89,205.61,7.72,0.00,108.11
10:45 - 11:00,374.53,212.37,6.76,0.00,108.11
11:00 - 11:15,275.11,359.08,5.12,-1.56,84.95
11:15 - 11:30,217.19,365.86,3.86,-2.98,93.63
11:30 - 11:45,292.49,388.05,4.25,-6.01,126.45
11:45 - 12:00,309.86,395.77,2.90,-4.38,120.66
12:00 - 12:15,272.21,338.83,1.83,0.00,103.29
12:15 - 12:30,281.87,297.31,1.54,0.00,103.29
12:30 - 12:45,405.43,321.44,1.35,-0.95,96.53
12:45 - 13:00,484.57,274.15,1.06,0.00,86.88
13:00 - 13:15,459.48,260.63,12.07,0.00,135.14
13:15 - 13:30,435.35,251.94,12.26,0.00,135.14
13:30 - 13:45,353.30,242.29,12.45,0.00,120.66
13:45 - 14:00,353.30,250.98,12.55,0.00,120.66
14:00 - 14:15,374.53,231.67,12.55,-2.00,130.32
14:15 - 14:30,370.67,218.16,12.55,-6.64,130.32
14:30 - 14:45,361.01,243.26,12.55,-6.10,48.27
14:45 - 15:00,364.88,238.43,12.55,-16.06,43.44
15:00 - 15:15,331.09,238.43,10.91,-9.64,4.83
15:15 - 15:30,358.12,233.60,10.91,-14.31,4.83
15:30 - 15:45,352.33,231.67,10.91,-26.30,0.00
15:45 - 16:00,341.71,227.81,10.91,-30.00,0.00
16:00 - 16:15,302.14,202.71,11.10,0.00,28.96
16:15 - 16:30,297.32,186.30,11.29,0.00,24.13
16:30 - 16:45,344.62,186.30,11.29,0.00,9.65
16:45 - 17:00,338.82,187.27,13.32,0.00,4.83
17:00 - 17:15,173.75,170.86,5.60,0.00,106.18
17:15 - 17:30,189.20,160.24,5.89,0.00,91.70
17:30 - 17:45,196.91,130.32,6.08,0.00,2.90
17:45 - 18:00,223.95,135.14,6.37,0.00,3.86
18:00 - 18:15,359.08,170.86,5.60,0.00,19.31
18:15 - 18:30,370.67,176.65,7.92,0.00,38.61
18:30 - 18:45,248.08,148.66,10.14,0.00,38.61
18:45 - 19:00,183.40,148.66,11.78,0.00,28.96
19:00 - 19:15,252.91,110.04,14.67,-30.00,4.83
19:15 - 19:30,234.57,120.66,14.96,-30.00,14.48
19:30 - 19:45,326.28,123.56,14.96,-30.00,62.74
19:45 - 20:00,346.55,116.80,14.96,-30.00,77.22
20:00 - 20:15,239.40,92.67,14.96,0.00,190.16
20:15 - 20:30,175.68,89.77,14.96,0.00,178.59
20:30 - 20:45,209.47,139.97,14.96,-30.00,100.39
20:45 - 21:00,241.33,166.03,14.96,-30.00,111.97
21:00 - 21:15,213.33,168.93,14.96,-30.00,89.77
21:15 - 21:30,217.20,167.96,14.96,-30.00,98.46
21:30 - 21:45,234.56,144.80,14.48,-30.00,28.96
21:45 - 22:00,268.35,131.28,14.19,-30.00,21.24
22:00 - 22:15,270.28,121.63,13.90,0.00,-16.00
22:15 - 22:30,284.77,111.01,13.51,0.00,-19.00
22:30 - 22:45,321.45,156.38,13.51,-30.00,-25.00
22:45 - 23:00,359.10,162.17,13.51,-30.00,-25.00
23:00 - 23:15,211.41,135.14,13.51,-1.26,-55.00
23:15 - 23:30,278.01,135.14,13.51,0.00,-50.00
23:30 - 23:45,295.38,188.23,12.55,0.00,-55.00
23:45 - 24:00,320.48,178.58,12.55,0.00,-65.00
