Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,41.25,-49.00,-1.50,9.59,0.00,0.00,-5.00
00:15 - 00:30,33.57,-49.00,-1.50,9.59,0.00,0.00,-5.00
00:30 - 00:45,79.62,-40.00,-1.50,9.59,0.00,0.00,-10.00
00:45 - 01:00,116.06,-86.00,-1.50,9.40,0.00,0.00,-10.00
01:00 - 01:15,94.00,-52.00,-1.50,9.11,0.00,0.00,-20.00
01:15 - 01:30,92.09,-58.00,-1.50,9.11,0.00,0.00,-20.00
01:30 - 01:45,35.49,-72.00,-1.50,9.11,-10.00,0.00,-15.00
01:45 - 02:00,26.86,-71.99,-1.50,9.11,-11.00,0.00,-15.00
02:00 - 02:15,-64.00,-72.00,-1.50,9.11,-11.00,0.00,-30.00
02:15 - 02:30,-33.00,-57.00,-1.50,9.11,-11.00,0.00,-30.00
02:30 - 02:45,-72.00,-76.00,-1.50,9.11,-10.00,0.00,-30.00
02:45 - 03:00,-37.00,-62.00,-1.50,9.11,-10.00,0.00,-30.00
03:00 - 03:15,-32.00,-59.00,-1.50,9.11,-11.00,0.00,-25.00
03:15 - 03:30,-29.00,-59.00,-1.50,9.11,-11.00,0.00,-25.00
03:30 - 03:45,-20.00,-64.00,-1.50,9.11,-11.00,0.00,-25.00
03:45 - 04:00,-11.00,-66.00,-1.50,9.11,-11.00,0.00,-25.00
04:00 - 04:15,-47.00,-60.00,-1.50,9.40,-11.00,0.00,-35.00
04:15 - 04:30,-69.00,-69.00,-1.50,9.59,-11.00,0.00,-20.00
04:30 - 04:45,-50.00,-55.00,-1.50,10.36,-11.00,0.00,-5.00
04:45 - 05:00,-44.00,-111.00,-1.50,11.03,-11.00,0.00,-60.00
05:00 - 05:15,-19.00,-199.00,-1.50,12.47,-11.00,0.00,-110.00
05:15 - 05:30,-38.00,-185.00,-1.50,13.24,-10.00,0.00,38.36
05:30 - 05:45,-32.00,-121.00,-1.50,14.00,-33.00,0.00,38.37
05:45 - 06:00,29.74,-112.00,-1.50,16.31,-31.00,0.00,19.18
06:00 - 06:15,-174.00,-90.00,-1.50,17.27,-9.00,0.00,-10.00
06:15 - 06:30,-199.00,-103.00,-1.50,18.22,0.00,0.00,-30.00
06:30 - 06:45,-207.00,-147.00,-1.50,19.18,0.00,0.00,-50.00
06:45 - 07:00,-145.00,-134.00,-1.50,20.14,0.00,0.29,-45.00
07:00 - 07:15,-170.00,-125.00,-1.50,20.14,0.00,0.96,-30.00
07:15 - 07:30,-174.00,-123.00,-1.50,21.10,0.00,0.77,-25.00
07:30 - 07:45,-159.00,-124.00,-1.50,21.58,0.00,0.67,-15.00
07:45 - 08:00,-71.00,-124.00,-1.50,22.06,0.00,0.10,-15.00
08:00 - 08:15,-37.00,-123.98,-1.50,21.10,0.00,0.00,28.78
08:15 - 08:30,43.17,-183.00,-1.50,20.14,0.00,0.00,-95.00
08:30 - 08:45,70.02,-164.00,-1.50,20.14,-6.00,0.00,-60.00
08:45 - 09:00,-33.00,-59.00,-1.50,19.18,-6.00,0.00,-35.00
09:00 - 09:15,-43.00,-124.00,-1.50,19.18,-10.00,0.00,-40.00
09:15 - 09:30,-61.00,-127.00,-1.50,19.18,-10.00,0.00,-35.00
09:30 - 09:45,34.54,-54.00,-1.50,19.18,-10.00,0.00,-35.00
09:45 - 10:00,40.29,-59.00,-1.50,19.18,-9.00,0.00,-25.00
10:00 - 10:15,34.54,-53.00,-1.00,19.18,-10.00,0.00,-30.00
10:15 - 10:30,10.55,-73.00,-1.00,19.19,-10.00,0.00,-30.00
10:30 - 10:45,-27.00,-80.00,-1.00,18.22,-10.00,0.00,-21.00
10:45 - 11:00,-46.00,-80.00,-1.00,18.22,-9.00,0.00,-23.00
11:00 - 11:15,21.11,-30.00,-1.00,18.22,-10.00,0.00,-40.00
11:15 - 11:30,19.18,-30.00,-1.00,17.27,-10.00,0.00,-90.00
11:30 - 11:45,30.69,-37.00,-1.00,17.27,-10.00,0.00,-87.00
11:45 - 12:00,9.59,-22.00,-1.00,16.79,-9.00,0.00,-60.00
12:00 - 12:15,2.88,-21.00,-1.00,16.30,-10.00,0.00,-64.00
12:15 - 12:30,-25.00,-25.00,-1.00,15.83,-10.00,0.00,-65.00
12:30 - 12:45,-42.00,-18.00,-1.00,15.35,-10.00,0.00,-70.00
12:45 - 13:00,-54.00,-15.00,-1.00,14.87,-10.00,0.00,-70.00
13:00 - 13:15,-81.00,-16.00,-1.00,13.91,-10.00,0.00,-50.00
13:15 - 13:30,-81.00,-18.00,-1.00,13.43,-10.00,0.00,-54.00
13:30 - 13:45,-72.00,-12.00,-1.00,13.43,-10.00,0.00,-39.00
13:45 - 14:00,-73.00,-10.00,-1.00,12.95,-10.00,0.00,-45.00
14:00 - 14:15,-74.00,-10.00,-1.00,12.47,-9.00,0.00,-53.00
14:15 - 14:30,-75.00,-9.00,-1.00,12.47,-10.00,0.00,-57.00
14:30 - 14:45,-127.00,-5.00,-1.00,12.47,-10.00,0.00,-111.00
14:45 - 15:00,-126.00,-3.00,-1.00,11.99,-10.00,0.00,-156.00
15:00 - 15:15,-101.00,-65.00,-1.00,11.51,-10.00,0.00,-95.00
15:15 - 15:30,-109.00,-68.00,-1.00,11.51,-10.00,0.00,-104.00
15:30 - 15:45,-103.00,-75.00,-1.00,11.51,-10.00,0.00,-134.00
15:45 - 16:00,-103.00,-65.00,-1.00,11.51,-10.00,0.00,-133.00
16:00 - 16:15,-136.00,-60.00,-1.00,11.51,-9.00,0.00,-135.00
16:15 - 16:30,-185.00,-55.00,-1.00,11.99,-10.00,0.00,-135.00
16:30 - 16:45,-181.00,-71.00,-1.00,12.47,0.00,0.00,-100.00
16:45 - 17:00,-156.00,-112.00,-1.00,13.43,0.00,0.00,-76.00
17:00 - 17:15,-174.00,-132.00,-1.00,14.39,0.00,0.00,-81.00
17:15 - 17:30,-146.00,-129.00,-1.00,15.35,0.00,0.00,-157.00
17:30 - 17:45,-115.00,-139.00,-1.00,15.35,0.00,0.00,-141.00
17:45 - 18:00,-117.00,-125.00,-1.00,15.83,0.00,0.00,-50.00
18:00 - 18:15,-130.00,-41.00,-1.00,16.31,0.00,0.00,41.24
18:15 - 18:30,-121.00,-136.00,-1.00,16.31,0.00,0.00,-19.00
18:30 - 18:45,-82.00,-123.00,-1.00,12.63,0.00,1.29,-25.00
18:45 - 19:00,-94.00,-102.00,-1.00,8.97,0.00,1.04,-29.00
19:00 - 19:15,-55.00,-89.00,-1.00,4.83,0.00,0.99,-38.00
19:15 - 19:30,-42.00,-67.00,-1.00,4.80,0.00,1.11,-26.00
19:30 - 19:45,-49.00,-74.00,-1.00,7.49,0.00,2.79,-39.00
19:45 - 20:00,-46.00,-85.00,-1.00,10.58,0.00,3.88,-41.00
20:00 - 20:15,5.76,-71.00,-1.00,17.26,0.00,1.92,-35.00
20:15 - 20:30,22.06,-78.00,-1.00,17.27,0.00,0.67,-23.00
20:30 - 20:45,13.43,-83.00,-1.00,17.26,0.00,0.00,-21.00
20:45 - 21:00,17.26,-97.00,-1.00,16.31,0.00,0.00,-2.00
21:00 - 21:15,-24.00,-113.00,-1.00,16.30,-26.00,0.10,14.39
21:15 - 21:30,-52.00,-121.00,-1.00,15.73,-26.00,0.00,15.35
21:30 - 21:45,9.59,-131.00,-1.00,15.26,-30.00,0.00,9.59
21:45 - 22:00,0.00,-129.00,-1.00,15.06,-32.00,0.00,10.55
22:00 - 22:15,-13.00,31.65,-1.00,14.20,-5.00,0.00,12.47
22:15 - 22:30,7.67,32.61,-1.00,13.43,-7.00,0.00,17.27
22:30 - 22:45,59.47,41.25,-1.00,12.66,-9.00,0.00,24.94
22:45 - 23:00,59.47,37.41,-1.00,12.28,-10.00,0.00,76.73
23:00 - 23:15,9.59,0.00,-1.00,11.99,-10.00,0.00,-66.00
23:15 - 23:30,11.51,0.00,-1.00,11.32,-7.00,0.00,-5.00
23:30 - 23:45,25.90,0.00,-1.00,11.03,-7.00,0.00,26.86
23:45 - 24:00,35.49,0.00,-1.00,10.65,-9.00,0.00,26.86
