Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-40.00,24.16,3.87,-40.00,0.00,0.00,-20.00
00:15 - 00:30,-30.00,19.32,3.87,-39.99,0.00,0.00,0.00
00:30 - 00:45,-68.00,28.99,3.87,-40.00,0.00,0.00,-15.00
00:45 - 01:00,-123.00,19.32,3.87,-40.00,0.00,0.00,-20.00
01:00 - 01:15,-190.00,38.65,3.87,-40.00,0.00,0.00,14.50
01:15 - 01:30,-248.00,38.65,2.90,-40.00,0.00,0.00,14.50
01:30 - 01:45,-295.00,78.28,2.90,-40.00,0.00,0.00,-25.00
01:45 - 02:00,-289.00,94.71,2.90,-40.00,0.00,0.00,4.83
02:00 - 02:15,-238.00,93.74,2.90,-50.00,0.00,0.00,4.83
02:15 - 02:30,-221.00,100.50,2.90,-50.00,0.00,0.00,0.00
02:30 - 02:45,-191.00,91.81,2.90,-40.00,0.00,0.00,4.83
02:45 - 03:00,-136.00,93.74,2.90,-40.00,0.00,0.00,-5.00
03:00 - 03:15,0.00,86.01,1.93,-40.00,0.00,0.00,-25.00
03:15 - 03:30,-15.00,84.08,1.93,-40.00,0.00,0.00,-20.00
03:30 - 03:45,43.49,90.84,1.93,-40.00,0.00,0.00,-15.00
03:45 - 04:00,50.25,94.71,1.93,-40.00,0.00,0.00,-5.00
04:00 - 04:15,52.19,122.73,0.97,-40.00,0.00,0.00,57.98
04:15 - 04:30,55.08,125.64,0.97,-40.00,0.00,0.00,4.83
04:30 - 04:45,101.47,140.11,0.97,-40.00,0.00,0.00,14.50
04:45 - 05:00,64.75,140.13,0.97,-40.00,0.00,0.00,53.15
05:00 - 05:15,45.42,67.65,0.97,-40.00,0.00,0.00,33.82
05:15 - 05:30,-27.00,55.08,0.00,-40.00,0.87,0.00,14.50
05:30 - 05:45,-79.00,57.99,0.00,-40.00,1.16,0.00,33.82
