Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,145.54,56.86,1.06,-1.50,8.48,-10.00,0.29,86.74
00:15 - 00:30,138.78,53.01,1.06,-1.50,8.29,-10.00,0.29,19.28
00:30 - 00:45,66.50,45.30,1.06,-1.50,8.10,-10.00,0.29,43.37
00:45 - 01:00,100.23,39.52,1.06,-1.50,7.90,-10.00,0.29,19.28
01:00 - 01:15,73.25,35.66,1.06,-1.50,7.71,-10.00,0.29,0.00
01:15 - 01:30,69.40,36.62,1.06,-1.50,7.61,-10.00,0.29,0.00
01:30 - 01:45,86.74,64.57,1.06,-1.50,7.52,-10.00,0.29,0.00
01:45 - 02:00,60.72,55.90,1.06,-1.50,7.42,-10.00,0.29,0.00
02:00 - 02:15,-26.00,0.00,1.06,-1.50,7.32,-10.00,0.29,-20.00
02:15 - 02:30,-34.00,0.00,1.06,-1.50,7.13,-10.00,0.29,-20.00
02:30 - 02:45,0.00,-48.00,1.06,-1.50,6.75,-10.00,0.29,0.00
02:45 - 03:00,0.00,-43.00,1.06,-1.50,6.75,-10.00,0.29,0.00
03:00 - 03:15,17.35,0.00,1.06,-1.50,6.94,-10.00,0.29,19.27
03:15 - 03:30,16.38,0.00,1.06,-1.50,7.04,-10.00,0.29,0.00
03:30 - 03:45,25.06,0.00,1.06,-1.50,7.13,-10.00,0.29,0.00
03:45 - 04:00,24.09,0.00,1.06,-1.50,7.23,-10.00,0.29,0.00
04:00 - 04:15,30.85,0.00,1.06,-1.50,7.32,-10.00,0.29,0.00
04:15 - 04:30,30.84,0.00,1.06,-1.50,7.42,-10.00,0.29,-10.00
04:30 - 04:45,36.62,0.00,1.06,-1.50,7.52,-10.00,0.29,-10.00
04:45 - 05:00,36.62,0.00,1.06,-1.50,8.00,-10.00,0.29,-15.00
05:00 - 05:15,52.05,0.00,1.06,-1.50,8.96,-10.00,0.29,-10.00
05:15 - 05:30,52.04,0.00,1.06,-1.50,9.93,-10.00,0.29,0.00
05:30 - 05:45,62.65,0.00,1.06,-1.50,11.85,-10.00,0.29,0.00
05:45 - 06:00,62.65,0.00,1.06,-1.50,13.20,-10.00,0.29,0.00
06:00 - 06:15,53.01,0.00,1.06,-1.50,13.78,-10.00,0.29,-20.00
06:15 - 06:30,65.54,0.00,1.06,-1.50,15.42,-10.00,0.29,-15.00
06:30 - 06:45,59.76,0.00,1.06,-1.50,15.90,-10.00,0.29,-10.00
06:45 - 07:00,48.19,0.00,1.06,-1.50,15.90,-10.00,0.29,-15.00
07:00 - 07:15,71.32,0.00,1.06,-1.50,15.52,-10.00,0.29,0.00
07:15 - 07:30,69.39,0.00,1.06,-1.50,15.13,-10.00,0.29,0.00
07:30 - 07:45,75.18,0.00,1.06,-1.50,14.84,-10.00,0.29,-15.00
07:45 - 08:00,75.17,0.00,1.06,-1.50,14.75,-10.00,0.29,-5.00
08:00 - 08:15,68.43,0.00,1.06,-1.50,14.36,-10.00,0.29,0.00
