Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,54.82,-30.00,0.00,12.99,0.00,10.58
00:15 - 00:30,25.01,-63.00,0.00,12.79,0.00,-48.00
00:30 - 00:45,16.36,-75.00,0.00,12.79,0.00,-52.00
00:45 - 01:00,-13.00,-30.00,0.00,12.79,0.00,-48.00
01:00 - 01:15,-28.00,0.00,0.00,12.50,0.00,-51.00
01:15 - 01:30,-49.00,0.00,0.00,12.22,0.00,-37.00
01:30 - 01:45,-103.00,24.05,0.00,12.02,0.00,-47.00
01:45 - 02:00,-117.00,-20.00,0.00,11.83,0.00,-47.00
02:00 - 02:15,-63.00,-10.00,-1.50,11.74,0.00,-60.00
02:15 - 02:30,0.00,0.00,-1.50,11.74,0.00,-60.00
02:30 - 02:45,15.39,0.00,-1.50,11.74,0.00,-66.00
02:45 - 03:00,0.00,0.00,-1.50,11.64,0.00,-66.00
03:00 - 03:15,20.20,0.00,-1.50,11.54,0.00,-64.00
03:15 - 03:30,13.47,0.00,-1.50,11.54,0.00,-65.00
03:30 - 03:45,0.00,11.54,-1.50,11.55,0.00,-56.00
03:45 - 04:00,0.00,11.54,-1.50,11.55,0.00,-57.00
04:00 - 04:15,21.16,-40.00,-1.50,11.54,0.00,-47.00
04:15 - 04:30,32.70,0.00,-1.50,11.74,0.00,-45.00
04:30 - 04:45,41.36,9.62,-1.50,12.02,0.00,-55.00
04:45 - 05:00,28.86,14.43,-1.50,12.50,0.00,-56.00
05:00 - 05:15,29.81,19.24,-1.50,12.99,0.00,-52.00
05:15 - 05:30,37.51,24.05,-1.50,14.43,0.00,-46.00
05:30 - 05:45,15.39,-50.00,-1.50,14.43,0.00,-49.00
05:45 - 06:00,47.13,22.12,-1.50,15.39,0.00,199.12
06:00 - 06:15,-34.00,21.16,-1.50,15.78,0.00,139.47
06:15 - 06:30,-22.00,6.73,-1.50,16.35,0.00,101.01
06:30 - 06:45,-73.00,10.58,-1.50,17.31,0.00,48.10
06:45 - 07:00,-76.00,12.50,-1.50,18.85,0.00,48.10
07:00 - 07:15,-47.00,34.63,-1.50,19.72,0.00,-55.00
07:15 - 07:30,-44.00,-30.00,-1.50,19.43,0.00,-107.00
07:30 - 07:45,49.06,79.83,-1.50,19.24,0.00,-79.00
07:45 - 08:00,55.79,77.91,-1.50,18.95,0.00,-63.00
08:00 - 08:15,45.21,77.91,-1.50,18.28,0.00,-42.00
08:15 - 08:30,55.79,82.73,-1.50,18.08,0.00,-32.00
08:30 - 08:45,94.26,79.84,-1.50,17.99,0.00,-31.00
08:45 - 09:00,74.07,82.72,-1.50,17.89,0.00,-30.00
09:00 - 09:15,27.90,39.43,-1.50,17.89,0.00,-47.00
