Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,38.56,148.45,0.77,-1.50,8.68,0.29,-70.00
00:15 - 00:30,41.45,143.64,0.77,-1.50,8.48,0.29,-15.00
00:30 - 00:45,63.62,148.46,0.77,-1.50,8.39,0.29,38.56
00:45 - 01:00,73.26,145.57,0.77,-1.50,8.29,0.29,38.56
01:00 - 01:15,105.08,165.80,0.77,-1.50,8.29,0.29,14.46
01:15 - 01:30,96.40,164.85,0.77,-1.50,8.19,0.29,0.00
01:30 - 01:45,107.97,187.98,0.77,-1.50,7.23,0.29,9.64
01:45 - 02:00,97.36,186.06,0.77,-1.50,7.23,0.29,19.28
02:00 - 02:15,59.77,85.80,0.77,-1.50,7.13,0.29,28.92
02:15 - 02:30,58.80,75.19,0.77,-1.50,7.04,0.29,19.28
02:30 - 02:45,10.60,68.45,0.77,-1.50,6.84,0.29,9.64
02:45 - 03:00,0.00,59.77,0.77,-1.50,6.75,0.29,0.00
03:00 - 03:15,51.09,61.70,0.77,-1.50,6.75,0.29,0.00
03:15 - 03:30,62.65,56.88,0.77,-1.50,6.75,0.29,0.00
03:30 - 03:45,61.70,51.09,0.77,-1.50,6.75,0.29,14.46
03:45 - 04:00,61.69,45.31,0.77,-1.50,6.75,0.29,19.28
04:00 - 04:15,53.02,36.63,0.77,-1.50,6.75,0.29,19.28
04:15 - 04:30,51.09,30.85,0.77,-1.50,6.84,0.29,19.28
04:30 - 04:45,86.76,26.99,0.77,-1.50,7.04,0.29,38.56
04:45 - 05:00,87.73,25.06,0.77,-1.50,7.23,0.29,38.56
05:00 - 05:15,132.07,24.10,0.77,-1.50,7.42,0.29,38.56
05:15 - 05:30,121.46,26.03,0.77,-1.50,8.10,0.29,38.56
05:30 - 05:45,94.47,43.38,0.77,-1.50,8.68,0.29,19.28
05:45 - 06:00,84.83,38.56,0.77,-1.50,8.87,0.29,19.28
06:00 - 06:15,72.30,19.28,0.77,-1.50,8.97,0.29,9.64
06:15 - 06:30,63.62,23.14,0.77,-1.50,9.16,0.29,9.64
06:30 - 06:45,0.00,9.64,0.77,-1.50,9.25,0.29,19.28
06:45 - 07:00,0.00,14.46,0.77,-1.50,8.87,0.29,19.28
07:00 - 07:15,0.00,0.00,0.77,-1.50,8.68,0.29,0.00
07:15 - 07:30,0.00,0.00,0.77,-1.50,8.39,0.29,0.00
07:30 - 07:45,-15.00,0.00,0.77,-1.50,8.39,0.29,0.00
07:45 - 08:00,-11.00,0.00,0.77,-1.50,8.39,0.29,0.00
08:00 - 08:15,15.43,0.00,0.77,-1.50,8.00,0.29,-30.00
08:15 - 08:30,11.57,0.00,0.77,-1.50,7.90,0.29,-30.00
08:30 - 08:45,30.85,-15.00,0.77,-1.50,7.71,0.29,0.00
08:45 - 09:00,33.74,-35.00,0.77,0.00,7.04,0.29,28.92
09:00 - 09:15,32.78,0.00,0.77,-6.00,6.84,0.29,9.64
09:15 - 09:30,48.20,0.00,0.77,-6.00,6.75,0.29,9.64
09:30 - 09:45,45.31,0.00,0.77,-6.00,6.46,0.29,53.02
09:45 - 10:00,26.99,0.00,0.77,-6.00,6.27,0.29,57.84
10:00 - 10:15,24.10,0.00,0.77,-6.00,8.48,0.29,67.48
10:15 - 10:30,24.10,0.00,0.77,-6.00,9.16,0.29,67.48
10:30 - 10:45,45.31,7.71,0.77,0.00,8.19,0.29,67.48
10:45 - 11:00,59.77,7.71,0.77,0.00,7.71,0.29,28.92
11:00 - 11:15,45.31,24.10,0.77,0.00,7.71,0.29,28.92
11:15 - 11:30,46.28,33.74,0.77,0.00,7.90,0.29,28.92
11:30 - 11:45,55.92,4.82,0.77,0.00,6.84,0.29,28.92
11:45 - 12:00,52.06,4.82,0.77,0.00,7.23,0.29,28.92
12:00 - 12:15,68.45,0.00,0.77,-6.00,6.84,0.29,50.13
12:15 - 12:30,67.48,0.00,0.77,-6.00,7.23,0.29,50.13
12:30 - 12:45,96.40,30.85,0.77,-6.00,7.42,0.29,35.67
12:45 - 13:00,92.55,24.10,0.77,-6.00,7.71,0.29,34.70
13:00 - 13:15,86.76,28.92,0.77,-6.00,6.75,0.29,110.86
13:15 - 13:30,86.76,22.17,0.77,-6.00,7.71,0.29,96.40
13:30 - 13:45,97.35,32.78,0.77,-6.00,6.27,0.29,76.16
13:45 - 14:00,97.36,44.34,0.77,-6.00,8.97,0.29,76.16
14:00 - 14:15,103.15,42.42,0.77,-6.00,0.00,0.29,80.01
14:15 - 14:30,105.07,47.24,0.77,-6.00,0.00,0.29,79.05
14:30 - 14:45,142.68,0.00,0.77,-6.00,0.00,0.29,82.90
14:45 - 15:00,153.27,14.46,0.77,-6.00,0.00,0.29,50.13
15:00 - 15:15,147.49,30.85,0.77,-6.00,2.99,0.29,133.03
15:15 - 15:30,135.92,42.42,0.77,-6.00,2.22,0.29,138.81
15:30 - 15:45,139.79,55.91,0.77,-0.50,3.08,0.29,126.28
15:45 - 16:00,139.78,65.55,0.77,-0.50,5.98,0.29,128.21
16:00 - 16:15,140.75,94.47,0.77,-0.50,6.84,0.29,116.64
16:15 - 16:30,128.21,100.26,0.77,-0.50,7.42,0.29,128.21
16:30 - 16:45,137.85,94.47,0.77,-0.50,7.33,0.29,9.64
16:45 - 17:00,134.96,99.29,0.77,-0.50,8.68,0.29,59.77
17:00 - 17:15,129.17,88.69,0.77,-0.50,9.64,0.29,-112.00
17:15 - 17:30,130.14,71.34,0.77,-0.50,10.12,0.29,57.84
17:30 - 17:45,137.86,97.36,0.29,-0.50,10.41,0.29,-35.00
17:45 - 18:00,118.57,91.58,0.29,-0.50,11.28,0.29,-48.00
18:00 - 18:15,70.37,88.69,0.29,-0.50,11.76,0.29,-53.00
18:15 - 18:30,61.70,79.04,0.29,-0.50,12.34,0.29,-53.00
18:30 - 18:45,41.45,107.97,0.29,-0.50,12.72,0.29,-88.00
18:45 - 19:00,27.96,94.46,0.29,-0.50,12.92,0.29,-127.00
19:00 - 19:15,86.76,91.58,0.29,-0.50,13.11,0.29,-143.00
19:15 - 19:30,139.79,107.00,0.29,-0.50,13.30,0.29,-133.00
19:30 - 19:45,129.18,38.56,0.29,-0.50,13.01,0.29,-91.00
19:45 - 20:00,152.31,43.38,0.29,-0.50,12.53,0.29,24.10
20:00 - 20:15,170.63,4.82,0.77,-0.50,12.53,0.29,-111.00
20:15 - 20:30,146.53,-15.00,0.77,-0.50,12.44,0.29,63.62
20:30 - 20:45,116.64,9.64,0.77,-0.50,12.05,0.29,96.40
20:45 - 21:00,120.50,6.75,0.77,-0.50,11.95,0.29,100.26
21:00 - 21:15,114.72,9.64,0.77,-0.50,11.76,0.29,82.90
21:15 - 21:30,134.00,4.82,0.77,-0.50,11.47,0.29,91.58
21:30 - 21:45,106.03,0.00,0.77,-0.50,11.09,0.29,103.15
21:45 - 22:00,123.39,0.00,0.77,-0.50,10.89,0.29,109.90
22:00 - 22:15,43.38,0.00,0.77,-1.50,10.60,0.29,-10.00
22:15 - 22:30,44.34,0.00,0.77,-1.50,10.51,0.29,-10.00
22:30 - 22:45,145.57,14.46,0.77,-1.50,10.12,0.29,57.84
22:45 - 23:00,145.57,20.24,0.77,-1.50,9.93,0.29,81.94
23:00 - 23:15,117.61,67.48,0.77,-1.50,10.60,0.29,86.76
23:15 - 23:30,119.54,72.30,0.77,-1.50,10.12,0.29,125.32
23:30 - 23:45,135.92,86.76,0.77,-1.50,9.64,0.29,91.58
23:45 - 24:00,137.86,86.76,0.77,-1.50,9.54,0.29,91.58
