timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII
31,58EnNDPL2024/01/28,NDPL,0.0000,0.0000,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,52.0560,0.0000,0.0000,12.5320,0.0000,27.6734,385.6692,28.7042,0.0000,69.6064,0.0000,0.0000,114.9100,0.0000,270.3400,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3049,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,0.9664,21.8564,1.3438,0.0000,13.6294,11.9560,2.4544,0.0000,6.3906,0.0000,0.0000,0.0000,16.7421,0.0000,4.6726,0.0000,0.0000,1.0155,2.5587,8.6211,12.1217,0.0000,8.4094,10.1121,0.0000,0.0000,0.0798,4.0007,0.0000,0.0000,0.0000,168.5780,0.0000,0.8800,0.6500,0.0000,0.0000,10.2300,1.3000,0.9500,8.3756,0.0000,20.3439,0.0000,0.0000,7.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,3.0000,1.2900
32,58EnNDPL2024/01/28,NDPL,0.0000,0.0000,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,52.0560,0.0000,0.0000,12.5320,0.0000,27.6734,385.6692,28.7042,0.0000,69.6064,0.0000,0.0000,114.9100,0.0000,270.3400,0.4267,0.0000,0.0000,0.0000,0.0000,0.0000,9.3049,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,0.9664,21.8564,1.3438,0.0000,13.6294,11.9560,2.4544,0.0000,6.3906,0.0000,0.0000,0.0000,16.7421,0.0000,4.6726,0.0000,0.0000,0.4755,1.4450,4.3105,12.1217,0.0000,8.4094,10.1121,0.0000,0.0000,0.0798,4.0007,0.0000,0.0000,0.0000,168.5780,0.0000,0.8800,0.6500,0.0000,0.0000,16.0300,1.3000,0.9500,8.3756,0.0000,20.3439,0.0000,0.0000,7.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,5.0000,1.2900
33,58EnNDPL2024/01/28,NDPL,0.0000,0.0000,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,52.0560,0.0000,0.0000,12.5320,0.0000,27.6734,385.6692,28.7042,0.0000,69.6064,0.0000,0.0000,114.9100,0.0000,270.3400,2.8933,0.0000,0.0000,0.0000,0.0000,0.0000,9.3049,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,0.9664,21.8564,1.3438,0.0000,13.6294,11.9560,2.4544,0.0000,10.4189,0.0000,0.0000,0.0000,16.7421,0.0000,4.6726,0.0000,0.0000,0.4755,1.4450,4.3105,8.2621,0.0000,5.6052,10.1121,0.0000,0.0000,0.0798,4.0007,0.0000,0.0000,0.0000,168.5780,0.0000,0.8800,0.6500,0.0000,0.0000,22.5700,1.3000,0.9500,8.3756,0.0000,20.3439,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,8.0000,1.3700
34,58EnNDPL2024/01/28,NDPL,0.0000,0.0000,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,52.0560,0.0000,0.0000,12.5320,0.0000,27.6734,385.6692,21.5005,0.0000,69.6064,0.0000,0.0000,114.9100,0.0000,270.3400,2.8933,0.0000,0.0000,0.0000,0.0000,0.0000,9.3049,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,0.9664,21.8564,1.3438,0.0000,13.6294,5.4457,1.6199,0.0000,10.4189,0.0000,0.0000,0.0000,16.7421,0.0000,4.6726,0.0000,0.0000,0.4755,1.4450,2.6661,1.0216,0.0000,4.8628,5.0561,0.0000,0.0000,0.0798,0.0000,0.0000,0.0000,0.0000,168.5780,0.0000,0.8800,0.6500,0.0000,0.0000,30.8300,1.3000,0.9500,8.3756,0.0000,20.3439,0.0000,0.0000,6.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,10.0000,1.3700
35,58EnNDPL2024/01/28,NDPL,0.0000,0.0000,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,52.0560,0.0000,0.0000,12.5320,0.0000,27.6734,385.6692,21.5005,0.0000,69.6064,0.0000,0.0000,114.9100,0.0000,270.3400,2.8933,0.0000,0.0000,0.0000,0.0000,0.0000,9.3049,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,0.9664,21.8564,1.3438,0.0000,9.0852,2.7827,0.0000,0.0000,10.4189,0.0000,0.0000,0.0000,16.7421,0.0000,4.6726,0.0000,0.0000,0.4755,1.4450,0.0000,0.0000,0.0000,2.6354,0.0000,0.0000,0.0000,0.0798,0.0000,0.0000,0.0000,0.0000,168.5780,0.0000,0.8800,0.6500,0.0000,0.0000,40.7900,1.3000,0.9500,8.3756,0.0000,20.3439,0.0000,0.0000,6.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,19.0000,1.3700
36,58EnNDPL2024/01/28,NDPL,0.0000,0.0000,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,52.0560,0.0000,0.0000,12.5320,0.0000,27.6734,385.6692,13.3642,0.0000,69.6064,0.0000,0.0000,114.9100,0.0000,270.3400,2.8933,0.0000,0.0000,0.0000,0.0000,0.0000,9.3049,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,0.9664,21.8564,1.3438,0.0000,9.0852,2.7827,0.0000,0.0000,10.4189,0.0000,0.0000,0.0000,16.7421,0.0000,4.6726,0.0000,0.0000,0.4755,1.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0798,0.0000,0.0000,0.0000,0.0000,168.5780,0.0000,0.8800,0.6500,0.0000,0.0000,51.9300,1.3000,0.9500,8.3756,0.0000,20.3439,0.0000,0.0000,6.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,29.0000,1.3700
37,58EnNDPL2024/01/28,NDPL,0.0000,0.0000,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,52.0560,0.0000,0.0000,12.5320,0.0000,27.6734,385.6692,13.3642,0.0000,69.6064,0.0000,0.0000,114.9100,0.0000,270.3400,3.0333,0.0000,0.0000,0.0000,0.0000,0.0000,9.3049,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,0.9664,21.8564,1.3438,0.0000,9.0852,2.7827,0.0000,0.0000,10.4189,0.0000,0.0000,0.0000,16.7421,0.0000,4.6726,0.0000,0.0000,8.1302,1.4021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0798,0.0000,0.0000,0.0000,0.0000,168.5780,0.0000,0.8800,0.6500,0.0000,0.0000,63.6300,1.3000,0.9500,8.3756,0.0000,20.3439,0.0000,0.0000,6.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,20.0000,1.2900
38,58EnNDPL2024/01/28,NDPL,0.0000,0.0000,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,52.0560,0.0000,0.0000,12.5320,0.0000,27.6734,385.6692,11.6216,0.0000,69.6064,0.0000,0.0000,114.9100,0.0000,270.3400,3.9033,0.0000,0.0000,0.0000,0.0000,0.0000,9.3049,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,0.9664,21.8564,1.3438,0.0000,9.0852,2.7827,0.0000,0.0000,10.4189,0.0000,0.0000,0.0000,16.7421,0.0000,4.6726,0.0000,0.0000,8.1302,1.4021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0798,0.0000,0.0000,0.0000,0.0000,168.5780,0.0000,0.8800,0.6500,0.0000,0.0000,75.6400,1.3000,0.9500,8.3756,0.0000,20.3439,0.0000,0.0000,6.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,27.0000,1.2900
39,58EnNDPL2024/01/28,NDPL,0.0000,0.0000,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,52.0560,0.0000,0.0000,12.5320,0.0000,27.6734,385.6692,6.0440,0.0000,69.6064,0.0000,0.0000,114.9100,0.0000,270.3400,4.7900,0.0000,0.0000,0.0000,0.0000,0.0000,9.3049,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,0.9664,21.8564,1.3438,0.0000,9.0852,2.7827,0.0000,0.0000,10.4189,0.0000,0.0000,0.0000,16.7421,0.0000,4.6726,0.0000,0.0000,1.0155,1.4021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0798,0.0000,0.0000,0.0000,0.0000,168.5780,0.0000,0.8800,0.6500,0.0000,0.0000,87.1500,1.3000,0.9500,8.3756,0.0000,20.3439,0.0000,0.0000,6.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,31.0000,1.2900
40,58EnNDPL2024/01/28,NDPL,0.0000,0.0000,0.0000,0.0000,17.8020,0.0000,0.0000,0.0000,77.6893,0.0000,0.0000,52.0560,0.0000,0.0000,12.5320,0.0000,27.6734,385.6692,0.0000,0.0000,69.6064,0.0000,0.0000,114.9100,0.0000,270.3400,5.4699,0.0000,0.0000,0.0000,0.0000,0.0000,9.3049,0.0000,0.0000,6.3600,28.2256,36.2423,0.0000,25.6957,42.7403,6.6944,13.0053,8.0965,10.6766,45.2591,0.0000,0.9664,21.8564,1.3438,0.0000,9.0852,2.7827,0.0000,0.0000,10.4189,0.0000,0.0000,0.0000,16.7421,0.0000,4.6726,0.0000,0.0000,0.4755,1.4021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0798,0.0000,0.0000,0.0000,0.0000,168.5780,0.0000,0.8800,0.6500,0.0000,0.0000,97.6200,1.3000,0.9500,8.3756,0.0000,20.3439,0.0000,0.0000,6.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0712,0.0000,0.0000,0.0000,0.0000,39.0000,1.2900
