Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,71.79,0.00,0.68,-1.50,9.70,0.29,-60.00
00:15 - 00:30,58.21,0.00,0.68,-1.50,9.70,0.29,19.40
00:30 - 00:45,51.42,-15.00,0.68,-1.50,9.70,0.29,29.10
00:45 - 01:00,47.54,-15.00,0.68,-1.50,9.70,0.29,29.10
01:00 - 01:15,48.51,0.00,0.68,-1.50,9.70,0.29,58.20
01:15 - 01:30,46.56,0.00,0.68,-1.50,8.73,0.29,58.21
01:30 - 01:45,112.54,14.55,0.68,-1.50,8.73,0.29,106.71
01:45 - 02:00,136.79,20.37,0.68,-1.50,8.73,0.29,106.71
02:00 - 02:15,130.00,0.00,0.68,-1.50,8.73,0.29,121.26
02:15 - 02:30,112.53,0.00,0.68,-1.50,8.73,0.29,121.27
02:30 - 02:45,133.88,14.55,0.68,-1.50,8.73,0.29,121.26
02:45 - 03:00,91.19,0.00,0.68,-1.50,8.73,0.29,121.26
03:00 - 03:15,106.71,0.00,0.68,-1.50,7.76,0.29,121.26
03:15 - 03:30,102.83,0.00,0.68,-1.50,7.76,0.29,121.26
03:30 - 03:45,97.01,0.00,0.68,-1.50,7.76,0.29,121.26
03:45 - 04:00,56.27,0.00,0.68,-1.50,7.76,0.29,97.01
04:00 - 04:15,88.28,0.00,0.68,-1.50,7.76,0.29,150.37
04:15 - 04:30,42.68,0.00,0.68,-1.50,7.76,0.29,135.82
04:30 - 04:45,52.39,0.00,0.68,-1.50,7.76,0.29,87.31
04:45 - 05:00,51.42,0.00,0.68,-1.50,7.76,0.29,77.60
05:00 - 05:15,56.27,0.00,0.68,-1.50,8.73,0.29,67.90
05:15 - 05:30,90.22,0.00,0.68,-1.50,8.73,0.29,53.36
05:30 - 05:45,79.55,0.00,0.68,-1.50,9.70,0.29,24.25
05:45 - 06:00,93.13,0.00,0.68,-1.50,9.70,0.29,-20.00
06:00 - 06:15,108.65,9.70,0.68,-1.50,10.67,0.29,14.55
06:15 - 06:30,94.10,17.46,0.68,-1.50,11.64,0.29,14.55
06:30 - 06:45,67.90,0.00,0.68,-1.50,11.45,0.29,0.00
06:45 - 07:00,26.19,0.00,0.68,-1.50,11.45,0.29,-15.00
07:00 - 07:15,62.09,0.00,0.68,-1.50,11.64,0.29,9.70
07:15 - 07:30,115.45,0.00,0.68,-1.50,11.64,0.29,43.65
07:30 - 07:45,116.41,-15.00,0.68,-1.50,11.64,0.29,48.51
07:45 - 08:00,64.03,-14.00,0.68,-1.50,11.64,0.29,38.80
08:00 - 08:15,35.89,-21.00,0.68,-1.50,11.64,0.29,58.21
08:15 - 08:30,30.07,-21.00,0.68,-1.50,11.64,0.29,38.81
08:30 - 08:45,47.54,-15.00,0.68,-1.50,10.67,0.29,-6.00
08:45 - 09:00,50.45,-10.00,0.68,-1.50,10.38,0.29,11.64
09:00 - 09:15,32.98,-30.00,0.68,-0.50,9.22,0.29,0.00
09:15 - 09:30,38.80,-23.00,0.68,-0.50,7.76,0.29,0.00
09:30 - 09:45,25.22,0.00,0.68,-0.50,8.73,0.29,-45.00
09:45 - 10:00,26.19,0.00,0.68,-0.50,8.73,0.29,-35.00
10:00 - 10:15,-21.00,-30.00,0.68,-0.50,8.73,0.29,-25.00
10:15 - 10:30,-20.00,-35.00,0.68,-0.50,9.51,0.29,-35.00
10:30 - 10:45,-38.00,-62.00,0.68,-0.50,8.25,0.29,-90.00
10:45 - 11:00,-43.00,-63.00,0.68,-0.50,9.22,0.29,-90.00
11:00 - 11:15,0.00,0.00,0.68,-0.50,6.79,0.29,-50.00
11:15 - 11:30,16.49,0.00,0.68,-0.50,6.79,0.29,-60.00
