Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-71.00,-30.00,14.37,0.00,0.00,-51.00
00:15 - 00:30,-83.00,-35.00,13.41,0.00,0.00,-53.00
00:30 - 00:45,-106.00,-22.00,12.45,0.00,0.00,-67.00
00:45 - 01:00,-104.00,-22.00,11.88,0.00,0.00,-69.00
01:00 - 01:15,-92.00,-42.00,11.88,0.00,0.00,-71.00
01:15 - 01:30,-88.00,-39.00,11.50,0.00,0.00,-72.00
01:30 - 01:45,-71.00,-10.00,11.50,0.00,0.00,-57.00
01:45 - 02:00,-68.00,-10.00,11.21,0.00,0.00,-53.00
02:00 - 02:15,-52.00,0.00,11.21,0.00,0.00,-52.00
02:15 - 02:30,-47.00,0.00,11.02,0.00,0.00,-57.00
02:30 - 02:45,-17.00,0.00,11.02,0.00,0.00,-57.00
02:45 - 03:00,-12.00,0.00,11.02,0.00,0.00,-55.00
03:00 - 03:15,0.00,0.00,10.54,0.00,0.00,-57.00
03:15 - 03:30,0.00,0.00,10.54,0.00,0.00,-56.00
03:30 - 03:45,-41.00,7.66,10.54,0.00,0.00,-56.00
03:45 - 04:00,-44.00,10.54,11.02,0.00,0.00,-56.00
04:00 - 04:15,-85.00,0.00,11.50,0.00,0.00,-23.00
04:15 - 04:30,-123.00,0.00,11.98,0.00,0.00,-21.00
04:30 - 04:45,-182.00,-24.00,12.45,0.00,0.00,-28.00
04:45 - 05:00,-225.00,-24.00,13.41,0.00,0.00,-29.00
05:00 - 05:15,-242.00,-24.00,8.62,0.00,0.00,-31.00
05:15 - 05:30,-243.00,-24.00,9.58,0.00,0.00,-31.00
05:30 - 05:45,-253.00,-20.00,11.02,0.00,0.00,-20.00
05:45 - 06:00,-217.00,-20.00,13.89,0.00,0.00,-21.00
06:00 - 06:15,-296.00,0.00,15.81,0.00,0.00,-56.00
06:15 - 06:30,-287.00,0.00,18.20,0.00,0.00,-116.00
06:30 - 06:45,-244.00,-45.00,20.60,0.00,0.00,12.45
06:45 - 07:00,-248.00,-5.00,23.95,0.00,0.00,-19.00
07:00 - 07:15,-362.00,-85.00,26.82,0.00,0.00,-73.00
07:15 - 07:30,-351.00,-85.00,28.26,0.00,2.01,-89.00
07:30 - 07:45,-403.00,-44.00,25.27,0.00,1.14,-20.00
07:45 - 08:00,-393.00,-23.00,22.84,0.00,0.90,31.14
08:00 - 08:15,-357.00,-30.00,10.07,3.05,0.28,36.60
08:15 - 08:30,-193.00,-18.00,7.97,4.07,0.88,38.29
08:30 - 08:45,-169.00,-21.00,3.74,2.01,0.40,55.81
08:45 - 09:00,-211.00,-21.00,3.52,1.55,0.25,103.34
09:00 - 09:15,115.92,-54.00,2.47,4.08,0.13,97.95
09:15 - 09:30,162.25,-31.00,2.48,4.26,0.09,139.30
09:30 - 09:45,4.63,0.00,1.98,1.80,0.12,84.17
09:45 - 10:00,5.02,2.28,2.21,1.50,0.13,71.75
10:00 - 10:15,0.79,3.95,2.81,0.00,0.00,4.37
10:15 - 10:30,3.09,7.59,4.88,0.00,0.00,9.29
10:30 - 10:45,-36.00,33.70,10.11,0.00,0.07,67.39
10:45 - 11:00,-35.00,43.79,15.87,0.00,0.00,82.11
11:00 - 11:15,16.58,83.86,24.88,0.00,0.00,59.89
11:15 - 11:30,-106.00,91.01,24.91,0.00,0.00,62.27
