Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-13.00,52.89,-1.00,6.16,-19.00,0.00,-10.00
00:15 - 00:30,-31.00,49.05,-1.00,6.16,-19.00,0.00,28.85
00:30 - 00:45,-86.00,0.00,-1.00,5.58,-19.00,0.00,28.85
00:45 - 01:00,-87.00,0.00,-1.00,5.29,-19.00,0.00,28.85
01:00 - 01:15,-109.00,-28.00,-1.00,4.81,-19.00,0.00,9.62
01:15 - 01:30,-110.00,-28.00,-1.00,4.81,-19.00,0.00,9.62
01:30 - 01:45,-100.00,-23.00,-1.00,4.81,-19.00,0.00,14.43
01:45 - 02:00,-103.00,-20.00,-1.00,4.81,-19.00,0.00,14.43
02:00 - 02:15,-107.00,0.00,-1.00,4.81,-19.00,0.00,48.09
02:15 - 02:30,-104.00,0.00,-1.00,4.81,-19.00,0.00,-30.00
02:30 - 02:45,-120.00,0.00,-1.00,4.71,-19.00,0.00,-40.00
02:45 - 03:00,-118.00,0.00,-1.00,4.71,-19.00,0.00,-40.00
03:00 - 03:15,-121.00,0.00,-1.00,4.71,-19.00,0.00,-45.00
03:15 - 03:30,-122.00,0.00,-1.00,4.71,-19.00,0.00,-45.00
03:30 - 03:45,-85.00,9.62,-1.00,4.71,-19.00,0.00,-35.00
03:45 - 04:00,-81.00,10.58,-1.00,4.81,-19.00,0.00,48.09
04:00 - 04:15,-80.00,15.39,-1.00,5.19,-19.00,0.00,9.62
04:15 - 04:30,-76.00,16.35,-1.00,5.77,-19.00,0.00,9.62
04:30 - 04:45,-65.00,0.00,-1.00,6.54,-19.00,0.00,14.43
04:45 - 05:00,-64.00,0.00,-1.00,7.02,-19.00,0.00,14.43
05:00 - 05:15,-61.00,0.00,-1.00,8.66,-19.00,0.00,-20.00
05:15 - 05:30,0.96,0.00,-1.00,9.62,-19.00,0.00,-20.00
05:30 - 05:45,-23.00,4.81,-1.00,11.54,-19.00,0.00,0.00
05:45 - 06:00,-97.00,9.62,-1.00,14.43,-19.00,0.00,0.00
06:00 - 06:15,0.00,36.55,-1.00,10.58,-19.00,0.00,9.62
06:15 - 06:30,-29.00,-21.00,-1.00,12.50,-19.00,0.00,9.62
06:30 - 06:45,58.67,7.69,-1.00,14.43,0.00,0.00,-10.00
06:45 - 07:00,5.77,-10.00,-1.00,14.43,0.00,0.00,-85.00
07:00 - 07:15,-40.00,-33.00,-1.00,12.93,0.00,0.00,0.00
07:15 - 07:30,-67.00,-38.00,-1.00,6.51,0.00,0.51,-25.00
07:30 - 07:45,-93.00,-60.00,-1.00,4.00,0.00,0.42,-30.00
07:45 - 08:00,-75.00,-65.00,-1.00,3.81,0.00,0.23,-30.00
08:00 - 08:15,-120.00,-85.00,-1.00,15.26,0.00,0.14,-35.00
08:15 - 08:30,-133.00,-94.00,-1.00,16.46,0.00,0.00,-35.00
08:30 - 08:45,-98.00,-102.00,-1.00,17.31,0.00,0.00,-20.00
