Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,107.59,0.00,0.67,-50.00,0.00,-27.00
00:15 - 00:30,47.85,-10.00,0.65,-40.00,0.00,-23.00
00:30 - 00:45,-74.00,-20.00,0.71,-44.00,0.00,-28.00
00:45 - 01:00,-109.00,-35.00,0.87,-41.00,0.00,-28.00
01:00 - 01:15,-232.00,-65.00,1.03,-42.00,0.00,-28.00
01:15 - 01:30,-295.00,-80.00,1.14,-41.00,0.00,-19.00
01:30 - 01:45,-292.00,-70.00,1.95,-40.00,0.00,-41.00
01:45 - 02:00,-304.00,-90.00,2.08,-39.00,0.00,-34.00
02:00 - 02:15,-276.00,-105.00,2.29,-67.00,0.00,-56.00
02:15 - 02:30,-218.00,-112.00,2.11,-67.00,0.00,-62.00
02:30 - 02:45,-216.00,-128.00,2.22,-66.00,0.00,-91.00
02:45 - 03:00,-67.00,-145.00,2.41,-66.00,0.00,-113.00
03:00 - 03:15,-250.00,-89.00,3.78,-89.00,0.00,-79.00
03:15 - 03:30,-345.00,-89.00,3.97,-89.00,0.00,-107.00
03:30 - 03:45,-439.00,-98.00,5.07,-91.00,0.00,-106.00
03:45 - 04:00,-523.00,-94.00,5.56,-88.00,0.00,-122.00
04:00 - 04:15,-566.00,-95.00,10.08,-89.00,0.00,-113.00
04:15 - 04:30,-588.00,-95.00,9.84,-89.00,0.00,-119.00
04:30 - 04:45,-616.00,-97.00,10.58,-87.00,0.00,-114.00
04:45 - 05:00,-634.00,-99.00,10.58,-88.00,1.73,-117.00
05:00 - 05:15,-552.00,-85.00,11.06,-98.00,4.23,-128.00
05:15 - 05:30,-487.00,-88.00,11.05,-91.00,3.85,-73.00
05:30 - 05:45,-450.00,-90.00,11.53,-92.00,2.60,-89.00
05:45 - 06:00,-299.00,-100.00,11.71,-93.00,3.37,-125.00
06:00 - 06:15,-313.00,-99.00,11.96,-93.00,1.65,-122.00
06:15 - 06:30,-310.00,-105.00,10.65,-92.00,2.20,-136.00
06:30 - 06:45,-342.00,-100.00,12.52,-92.00,2.68,-137.00
06:45 - 07:00,-388.00,-100.00,13.94,-91.00,2.50,-147.00
07:00 - 07:15,-343.00,-140.00,14.42,-92.00,0.00,-167.00
